"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.948333299E-4,-6.463109894E0,-4.825964355E-1,6.680757294E0
1.053483333E-2,-6.327342224E0,-3.788621521E-1,6.775959320E0
2.057483333E-2,-5.813909912E0,1.851649475E-1,6.828050995E0
3.061583333E-2,-5.330565033E0,6.164181519E-1,6.942862244E0
4.065583333E-2,-5.047952728E0,8.897497559E-1,7.279063110E0
5.069583333E-2,-4.914430389E0,1.054557037E0,7.462731171E0
6.073583333E-2,-4.887187042E0,9.773176575E-1,7.520810394E0
7.077583333E-2,-5.069807281E0,1.001118164E0,7.526648254E0
8.081583333E-2,-5.415737915E0,9.985734558E-1,7.405849457E0
9.085683333E-2,-5.219496002E0,7.638615417E-1,7.704029388E0
1.008968333E-1,-5.173691254E0,9.518705750E-1,7.730374603E0
1.109368333E-1,-5.238955536E0,1.056203613E0,7.803572388E0
1.209768333E-1,-5.371879120E0,1.155147858E0,7.967481537E0
1.310168333E-1,-5.491330719E0,1.259480896E0,8.028404846E0
1.410578333E-1,-5.592819672E0,1.417103119E0,8.071515198E0
1.510978333E-1,-5.736969910E0,1.391955414E0,8.015681305E0
1.611378333E-1,-5.849835205E0,1.172960815E0,7.877518616E0
1.711778333E-1,-5.949527893E0,9.069639587E-1,7.758366394E0
1.812178333E-1,-5.855223999E0,7.864645386E-1,7.683671722E0
1.912578333E-1,-5.925278320E0,8.411009216E-1,7.727530518E0
2.012988333E-1,-6.266718292E0,8.390052795E-1,8.022417297E0
2.113388333E-1,-6.486161957E0,6.677613831E-1,7.956254883E0
2.213788333E-1,-6.348897400E0,5.516029358E-1,7.847131805E0
2.314188333E-1,-6.102958832E0,5.119354248E-1,7.722291412E0
2.414588333E-1,-5.933511200E0,6.421646118E-1,7.610923004E0
2.514998333E-1,-5.796246643E0,7.161108398E-1,7.525001678E0
2.615398333E-1,-5.667664032E0,7.758366394E-1,7.434440002E0
2.715798333E-1,-5.526657257E0,8.939410400E-1,7.444169769E0
2.816198333E-1,-5.521567841E0,9.779164124E-1,7.392976227E0
2.916598333E-1,-5.714516602E0,9.023236084E-1,7.453899536E0
3.016998333E-1,-5.771248627E0,7.656578064E-1,7.495363312E0
3.117408333E-1,-5.686075745E0,7.322772217E-1,7.377707977E0
3.217808333E-1,-5.612428894E0,8.178991699E-1,7.233408051E0
3.318208333E-1,-5.492378540E0,8.948391724E-1,7.021299133E0
3.418608333E-1,-5.332960052E0,8.500822449E-1,6.948849792E0
3.519008333E-1,-5.296585693E0,6.430627441E-1,6.935228119E0
3.619418333E-1,-5.261259155E0,2.929408264E-1,6.633755035E0
3.719818333E-1,-5.174290009E0,4.215234375E-1,6.064189453E0
3.820218333E-1,-5.253774719E0,3.391946411E-1,5.527705078E0
3.920618333E-1,-5.355413361E0,1.137634277E-1,5.149591370E0
4.021018333E-1,-5.504653015E0,1.899549866E-1,5.218897247E0
4.121428333E-1,-6.171216888E0,4.251159668E-2,5.103337555E0
4.221828333E-1,-6.289470978E0,1.303788757E-1,4.913382568E0
4.322228333E-1,-6.704707489E0,4.595443726E-1,5.387746124E0
4.422628333E-1,-8.318351898E0,6.682104492E-1,6.581663361E0
4.523028333E-1,-9.359586639E0,1.410816193E0,6.767876129E0
4.623428333E-1,-9.408983917E0,1.431173859E0,5.629194031E0
4.723838333E-1,-1.078522202E1,7.497908020E-1,4.208947449E0
4.824238333E-1,-1.142080032E1,1.417851562E0,2.485431519E0
4.924638333E-1,-1.265393600E1,1.910926208E0,1.263073425E0
5.025038333E-1,-1.356748627E1,1.980531464E0,-9.376501465E-1
5.125438333E-1,-1.073552536E1,1.911225586E0,-1.911375275E0
5.225848333E-1,-1.162362854E1,3.427871704E-1,1.190474396E0
5.326248333E-1,-1.363379837E1,-4.700225830E-1,3.015928345E0
5.426648333E-1,-1.243778549E1,-1.637594604E-1,1.675765228E0
5.527048333E-1,-1.031040939E1,1.187031555E-1,1.294657745E0
5.627448333E-1,-8.840316467E0,2.556683350E-1,2.107317810E0
5.727848333E-1,-8.614436188E0,1.856140137E-1,1.845661926E0
5.828258333E-1,-8.829389191E0,-1.121168518E-1,1.391656036E0
5.928658333E-1,-8.981921997E0,-6.750961304E-2,1.318009186E0
6.029058333E-1,-9.216484222E0,-3.382965088E-2,1.329684906E0
6.129458333E-1,-9.378746796E0,8.412506104E-2,1.369502106E0
6.229858333E-1,-9.367220764E0,3.637435913E-1,1.351689148E0
6.330268333E-1,-9.419911194E0,4.706213379E-1,1.265917511E0
6.430668333E-1,-9.521400146E0,4.550537109E-1,1.207089844E0
6.531068333E-1,-9.660311279E0,3.073109436E-1,1.234482880E0
6.631468333E-1,-9.776918793E0,2.695893860E-1,1.189875641E0
6.731868333E-1,-9.983938293E0,2.724334717E-1,1.046324158E0
6.832278333E-1,-1.002375549E1,1.666035461E-1,1.085991669E0
6.932678333E-1,-1.000444565E1,7.080276489E-2,1.130748596E0
7.033078333E-1,-9.919422455E0,1.631607056E-2,1.199455719E0
7.133478333E-1,-9.696835327E0,9.370513916E-2,1.155746613E0
7.233878333E-1,-9.771529999E0,1.378633118E-1,1.186582489E0
7.334278333E-1,-9.632469177E0,1.752854919E-1,1.128652954E0
7.434688333E-1,-9.618697815E0,1.663041687E-1,1.092128906E0
7.535088333E-1,-9.564959564E0,2.537223816E-1,1.059496765E0
7.635488333E-1,-9.513466644E0,3.405418396E-1,1.056203613E0
7.735888333E-1,-9.584868164E0,3.562591553E-1,1.116079102E0
7.836288333E-1,-9.619895325E0,3.903881836E-1,1.094374237E0
7.936698333E-1,-9.636211395E0,3.899391174E-1,1.034648438E0
8.037098333E-1,-9.576934662E0,4.046086121E-1,9.681866455E-1
8.137498333E-1,-9.629475403E0,3.183879089E-1,1.009051666E0
8.237898333E-1,-9.719887390E0,2.615061951E-1,9.803114319E-1
8.338298333E-1,-9.784103851E0,2.603086853E-1,9.105564880E-1
8.438708333E-1,-9.899663544E0,2.297721863E-1,8.649014282E-1
8.539108333E-1,-9.937983856E0,2.472857666E-1,7.836204529E-1
8.639508333E-1,-9.927655334E0,2.335144043E-1,7.400610352E-1
8.739908333E-1,-9.881401520E0,1.974394226E-1,7.309300232E-1
8.840308333E-1,-9.805209961E0,2.591111755E-1,6.926097107E-1
8.940708333E-1,-9.774224396E0,3.065625000E-1,7.105723572E-1
