"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.514833327E-3,-9.304475784E-2,2.757205069E-1,6.099616177E-3
1.555483333E-2,-2.175698131E-1,1.818627417E-1,5.693434924E-2
2.559483333E-2,-2.291140854E-1,1.649956107E-1,1.136303842E-1
3.563583333E-2,-1.360336542E-1,1.989114434E-1,1.791477799E-1
4.567583333E-2,-6.110481173E-2,2.398926914E-1,2.279294282E-1
5.571583333E-2,-3.821900859E-2,3.091445565E-1,2.372625172E-1
6.575583333E-2,-6.628073752E-2,3.574566841E-1,2.192534208E-1
7.579583333E-2,-1.017116308E-1,2.785388529E-1,1.711959243E-1
8.583683333E-2,-1.162303835E-1,2.757611573E-1,1.685271710E-1
9.587683333E-2,-1.244654953E-1,2.731959820E-1,1.474048048E-1
1.059168333E-1,-9.874895215E-2,2.919821739E-1,1.128524095E-1
1.159568333E-1,-4.263384640E-2,3.145389557E-1,7.497466356E-2
1.259968333E-1,7.850902155E-3,3.257141113E-1,3.731303290E-2
1.360368333E-1,3.062909655E-2,3.212767243E-1,-2.030851506E-2
1.460778333E-1,7.692336291E-2,2.492270172E-1,-5.693763122E-2
1.561178333E-1,1.027188227E-1,2.168797255E-1,-8.793666959E-2
1.661578333E-1,1.123229787E-1,2.273608595E-1,-1.068174168E-1
1.761978333E-1,9.705498815E-2,2.728702426E-1,-1.227887273E-1
1.862378333E-1,7.404127717E-2,2.951260209E-1,-1.319832802E-1
1.962788333E-1,9.575132281E-2,2.011494786E-1,-1.100386530E-1
2.063188333E-1,9.050622582E-2,4.717401788E-2,-9.726959467E-2
2.163588333E-1,8.034262061E-2,-7.937189192E-3,-9.846333414E-2
2.263988333E-1,7.535824925E-2,1.245090645E-2,-9.760286659E-2
2.364388333E-1,6.538886577E-2,5.114436895E-2,-1.039698273E-1
2.464788333E-1,4.792226106E-2,1.026381850E-1,-1.191463843E-1
2.565198333E-1,2.852571569E-2,1.955732852E-1,-1.377452165E-1
2.665598333E-1,1.510338392E-2,3.046872318E-1,-1.588733941E-1
2.765998333E-1,4.451505840E-3,3.807253540E-1,-1.677970141E-1
2.866398333E-1,3.470663447E-3,3.676657379E-1,-1.590602547E-1
2.966798333E-1,-3.506261390E-3,3.813146055E-1,-1.512726545E-1
3.067208333E-1,-2.745633572E-2,4.587731957E-1,-1.493226886E-1
3.167608333E-1,-5.929388478E-2,5.805638433E-1,-1.566091776E-1
3.268008333E-1,-1.052424684E-1,7.529287338E-1,-1.762222946E-1
3.368408333E-1,-1.480415463E-1,1.022314191E0,-1.965824515E-1
3.468808333E-1,-1.701753438E-1,1.388473272E0,-2.062648982E-1
