"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.266916668E-3,-8.872200165E0,-3.838018799E-1,3.263812866E0
1.130691667E-2,-8.941056976E0,-6.951544189E-1,3.858526154E0
2.134691666E-2,-8.757089539E0,-6.062393188E-1,4.050277405E0
3.138791666E-2,-8.579708405E0,-4.129911804E-1,4.039350128E0
4.142791667E-2,-8.676257629E0,-1.645079041E-1,4.066144409E0
5.146791667E-2,-8.615184631E0,3.517684937E-2,4.188440094E0
6.150891667E-2,-8.527167664E0,2.589614868E-1,4.454436951E0
7.154891667E-2,-8.587192841E0,3.659889221E-1,4.706363068E0
8.158891666E-2,-8.569230194E0,2.962339783E-1,4.886139221E0
9.162991666E-2,-8.543783112E0,4.869374084E-1,4.574337616E0
1.016699167E-1,-8.651558990E0,5.902226257E-1,4.345164185E0
1.117099167E-1,-8.595276031E0,4.400848389E-1,4.405189362E0
1.217509167E-1,-8.356372833E0,3.330574036E-1,4.655319214E0
1.317909167E-1,-8.241711273E0,2.984793091E-1,4.696034546E0
1.418309167E-1,-8.348738708E0,2.309696960E-1,4.700974274E0
1.518719167E-1,-8.381819916E0,1.399589539E-1,4.700375519E0
1.619119167E-1,-8.495733032E0,4.400848389E-2,4.657115479E0
1.719519167E-1,-8.671168213E0,-1.137634277E-2,4.637206879E0
1.819929167E-1,-8.799301758E0,-6.885681152E-2,4.613705750E0
1.920329167E-1,-8.865613861E0,-1.380130005E-1,4.560416565E0
2.020729167E-1,-8.798104248E0,-1.104702759E-1,4.465513916E0
2.121139167E-1,-8.701405334E0,-7.828720093E-2,4.402494965E0
2.221539167E-1,-8.706794128E0,-1.047821045E-3,4.359833679E0
2.321939167E-1,-8.697064362E0,6.601272583E-2,4.373006287E0
2.422349167E-1,-8.707841949E0,7.738906860E-2,4.392615509E0
2.522749167E-1,-8.679401093E0,8.337661743E-2,4.470004578E0
2.623149167E-1,-8.565188599E0,1.209484863E-1,4.533322906E0
2.723559167E-1,-8.409662018E0,2.314187622E-1,4.504133606E0
2.823959167E-1,-8.414152679E0,2.778222656E-1,4.434378662E0
2.924359167E-1,-8.482410736E0,2.386038208E-1,4.538711700E0
3.024769167E-1,-8.533903656E0,2.131567383E-1,4.561165009E0
3.125169167E-1,-8.682544556E0,2.180964661E-1,4.578528900E0
3.225579167E-1,-8.692723389E0,2.412982178E-1,4.648882599E0
3.325979167E-1,-8.679251404E0,2.627037048E-1,4.671036530E0
3.426379167E-1,-8.700507202E0,2.424957275E-1,4.641398163E0
3.526789167E-1,-8.653355255E0,2.356100464E-1,4.644092560E0
3.627189167E-1,-8.630752258E0,2.634521484E-1,4.595743103E0
3.727589167E-1,-8.631051636E0,2.644999695E-1,4.508175201E0
3.827999167E-1,-8.610544281E0,3.067121887E-1,4.484374695E0
3.928399167E-1,-8.596174164E0,3.619473267E-1,4.294569397E0
4.028799167E-1,-8.737180939E0,3.523672485E-1,4.273612976E0
4.129209167E-1,-8.712931366E0,3.321592712E-1,4.400549011E0
4.229609167E-1,-8.667126617E0,3.975732422E-1,4.371060333E0
4.330009167E-1,-8.607251129E0,4.715194702E-1,4.349505157E0
4.430419167E-1,-8.498726807E0,4.724176025E-1,4.407434692E0
4.530819167E-1,-8.380173340E0,4.671784973E-1,4.409680023E0
4.631219167E-1,-8.283474426E0,4.460723877E-1,4.449497223E0
4.731629167E-1,-8.145760803E0,4.164340210E-1,4.622986450E0
4.832029167E-1,-8.016729126E0,3.803590393E-1,4.839436340E0
4.932429167E-1,-7.879614258E0,3.670367432E-1,4.899311829E0
5.032839167E-1,-7.883057098E0,3.824546814E-1,4.843328247E0
5.133239167E-1,-7.995024261E0,4.171824646E-1,4.386627960E0
5.233639167E-1,-8.031548309E0,5.903723145E-1,3.868854675E0
