"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.031916662E-3,2.605569661E-1,1.747729033E-1,8.458821476E-2
1.507191666E-2,1.649928987E-1,2.431029677E-1,9.048818052E-2
2.511191666E-2,5.296433717E-2,2.469776422E-1,9.227912128E-2
3.515291667E-2,-5.762848258E-2,1.880304366E-1,8.315353096E-2
4.519291667E-2,-1.396820396E-1,1.415588707E-1,7.363265008E-2
5.523291667E-2,-1.771806777E-1,1.180926934E-1,7.358658314E-2
6.527391667E-2,-1.767868102E-1,1.363632083E-1,8.077590168E-2
7.531391666E-2,-1.494822204E-1,2.045667619E-1,9.853545576E-2
8.535391666E-2,-1.239523739E-1,1.730446666E-1,9.515734762E-2
9.539491667E-2,-1.043427140E-1,4.451598972E-2,6.476828456E-2
1.054349167E-1,-6.993918866E-2,-6.612626463E-2,2.682265081E-2
1.154749167E-1,-2.780238725E-2,-6.470386684E-2,2.012586594E-2
1.255159167E-1,2.277325466E-2,-5.712908506E-2,1.785472222E-2
1.355559167E-1,6.361415982E-2,-3.875007853E-2,1.896925457E-2
1.455959167E-1,8.939883858E-2,4.119195044E-3,1.580826938E-2
1.556369167E-1,9.540693462E-2,3.677034751E-2,1.090565696E-2
1.656769167E-1,8.916945755E-2,5.877881497E-2,8.626211435E-3
1.757169167E-1,6.766416878E-2,5.438406765E-2,-7.531753508E-4
1.857579167E-1,4.942777753E-2,2.674381807E-2,-1.355817355E-2
1.957979167E-1,3.443950787E-2,1.517584454E-2,-2.348430827E-2
2.058379167E-1,2.757906355E-2,2.445567399E-2,-3.007238917E-2
2.158789167E-1,3.383589536E-2,1.677511819E-2,-2.823640592E-2
2.259189167E-1,3.991566226E-2,2.856658399E-2,-3.000669368E-2
2.359589167E-1,4.573253915E-2,2.532951161E-2,-2.960854955E-2
2.459999167E-1,5.235430971E-2,2.706616558E-2,-2.354512550E-2
2.560399167E-1,5.993979052E-2,6.389501691E-2,-2.578724176E-2
2.660799167E-1,5.897372589E-2,1.100109443E-1,-2.394114248E-2
2.761209167E-1,4.827074707E-2,1.206936836E-1,-2.320637740E-2
2.861609167E-1,4.863550514E-2,9.773293138E-2,-2.782569453E-2
2.962009167E-1,4.869516194E-2,8.664725721E-2,-3.099032864E-2
3.062419167E-1,4.931591451E-2,5.550957844E-2,-2.421043999E-2
3.162819167E-1,5.313222483E-2,3.333343565E-2,-2.072755806E-2
3.263229167E-1,6.245981529E-2,3.865538165E-2,-1.835048571E-2
3.363629167E-1,6.679011881E-2,3.340948746E-2,-1.535496209E-2
3.464029167E-1,7.117008418E-2,5.030363053E-2,-1.867479272E-2
3.564439167E-1,6.367114931E-2,1.021282151E-1,-2.197684720E-2
3.664839167E-1,5.541608855E-2,1.501622498E-1,-2.274108119E-2
3.765239167E-1,4.087549448E-2,1.916793436E-1,-2.520104311E-2
3.865649167E-1,2.308740653E-2,2.151289582E-1,-2.503238246E-2
3.966049167E-1,4.741955083E-3,1.569098532E-1,-1.830417290E-2
4.066449167E-1,-6.332753226E-3,1.310896128E-1,-1.267338172E-2
4.166859167E-1,-1.523570064E-2,1.541035920E-1,-4.319311585E-3
4.267259167E-1,-2.731124870E-2,1.872742623E-1,-1.414297149E-3
