"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.181100100E-2,4.795292020E-2,-4.810563847E-2,4.520402849E-2
4.181100100E-2,4.046982154E-2,-5.650503561E-2,6.215553731E-2
5.181100100E-2,1.023199316E-2,-4.276056774E-3,6.811147183E-2
6.181100100E-2,-7.941247895E-3,1.771509275E-2,6.795875728E-2
7.181100100E-2,-2.611448988E-2,3.481931984E-2,7.147123665E-2
8.181100100E-2,-2.977968007E-2,3.115412779E-2,7.024950534E-2
9.181100100E-2,-2.977968007E-2,3.237585723E-2,6.658431143E-2
1.018110010E-1,-2.611448988E-2,2.993239649E-2,5.681046844E-2
1.118110010E-1,-1.634064503E-2,-6.566801574E-3,3.375030309E-2
1.218110010E-1,-7.788531948E-3,-3.207042441E-2,2.412917651E-2
1.318110010E-1,-4.581489484E-4,-1.756237634E-2,2.046398632E-2
1.418110010E-1,4.428773187E-3,1.023199316E-2,2.412917651E-2
1.518110010E-1,5.650503561E-3,1.389718428E-2,2.168571576E-2
1.618110010E-1,3.359758761E-3,2.122756653E-2,1.679879427E-2
1.718110010E-1,9.162978968E-4,4.062253982E-2,2.412917651E-2
1.818110010E-1,4.581489135E-3,3.329215571E-2,2.168571576E-2
1.918110010E-1,9.162978968E-4,3.817907721E-2,3.023782931E-2
2.018110010E-1,-3.054326226E-4,3.573561832E-2,3.145955876E-2
2.118110010E-1,-6.414085161E-3,3.817907721E-2,3.497203439E-2
2.218110010E-1,-8.857546374E-3,5.283984542E-2,4.230241850E-2
2.318110010E-1,-1.007927675E-2,4.077525437E-2,4.108068720E-2
2.418110010E-1,-1.252273750E-2,5.039638281E-2,4.230241850E-2
2.518110010E-1,-1.130100712E-2,5.772676691E-2,4.596760869E-2
2.618110010E-1,1.878410578E-2,-2.733621933E-2,3.405573592E-2
2.718110010E-1,3.207042441E-2,-7.834346592E-2,2.443460934E-2
2.818110010E-1,3.940080851E-2,-8.078692853E-2,1.832595654E-2
2.918110010E-1,4.917465150E-2,-6.643159688E-2,1.466076635E-2
3.018110010E-1,5.543602258E-2,-4.214970022E-2,5.039638374E-3
3.118110010E-1,6.169738993E-2,-3.497203439E-2,-3.512475174E-3
3.218110010E-1,8.109235764E-2,-6.658431143E-2,-1.313360315E-2
3.318110010E-1,7.742717117E-2,-5.451972410E-2,-3.359758761E-3
3.418110010E-1,7.269296050E-2,7.330383174E-3,-8.399397135E-3
3.518110010E-1,7.528914511E-2,3.161227703E-2,-1.450804994E-2
3.618110010E-1,7.528914511E-2,3.894266114E-2,-1.328631863E-2
3.718110010E-1,7.162395120E-2,3.649919853E-2,-1.328631863E-2
3.818110010E-1,6.551529467E-2,3.283400834E-2,-9.621127509E-3
3.918110010E-1,6.185010448E-2,1.954768784E-2,-5.955935922E-3
4.018110010E-1,5.940664560E-2,1.114829071E-2,-2.290744567E-3
4.118110010E-1,5.314527452E-2,-4.581489135E-3,4.886921961E-3
4.218110010E-1,5.070181563E-2,-1.191187184E-2,6.108652335E-3
4.318110010E-1,4.825835302E-2,-1.069014147E-2,8.552113548E-3
4.418110010E-1,5.070181563E-2,-1.191187184E-2,8.552113548E-3
