time,x,y
72,2081.85,3705.52
87,2081.85,3705.52
104,2081.85,3705.52
119,2081.85,3705.52
136,2081.85,3705.52
151,2081.85,3705.52
167,2081.85,3705.52
183,2081.85,3705.52
200,2081.85,3705.52
215,2081.85,3705.52
231,2081.85,3705.52
247,2081.85,3705.52
264,2081.85,3705.52
280,2081.85,3705.52
297,2081.85,3705.52
312,2081.85,3705.52
329,2081.85,3705.52
344,2081.85,3705.52
359,2081.85,3705.52
376,2081.85,3705.52
392,2081.85,3705.52
408,2081.85,3705.52
423,2081.85,3705.52
439,2081.85,3705.52
456,2081.85,3705.52
471,2081.85,3705.52
488,2081.85,3705.52
503,2081.85,3705.52
520,2081.85,3705.52
535,2081.85,3705.52
551,2081.85,3705.52
567,2081.85,3705.52
584,2081.85,3705.52
599,2081.85,3705.52
615,2081.85,3705.52
632,2081.85,3705.52
647,2081.85,3705.52
664,2090.75,3705.52
681,2090.75,3687.73
696,2090.75,3687.73
712,2090.75,3669.94
729,2090.75,3669.94
744,2090.75,3661.04
760,2090.75,3652.14
777,2090.75,3652.14
792,2090.75,3652.14
808,2090.75,3652.14
824,2090.75,3643.25
840,2090.75,3643.25
856,2090.75,3643.25
872,2090.75,3643.25
887,2090.75,3643.25
904,2090.75,3643.25
919,2090.75,3634.35
935,2090.75,3634.35
952,2090.75,3634.35
967,2090.75,3634.35
983,2090.75,3625.45
999,2090.75,3616.55
1015,2090.75,3616.55
1031,2090.75,3616.55
1047,2090.75,3616.55
1064,2090.75,3616.55
1081,2090.75,3607.66
1097,2090.75,3607.66
1112,2090.75,3607.66
1128,2090.75,3607.66
1144,2090.75,3607.66
1160,2090.75,3607.66
1176,2090.75,3607.66
1192,2090.75,3607.66
1208,2090.75,3607.66
1224,2090.75,3607.66
1240,2090.75,3607.66
1256,2090.75,3607.66
1272,2090.75,3607.66
1287,2090.75,3607.66
1303,2090.75,3598.76
1320,2090.75,3589.86
1335,2090.75,3589.86
1351,2090.75,3589.86
1367,2090.75,3589.86
1383,2081.85,3580.97
1399,2081.85,3572.07
1415,2081.85,3572.07
1432,2081.85,3572.07
1447,2081.85,3572.07
1464,2081.85,3572.07
1480,2072.96,3563.17
1496,2072.96,3554.28
1512,2072.96,3554.28
1529,2072.96,3554.28
1544,2072.96,3554.28
1560,2072.96,3554.28
1576,2072.96,3545.38
1593,2072.96,3545.38
1608,2072.96,3545.38
1624,2072.96,3545.38
1639,2072.96,3545.38
1656,2072.96,3545.38
1671,2072.96,3545.38
1688,2072.96,3545.38
1703,2072.96,3545.38
1719,2072.96,3545.38
1735,2072.96,3536.48
1752,2072.96,3536.48
1767,2072.96,3527.59
1783,2072.96,3527.59
1799,2072.96,3518.69
1815,2072.96,3518.69
1831,2072.96,3518.69
1847,2072.96,3518.69
1864,2072.96,3509.79
1880,2072.96,3500.9
1895,2072.96,3500.9
1912,2072.96,3492
1929,2072.96,3492
1944,2072.96,3492
1960,2072.96,3492
1976,2072.96,3483.1
1992,2072.96,3483.1
2008,2072.96,3483.1
2024,2072.96,3483.1
2040,2072.96,3483.1
2055,2072.96,3483.1
2071,2072.96,3483.1
2088,2072.96,3483.1
2104,2072.96,3483.1
2119,2072.96,3483.1
2136,2072.96,3474.21
2152,2072.96,3474.21
2167,2072.96,3474.21
2183,2072.96,3474.21
2199,2072.96,3474.21
2215,2072.96,3465.31
2231,2072.96,3465.31
2248,2072.96,3465.31
2264,2072.96,3465.31
2280,2072.96,3456.41
2297,2072.96,3456.41
2313,2072.96,3456.41
2328,2072.96,3456.41
2345,2072.96,3456.41
2361,2064.06,3456.41
2376,2064.06,3456.41
2392,2064.06,3456.41
2408,2064.06,3456.41
2424,2064.06,3456.41
2439,2064.06,3447.52
2455,2064.06,3438.62
2471,2064.06,3429.72
2488,2064.06,3429.72
2503,2064.06,3420.83
2520,2064.06,3403.03
2535,2064.06,3394.13
2551,2064.06,3394.13
2568,2064.06,3394.13
2583,2064.06,3394.13
2599,2064.06,3394.13
2615,2064.06,3394.13
2632,2064.06,3394.13
2648,2064.06,3394.13
2664,2064.06,3394.13
2681,2064.06,3394.13
2696,2064.06,3394.13
2712,2064.06,3394.13
2728,2064.06,3394.13
2744,2064.06,3394.13
2760,2064.06,3394.13
2776,2064.06,3385.24
2792,2064.06,3385.24
2808,2064.06,3385.24
2824,2064.06,3376.34
2839,2064.06,3358.55
2856,2072.96,3358.55
2872,2072.96,3349.65
2888,2072.96,3331.86
2903,2072.96,3331.86
2919,2081.85,3322.96
2935,2081.85,3322.96
2952,2081.85,3322.96
2967,2081.85,3322.96
2983,2081.85,3322.96
2999,2081.85,3322.96
3015,2081.85,3322.96
3032,2081.85,3314.06
3047,2081.85,3314.06
3064,2081.85,3314.06
3080,2081.85,3305.17
3097,2090.75,3296.27
3112,2090.75,3296.27
3128,2090.75,3287.37
3143,2090.75,3287.37
3160,2090.75,3287.37
3175,2090.75,3287.37
3192,2090.75,3278.48
3208,2090.75,3269.58
3224,2090.75,3269.58
3239,2090.75,3260.68
3255,2090.75,3251.79
3271,2090.75,3242.89
3287,2081.85,3242.89
3303,2081.85,3242.89
3319,2081.85,3233.99
3335,2081.85,3233.99
3351,2081.85,3225.1
3367,2081.85,3225.1
3383,2081.85,3216.2
3399,2081.85,3207.3
3415,2081.85,3207.3
3432,2081.85,3198.4
3447,2081.85,3189.51
3465,2081.85,3189.51
3480,2072.96,3189.51
3496,2072.96,3189.51
3512,2072.96,3180.61
3527,2072.96,3180.61
3544,2072.96,3180.61
3560,2072.96,3180.61
3576,2072.96,3180.61
3592,2072.96,3180.61
3608,2072.96,3180.61
3623,2072.96,3180.61
3639,2072.96,3171.71
3655,2072.96,3162.82
3671,2072.96,3153.92
3688,2072.96,3153.92
3703,2072.96,3136.13
3720,2064.06,3127.23
3735,2064.06,3118.33
3751,2064.06,3109.44
3767,2064.06,3109.44
3783,2064.06,3100.54
3799,2064.06,3100.54
3815,2064.06,3091.64
3832,2055.16,3091.64
3847,2055.16,3091.64
3863,2055.16,3082.75
3880,2055.16,3073.85
3896,2055.16,3073.85
3912,2055.16,3073.85
3928,2055.16,3064.95
3945,2055.16,3056.06
3960,2055.16,3056.06
3977,2055.16,3056.06
3992,2055.16,3056.06
4008,2055.16,3047.16
4024,2055.16,3047.16
4040,2046.27,3047.16
4056,2046.27,3038.26
4071,2046.27,3029.37
4087,2046.27,3029.37
4104,2046.27,3020.47
4119,2046.27,3020.47
4136,2046.27,3011.57
4151,2046.27,2993.78
4167,2046.27,2984.88
4183,2046.27,2975.98
4199,2046.27,2975.98
4216,2046.27,2975.98
4231,2046.27,2975.98
4247,2046.27,2975.98
4264,2046.27,2975.98
4281,2046.27,2975.98
4297,2046.27,2975.98
4312,2046.27,2967.09
4328,2046.27,2958.19
4344,2046.27,2949.29
4360,2046.27,2940.4
4375,2046.27,2931.5
4392,2046.27,2922.6
4407,2046.27,2922.6
4424,2046.27,2913.71
4440,2046.27,2913.71
4456,2037.37,2904.81
4472,2037.37,2904.81
4488,2037.37,2904.81
4504,2037.37,2904.81
4519,2037.37,2904.81
4536,2037.37,2904.81
4552,2037.37,2904.81
4567,2037.37,2904.81
4584,2037.37,2904.81
4599,2037.37,2904.81
4615,2037.37,2904.81
4632,2037.37,2904.81
4647,2037.37,2904.81
4664,2037.37,2895.91
4681,2037.37,2895.91
4695,2037.37,2887.02
4711,2037.37,2878.12
4728,2037.37,2878.12
4744,2028.47,2878.12
4760,2028.47,2878.12
4775,2028.47,2869.22
4792,2028.47,2860.33
4807,2028.47,2860.33
4824,2028.47,2851.43
4840,2028.47,2851.43
