"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.017025400E-2,-8.123034477E0,1.435095429E0,5.340780258E0
4.017025400E-2,-8.180462837E0,1.353141189E0,5.431707382E0
5.017025400E-2,-8.066802979E0,1.430309772E0,5.527420521E0
6.017025400E-2,-7.867002487E0,1.493121386E0,5.614160061E0
7.017025400E-2,-7.779066563E0,1.234696507E0,5.502295494E0
8.017025400E-2,-7.762316704E0,1.277767301E0,5.755336761E0
9.017025400E-2,-7.675576687E0,1.134197950E0,5.694917679E0
1.001702540E-1,-7.668996811E0,1.143769264E0,5.513063431E0
1.101702540E-1,-7.722237110E0,1.320838094E0,5.506483078E0
1.201702540E-1,-7.913064480E0,1.406979680E0,5.413761139E0
1.301702540E-1,-8.072187424E0,1.463809252E0,5.599205017E0
1.401702540E-1,-8.020143509E0,1.406381488E0,5.690730572E0
1.501702540E-1,-7.828119278E0,1.359123230E0,5.587240696E0
1.601702540E-1,-7.843074322E0,1.373480201E0,5.667998791E0
1.701702540E-1,-7.852645874E0,1.392622828E0,5.706283569E0
1.801702540E-1,-7.856832981E0,1.459621787E0,5.576473236E0
1.901702540E-1,-8.003393173E0,1.415952802E0,5.389235020E0
2.001702540E-1,-8.137989998E0,1.430309772E0,5.436492920E0
2.101702540E-1,-8.075776100E0,1.363310695E0,5.446662426E0
2.201702540E-1,-7.985447407E0,1.348953724E0,5.519045353E0
2.301702540E-1,-7.828119278E0,1.354337573E0,5.630311489E0
2.401702540E-1,-7.694719315E0,1.363908887E0,5.678766251E0
2.501702540E-1,-7.627720356E0,1.316052437E0,5.703292847E0
2.601702540E-1,-7.761120319E0,1.349551916E0,5.630311489E0
2.701702540E-1,-7.948358536E0,1.353739381E0,5.715256691E0
2.801702540E-1,-7.890930653E0,1.368096352E0,5.658427238E0
2.901702540E-1,-7.780262947E0,1.397408366E0,5.615954876E0
3.001702540E-1,-7.733004570E0,1.392622828E0,5.654240131E0
3.101702540E-1,-7.704290867E0,1.397408366E0,5.630909920E0
3.201702540E-1,-7.841279984E0,1.392622828E0,5.410171986E0
3.301702540E-1,-8.218747139E0,1.348355532E0,5.402993679E0
