"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.862392900E-2,-7.788531948E-3,-6.169738993E-2,1.832595794E-3
4.862392900E-2,4.276056774E-3,-1.065959856E-1,1.832595794E-3
5.862392900E-2,2.611448988E-2,-1.273654103E-1,-7.788531948E-3
6.862392900E-2,4.199698567E-2,-1.395827085E-1,-1.618792862E-2
7.862392900E-2,6.490442902E-2,-1.627955884E-1,-1.603521220E-2
8.862392900E-2,4.948008433E-2,-7.055493444E-2,-1.863138936E-2
9.862392900E-2,1.817324013E-2,1.221730490E-3,-1.404990070E-2
1.086239290E-1,0.000000000E0,4.367686436E-2,-1.298088674E-2
1.186239290E-1,-1.221730490E-3,4.138612002E-2,-8.093964309E-3
1.286239290E-1,1.664607786E-2,-3.878994286E-2,6.108652451E-4
1.386239290E-1,1.542434748E-2,-4.841107130E-2,-4.276056774E-3
1.486239290E-1,1.435533352E-2,-2.061670274E-2,-3.054326167E-3
1.586239290E-1,1.679879427E-2,-1.450804994E-2,5.497787148E-3
1.686239290E-1,1.069014193E-3,1.710422710E-2,7.788531948E-3
1.786239290E-1,-1.099557430E-2,5.238169432E-2,6.566801574E-3
1.886239290E-1,-2.565634064E-2,3.665191308E-2,6.414085161E-3
1.986239290E-1,-1.863138936E-2,-3.359758854E-2,1.389718428E-2
2.086239290E-1,-6.566801574E-3,-6.398813426E-2,1.267545391E-2
2.186239290E-1,3.054326167E-3,-9.315694869E-2,1.160643995E-2
2.286239290E-1,5.497787148E-3,-9.437867999E-2,9.162978269E-3
2.386239290E-1,6.872233935E-3,-3.985895589E-2,5.497787148E-3
2.486239290E-1,5.955935922E-3,1.343903504E-2,1.832595794E-3
2.586239290E-1,1.328631863E-2,2.672535367E-2,1.389718428E-2
2.686239290E-1,1.191187184E-2,-1.572977938E-2,1.404990070E-2
2.786239290E-1,-2.748893574E-3,-1.679879427E-2,1.267545391E-2
2.886239290E-1,-1.527163084E-3,-3.512475174E-3,1.145372353E-2
2.986239290E-1,-5.039638374E-3,1.710422710E-2,1.023199316E-2
3.086239290E-1,-1.328631863E-2,7.651086897E-2,1.527163084E-3
3.186239290E-1,-1.069014147E-2,1.165225431E-1,1.130100712E-2
3.286239290E-1,2.290744567E-3,1.221730467E-2,1.389718428E-2
3.386239290E-1,-1.389718428E-2,-6.765332818E-2,5.345070735E-3
3.486239290E-1,-5.497787148E-3,-9.193521738E-2,1.038470957E-2
3.586239290E-1,-1.832595794E-3,-9.071348608E-2,5.497787148E-3
3.686239290E-1,-6.414085161E-3,-5.436700583E-2,1.832595794E-3
3.786239290E-1,-1.221730467E-2,2.687807009E-2,-8.093964309E-3
3.886239290E-1,-2.260201424E-2,1.250746548E-1,-2.046398632E-2
3.986239290E-1,-2.489275858E-2,1.869247705E-1,-2.061670274E-2
4.086239290E-1,-3.191770986E-2,2.318233550E-1,-2.672535367E-2
4.186239290E-1,-2.351831272E-2,2.414444834E-1,-1.939497143E-2
4.286239290E-1,-2.138028294E-2,1.759291887E-1,-1.084285788E-2
4.386239290E-1,-2.275473066E-2,1.348485053E-1,-8.246680722E-3
4.486239290E-1,-2.382374369E-2,1.371392459E-1,-1.191187184E-2
4.586239290E-1,-2.855795063E-2,1.808161139E-1,-1.817324013E-2
4.686239290E-1,-3.665191308E-2,2.608394623E-1,-2.794708498E-2
4.786239290E-1,-4.474587739E-2,3.408628106E-1,-4.031710699E-2
4.886239290E-1,-5.879577994E-2,4.706716835E-1,-6.123924255E-2
4.986239290E-1,-7.376197726E-2,6.368269920E-1,-8.353582025E-2
5.086239290E-1,-8.750644326E-2,8.307767510E-1,-1.081231460E-1
5.186239290E-1,-1.101084575E-1,9.471465349E-1,-1.169806942E-1
