time,x,y
70,2046.27,3741.11
86,2046.27,3741.11
102,2046.27,3741.11
118,2046.27,3741.11
134,2046.27,3741.11
151,2046.27,3741.11
165,2046.27,3741.11
182,2046.27,3741.11
198,2046.27,3741.11
214,2046.27,3741.11
230,2046.27,3741.11
245,2046.27,3741.11
261,2046.27,3741.11
277,2046.27,3741.11
293,2046.27,3741.11
309,2046.27,3741.11
325,2046.27,3741.11
341,2046.27,3741.11
357,2046.27,3741.11
373,2046.27,3741.11
390,2046.27,3741.11
407,2046.27,3741.11
422,2046.27,3741.11
438,2046.27,3741.11
454,2046.27,3741.11
471,2046.27,3741.11
486,2046.27,3741.11
502,2046.27,3741.11
519,2046.27,3741.11
534,2046.27,3741.11
550,2046.27,3741.11
566,2046.27,3741.11
582,2046.27,3741.11
598,2046.27,3741.11
614,2046.27,3741.11
630,2046.27,3741.11
645,2046.27,3741.11
661,2046.27,3741.11
678,2046.27,3741.11
693,2046.27,3741.11
710,2046.27,3741.11
726,2046.27,3741.11
742,2046.27,3741.11
757,2046.27,3741.11
773,2046.27,3741.11
790,2046.27,3741.11
806,2046.27,3741.11
822,2046.27,3741.11
839,2046.27,3741.11
855,2046.27,3741.11
870,2046.27,3741.11
886,2046.27,3741.11
902,2046.27,3741.11
918,2046.27,3741.11
933,2046.27,3741.11
950,2046.27,3741.11
966,2046.27,3732.21
981,2046.27,3732.21
998,2046.27,3723.32
1013,2046.27,3723.32
1030,2055.16,3723.32
1046,2055.16,3723.32
1062,2055.16,3723.32
1077,2055.16,3723.32
1093,2055.16,3723.32
1109,2055.16,3714.42
1125,2055.16,3714.42
1142,2055.16,3714.42
1157,2055.16,3714.42
1173,2055.16,3714.42
1190,2055.16,3714.42
1207,2055.16,3714.42
1223,2055.16,3705.52
1238,2055.16,3705.52
1254,2055.16,3705.52
1270,2055.16,3705.52
1286,2055.16,3705.52
1302,2055.16,3696.63
1318,2055.16,3696.63
1335,2055.16,3696.63
1350,2055.16,3696.63
1366,2055.16,3696.63
1382,2055.16,3687.73
1398,2055.16,3678.83
1414,2055.16,3678.83
1429,2055.16,3678.83
1446,2055.16,3678.83
1461,2046.27,3678.83
1478,2046.27,3669.94
1494,2046.27,3669.94
1510,2046.27,3661.04
1525,2046.27,3661.04
1541,2046.27,3661.04
1557,2046.27,3652.14
1573,2046.27,3652.14
1590,2046.27,3652.14
1605,2046.27,3643.25
1621,2046.27,3643.25
1638,2046.27,3643.25
1654,2046.27,3643.25
1670,2046.27,3643.25
1686,2046.27,3634.35
1703,2046.27,3634.35
1718,2046.27,3634.35
1734,2046.27,3634.35
1750,2046.27,3625.45
1766,2046.27,3625.45
1783,2046.27,3625.45
1797,2046.27,3616.55
1814,2046.27,3616.55
1830,2046.27,3607.66
1846,2046.27,3607.66
1862,2046.27,3598.76
1878,2046.27,3589.86
1893,2055.16,3589.86
1910,2055.16,3580.97
1925,2055.16,3580.97
1941,2055.16,3572.07
1957,2055.16,3572.07
1973,2055.16,3572.07
1990,2055.16,3563.17
2006,2055.16,3563.17
2022,2064.06,3563.17
2037,2064.06,3563.17
2054,2064.06,3554.28
2071,2064.06,3554.28
2086,2064.06,3554.28
2102,2064.06,3554.28
2118,2064.06,3545.38
2134,2064.06,3545.38
2150,2064.06,3545.38
2166,2064.06,3545.38
2181,2064.06,3545.38
2198,2064.06,3536.48
2214,2064.06,3536.48
2229,2064.06,3536.48
2245,2064.06,3527.59
2262,2064.06,3527.59
2277,2064.06,3527.59
2293,2064.06,3518.69
2309,2064.06,3509.79
2325,2064.06,3509.79
