"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.586327100E-2,-9.232706070E0,2.338984162E-1,3.884747505E0
3.586327100E-2,-8.965308189E0,4.067798555E-1,3.894917011E0
4.586327100E-2,-8.927022934E0,2.967100143E-1,3.914657831E0
5.586327100E-2,-9.001798630E0,3.110669553E-1,3.704089403E0
6.586327100E-2,-9.062217712E0,2.961117923E-1,3.493520975E0
7.586327100E-2,-9.043074608E0,3.541377485E-1,3.436093330E0
8.586327100E-2,-9.005388260E0,4.307080805E-1,3.535993576E0
9.586327100E-2,-8.954540253E0,3.828516304E-1,3.728017569E0
1.058632710E-1,-8.868997574E0,3.589234054E-1,3.848257065E0
1.158632710E-1,-8.845666885E0,4.019941986E-1,3.914657831E0
1.258632710E-1,-8.949754715E0,4.402793646E-1,3.693919897E0
1.358632710E-1,-8.926424980E0,4.019941986E-1,3.799204111E0
1.458632710E-1,-8.977272034E0,4.115654826E-1,3.602992773E0
1.558632710E-1,-8.959325790E0,5.024927258E-1,3.688536167E0
1.658632710E-1,-8.931808472E0,5.072783828E-1,3.884747505E0
1.758632710E-1,-8.935996056E0,5.072783828E-1,3.750749588E0
1.858632710E-1,-8.989236832E0,5.407779217E-1,3.817150354E0
1.958632710E-1,-8.983852386E0,4.785645306E-1,3.769891977E0
2.058632710E-1,-9.007183075E0,4.737788737E-1,3.683750391E0
2.158632710E-1,-8.855836868E0,4.067798555E-1,3.924229145E0
2.258632710E-1,-8.860024452E0,3.972085714E-1,3.876372576E0
2.358632710E-1,-8.793622971E0,3.780659735E-1,3.958326817E0
2.458632710E-1,-8.850452423E0,3.397808075E-1,3.886542082E0
2.558632710E-1,-8.912068367E0,3.349951804E-1,3.790829182E0
2.658632710E-1,-8.916254997E0,3.397808075E-1,3.771686792E0
2.758632710E-1,-8.997013092E0,4.115654826E-1,3.665206194E0
2.858632710E-1,-9.083154678E0,5.066801906E-1,3.644867182E0
2.958632710E-1,-9.135796547E0,5.210371017E-1,3.644268990E0
3.058632710E-1,-9.116056442E0,3.918247223E-1,3.597608805E0
3.158632710E-1,-9.117252350E0,6.077769399E-1,3.672384501E0
3.258632710E-1,-9.107083321E0,5.934200287E-1,3.653241873E0
3.358632710E-1,-8.998209953E0,5.503492355E-1,3.754936934E0
3.458632710E-1,-8.944371223E0,5.886343718E-1,3.616751432E0
3.558632710E-1,-8.868398666E0,5.557330847E-1,3.693919897E0
3.658632710E-1,-8.925228119E0,5.742774606E-1,3.611965895E0
3.758632710E-1,-9.015557289E0,5.647061467E-1,3.515654564E0
3.858632710E-1,-9.105288506E0,5.742774606E-1,3.362514019E0
3.958632710E-1,-9.247661591E0,6.311069727E-1,3.203391314E0
4.058632710E-1,-9.579067230E0,5.922235847E-1,2.828316450E0
4.158632710E-1,-9.052047729E0,3.924229145E-1,3.980460405E0
4.258632710E-1,-8.936594009E0,5.503492355E-1,3.879961967E0
4.358632710E-1,-8.936594009E0,6.077769399E-1,3.836292982E0
4.458632710E-1,-8.955139160E0,5.790630579E-1,3.754936934E0
4.558632710E-1,-8.949754715E0,5.886343718E-1,3.654438496E0
4.658632710E-1,-8.949754715E0,5.838487148E-1,3.673580885E0
4.758632710E-1,-8.954540253E0,5.694918036E-1,3.664607763E0
4.858632710E-1,-8.987442017E0,5.503492355E-1,3.621536970E0
4.958632710E-1,-9.006584167E0,5.599204898E-1,3.611367464E0
5.058632710E-1,-9.034700394E0,5.359922647E-1,3.573082447E0
5.158632710E-1,-9.077771187E0,5.312066078E-1,3.544368505E0
5.258632710E-1,-9.111269951E0,5.359922647E-1,3.534198999E0
5.358632710E-1,-9.125029564E0,4.977070987E-1,3.525225878E0
5.458632710E-1,-9.134600639E0,4.827519655E-1,3.501297712E0
5.558632710E-1,-9.096315384E0,4.546363056E-1,3.521038532E0
5.658632710E-1,-9.077771187E0,4.115654826E-1,3.568894863E0
5.758632710E-1,-9.120243073E0,4.157529473E-1,3.540181160E0
5.858632710E-1,-9.182456970E0,3.583251834E-1,3.530609846E0
5.958632710E-1,-9.244071960E0,2.913261652E-1,3.449253798E0
6.058632710E-1,-9.233902931E0,2.530409992E-1,3.378067255E0
6.158632710E-1,-9.190832138E0,2.291127741E-1,3.402593851E0
6.258632710E-1,-9.095717430E0,2.961117923E-1,3.436093330E0
6.358632710E-1,-9.033503532E0,3.206382394E-1,3.450450182E0
6.458632710E-1,-8.995218277E0,3.110669553E-1,3.484548092E0
6.558632710E-1,-8.971888542E0,3.110669553E-1,3.508476257E0
6.658632710E-1,-8.967103004E0,1.914258152E-1,3.537788391E0
6.758632710E-1,-8.972486496E0,4.307080805E-1,3.564707518E0
6.858632710E-1,-9.010771751E0,5.359922647E-1,3.568894863E0
6.958632710E-1,-8.977272034E0,4.546363056E-1,3.583850145E0
7.058632710E-1,-8.953942299E0,4.785645306E-1,3.598206997E0
7.158632710E-1,-8.930013657E0,5.455635786E-1,3.607180119E0
7.258632710E-1,-8.892327309E0,5.551348329E-1,3.650849104E0
7.358632710E-1,-8.897112846E0,5.647061467E-1,3.688536167E0
7.458632710E-1,-8.930612564E0,5.838487148E-1,3.688536167E0
7.558632710E-1,-8.977870941E0,5.982056856E-1,3.630510092E0
7.658632710E-1,-9.044271469E0,6.125625968E-1,3.548556089E0
7.758632710E-1,-9.125627518E0,6.167500615E-1,3.495913982E0
7.858632710E-1,-9.177671432E0,6.263213158E-1,3.418745279E0
7.958632710E-1,-9.177671432E0,6.263213158E-1,3.442673683E0
8.058632710E-1,-9.148957253E0,6.406782866E-1,3.452244759E0
8.158632710E-1,-9.106484413E0,6.460621357E-1,3.524029493E0
8.258632710E-1,-9.083154678E0,6.508477330E-1,3.571886063E0
8.358632710E-1,-9.077771187E0,6.317051649E-1,3.558127165E0
8.458632710E-1,-9.077771187E0,6.125625968E-1,3.500699520E0
