time,x,y
20,2072.96,3661.04
35,2072.96,3661.04
51,2072.96,3661.04
67,2072.96,3661.04
83,2072.96,3661.04
99,2072.96,3661.04
115,2072.96,3661.04
131,2072.96,3661.04
147,2072.96,3661.04
163,2072.96,3661.04
179,2072.96,3661.04
195,2072.96,3652.14
211,2072.96,3643.25
226,2072.96,3643.25
243,2072.96,3643.25
259,2072.96,3634.35
275,2072.96,3634.35
292,2072.96,3634.35
307,2072.96,3616.55
323,2072.96,3616.55
340,2072.96,3616.55
356,2072.96,3607.66
372,2072.96,3607.66
388,2072.96,3607.66
404,2072.96,3607.66
419,2072.96,3607.66
435,2072.96,3607.66
451,2072.96,3607.66
467,2072.96,3598.76
483,2072.96,3598.76
500,2072.96,3598.76
515,2072.96,3598.76
531,2072.96,3598.76
547,2072.96,3598.76
563,2072.96,3598.76
579,2072.96,3598.76
594,2072.96,3589.86
610,2072.96,3589.86
627,2072.96,3589.86
643,2072.96,3589.86
659,2072.96,3589.86
675,2072.96,3589.86
692,2072.96,3589.86
708,2072.96,3589.86
725,2072.96,3589.86
741,2072.96,3589.86
756,2072.96,3589.86
771,2072.96,3589.86
788,2072.96,3589.86
804,2072.96,3589.86
819,2072.96,3580.97
836,2072.96,3580.97
851,2072.96,3580.97
867,2072.96,3580.97
883,2072.96,3580.97
900,2072.96,3580.97
916,2072.96,3580.97
931,2072.96,3580.97
948,2072.96,3572.07
963,2072.96,3572.07
979,2072.96,3572.07
994,2072.96,3572.07
1011,2072.96,3572.07
1026,2072.96,3563.17
1043,2072.96,3563.17
1059,2072.96,3563.17
1076,2072.96,3563.17
1092,2072.96,3563.17
1107,2072.96,3563.17
1124,2072.96,3554.28
1139,2072.96,3554.28
1155,2072.96,3554.28
1172,2072.96,3554.28
1188,2072.96,3554.28
1203,2072.96,3554.28
1219,2072.96,3554.28
1235,2072.96,3545.38
1251,2072.96,3545.38
1268,2072.96,3545.38
1284,2072.96,3545.38
1300,2072.96,3545.38
1315,2072.96,3545.38
1330,2072.96,3545.38
1347,2072.96,3545.38
1363,2072.96,3545.38
1379,2072.96,3545.38
1395,2072.96,3545.38
1411,2072.96,3536.48
1427,2072.96,3536.48
1442,2072.96,3527.59
1459,2072.96,3527.59
1475,2072.96,3527.59
1491,2072.96,3527.59
1508,2072.96,3527.59
1524,2072.96,3527.59
1539,2072.96,3527.59
1556,2072.96,3518.69
1572,2072.96,3518.69
1588,2072.96,3518.69
1604,2072.96,3518.69
1620,2072.96,3518.69
1635,2072.96,3518.69
1651,2072.96,3509.79
1668,2072.96,3509.79
1683,2072.96,3509.79
1699,2072.96,3509.79
1716,2072.96,3500.9
1731,2072.96,3500.9
1747,2072.96,3500.9
1763,2072.96,3500.9
1779,2072.96,3500.9
1795,2072.96,3500.9
1811,2072.96,3500.9
1826,2072.96,3492
1843,2072.96,3492
1860,2072.96,3483.1
1875,2072.96,3483.1
1892,2072.96,3483.1
1908,2072.96,3483.1
1924,2072.96,3483.1
1940,2064.06,3474.21
1955,2064.06,3474.21
1972,2064.06,3474.21
1987,2064.06,3474.21
2004,2064.06,3474.21
2019,2064.06,3474.21
2035,2064.06,3474.21
2051,2064.06,3474.21
2067,2064.06,3474.21
2083,2064.06,3474.21
2099,2064.06,3465.31
2115,2064.06,3465.31
2132,2064.06,3465.31
2146,2064.06,3465.31
2163,2064.06,3465.31
2178,2064.06,3465.31
2195,2064.06,3465.31
2211,2064.06,3465.31
2226,2064.06,3465.31
2243,2064.06,3465.31
2260,2055.16,3456.41
2275,2055.16,3456.41
2292,2055.16,3456.41
2307,2055.16,3456.41
2324,2055.16,3456.41
2340,2055.16,3456.41
2356,2055.16,3456.41
2372,2055.16,3447.52
2388,2055.16,3447.52
2404,2055.16,3447.52
2419,2055.16,3447.52
2435,2055.16,3447.52
2452,2055.16,3447.52
2467,2055.16,3447.52
2483,2055.16,3447.52
2498,2055.16,3438.62
2515,2055.16,3438.62
2531,2055.16,3438.62
2547,2055.16,3438.62
2563,2055.16,3438.62
2579,2055.16,3429.72
2595,2055.16,3429.72
2610,2055.16,3429.72
2626,2055.16,3429.72
2643,2055.16,3429.72
2659,2055.16,3429.72
2675,2055.16,3429.72
2692,2055.16,3420.83
2708,2055.16,3420.83
2724,2055.16,3411.93
2740,2055.16,3411.93
2755,2055.16,3411.93
2771,2055.16,3411.93
2788,2055.16,3403.03
2804,2055.16,3394.13
2820,2055.16,3394.13
2836,2055.16,3394.13
2851,2055.16,3394.13
2866,2055.16,3385.24
2883,2055.16,3385.24
2899,2055.16,3385.24
2915,2055.16,3376.34
2931,2055.16,3376.34
2948,2055.16,3367.44
2963,2055.16,3358.55
2979,2055.16,3349.65
2995,2055.16,3340.75
3011,2055.16,3331.86
3026,2055.16,3331.86
3043,2055.16,3331.86
3059,2055.16,3331.86
3075,2055.16,3331.86
3092,2055.16,3331.86
3108,2055.16,3331.86
3124,2055.16,3322.96
3139,2055.16,3322.96
3156,2055.16,3322.96
3171,2055.16,3322.96
3188,2055.16,3314.06
3203,2055.16,3314.06
3220,2055.16,3314.06
3236,2055.16,3314.06
3251,2055.16,3314.06
3268,2055.16,3305.17
3284,2055.16,3305.17
3300,2055.16,3296.27
3315,2055.16,3296.27
3330,2055.16,3296.27
3347,2055.16,3296.27
3363,2055.16,3296.27
3379,2055.16,3296.27
3394,2055.16,3296.27
3410,2055.16,3287.37
3426,2055.16,3287.37
3443,2046.27,3278.48
3459,2046.27,3278.48
3476,2046.27,3278.48
3492,2046.27,3278.48
3508,2046.27,3278.48
3523,2046.27,3269.58
3539,2046.27,3269.58
3556,2046.27,3269.58
3572,2046.27,3260.68
3588,2046.27,3260.68
3603,2046.27,3260.68
3619,2046.27,3260.68
3635,2046.27,3260.68
3651,2046.27,3251.79
3668,2046.27,3251.79
3683,2046.27,3251.79
3699,2046.27,3251.79
3715,2046.27,3251.79
3731,2046.27,3251.79
3747,2046.27,3251.79
3763,2046.27,3242.89
3779,2046.27,3242.89
3795,2046.27,3242.89
3810,2046.27,3233.99
3826,2046.27,3233.99
3842,2046.27,3233.99
3859,2046.27,3233.99
3875,2046.27,3233.99
3892,2046.27,3233.99
3908,2046.27,3233.99
3924,2046.27,3233.99
3940,2046.27,3233.99
3956,2046.27,3233.99
3972,2046.27,3233.99
3988,2046.27,3225.1
4004,2046.27,3225.1
4019,2046.27,3225.1
4036,2046.27,3225.1
4051,2046.27,3225.1
4067,2046.27,3216.2
4083,2046.27,3216.2
4100,2046.27,3216.2
4115,2046.27,3216.2
4132,2046.27,3216.2
4147,2046.27,3216.2
4163,2046.27,3207.3
4179,2046.27,3207.3
4195,2046.27,3198.4
4211,2046.27,3198.4
4226,2046.27,3198.4
4243,2046.27,3180.61
4260,2046.27,3180.61
4275,2046.27,3180.61
4291,2046.27,3180.61
4307,2046.27,3180.61
4324,2046.27,3171.71
4340,2046.27,3171.71
4356,2046.27,3171.71
4371,2046.27,3171.71
4388,2046.27,3171.71
4403,2046.27,3171.71
4420,2046.27,3162.82
4436,2046.27,3162.82
4451,2046.27,3162.82
4467,2046.27,3162.82
4483,2046.27,3162.82
4499,2046.27,3162.82
4515,2046.27,3162.82
4531,2046.27,3153.92
4547,2046.27,3153.92
4563,2046.27,3153.92
4579,2046.27,3153.92
4594,2046.27,3145.02
4611,2046.27,3145.02
4627,2046.27,3136.13
4643,2046.27,3136.13
4659,2046.27,3136.13
4675,2046.27,3136.13
4692,2046.27,3127.23
4708,2055.16,3118.33
4723,2055.16,3118.33
4740,2055.16,3118.33
4756,2055.16,3109.44
4772,2055.16,3109.44
4788,2055.16,3109.44
4804,2055.16,3109.44
4819,2055.16,3100.54
4835,2055.16,3100.54
4852,2055.16,3100.54
4867,2055.16,3091.64
4884,2055.16,3091.64
4899,2055.16,3091.64
4915,2055.16,3082.75
4931,2055.16,3082.75
4947,2055.16,3082.75
4962,2055.16,3082.75
4979,2055.16,3082.75
4995,2055.16,3082.75
5011,2055.16,3082.75
5026,2055.16,3082.75
5043,2055.16,3073.85
5060,2055.16,3064.95
5075,2055.16,3064.95
5092,2055.16,3064.95
5108,2055.16,3056.06
5124,2055.16,3056.06
5140,2055.16,3047.16
5156,2055.16,3047.16
5172,2055.16,3047.16
5188,2055.16,3047.16
5204,2055.16,3038.26
5220,2055.16,3038.26
5235,2055.16,3038.26
5252,2055.16,3038.26
5268,2055.16,3038.26
5283,2055.16,3029.37
5299,2055.16,3029.37
5315,2055.16,3029.37
5331,2055.16,3029.37
5347,2055.16,3029.37
5363,2055.16,3029.37
5379,2055.16,3029.37
5395,2055.16,3029.37
5411,2055.16,3029.37
5426,2055.16,3029.37
5443,2055.16,3029.37
5459,2064.06,3029.37
5475,2064.06,3029.37
5492,2064.06,3020.47
5508,2064.06,3020.47
5524,2064.06,3020.47
5540,2064.06,3011.57
5556,2064.06,3011.57
5572,2064.06,3002.67
5587,2072.96,3002.67
5604,2072.96,3002.67
5619,2072.96,2993.78
5636,2072.96,2984.88
5651,2072.96,2984.88
5668,2072.96,2975.98
5684,2072.96,2975.98
5699,2072.96,2975.98
5715,2072.96,2967.09
5731,2072.96,2967.09
5748,2072.96,2958.19
5763,2072.96,2958.19
5779,2072.96,2958.19
5795,2072.96,2958.19
5811,2072.96,2958.19
5827,2072.96,2958.19
5842,2072.96,2949.29
5859,2072.96,2949.29
5875,2072.96,2949.29
5892,2072.96,2949.29
5907,2072.96,2949.29
5924,2072.96,2940.4
5940,2072.96,2940.4
5956,2072.96,2940.4
5972,2072.96,2931.5
5987,2072.96,2931.5
6004,2072.96,2931.5
6019,2072.96,2922.6
6035,2072.96,2922.6
6051,2072.96,2913.71
6067,2072.96,2913.71
6083,2072.96,2904.81
6099,2072.96,2895.91
6115,2072.96,2887.02
6131,2072.96,2887.02
6147,2072.96,2887.02
6163,2072.96,2887.02
6179,2072.96,2887.02
6194,2072.96,2878.12
6212,2072.96,2869.22
6227,2072.96,2869.22
6242,2072.96,2860.33
6259,2072.96,2851.43
6275,2072.96,2851.43
6292,2072.96,2851.43
6308,2072.96,2851.43
6324,2072.96,2851.43
6340,2072.96,2842.53
6355,2072.96,2833.64
6371,2072.96,2833.64
6388,2072.96,2833.64
6403,2072.96,2833.64
6420,2072.96,2824.74
6436,2072.96,2824.74
6451,2072.96,2815.84
6466,2072.96,2815.84
6483,2072.96,2806.94
6498,2072.96,2806.94
6516,2072.96,2806.94
6531,2072.96,2806.94
6547,2072.96,2798.05
6563,2072.96,2789.15
6578,2072.96,2789.15
6595,2072.96,2789.15
6611,2072.96,2780.25
6627,2072.96,2780.25
6643,2072.96,2771.36
6660,2072.96,2762.46
6675,2072.96,2762.46
6691,2064.06,2762.46
6708,2064.06,2753.56
6724,2064.06,2753.56
6739,2064.06,2744.67
6756,2064.06,2744.67
6772,2064.06,2744.67
6788,2064.06,2744.67
6804,2064.06,2735.77
6819,2064.06,2735.77
6836,2064.06,2726.87
6852,2064.06,2726.87
6868,2064.06,2726.87
6882,2064.06,2717.98
6899,2064.06,2717.98
6915,2064.06,2717.98
6932,2064.06,2709.08
6947,2064.06,2709.08
6963,2064.06,2709.08
6978,2064.06,2709.08
6995,2064.06,2709.08
7011,2064.06,2700.18
7027,2064.06,2691.29
7043,2064.06,2691.29
7059,2064.06,2691.29
7075,2064.06,2691.29
7092,2064.06,2682.39
7108,2064.06,2682.39
7124,2064.06,2682.39
7140,2064.06,2682.39
7156,2064.06,2673.49
7172,2064.06,2673.49
7188,2064.06,2664.6
7204,2064.06,2655.7
7219,2064.06,2655.7
7235,2064.06,2655.7
7251,2064.06,2637.91
7267,2064.06,2637.91
7283,2064.06,2629.01
7299,2064.06,2620.11
7315,2064.06,2611.21
7331,2064.06,2602.32
7347,2064.06,2593.42
7362,2064.06,2584.52
7379,2064.06,2575.63
7394,2064.06,2575.63
7410,2064.06,2566.73
7427,2064.06,2557.83
7442,2064.06,2557.83
7459,2064.06,2540.04
7475,2064.06,2540.04
7492,2064.06,2540.04
7508,2064.06,2540.04
7524,2064.06,2531.14
7539,2064.06,2522.25
7556,2064.06,2513.35
7572,2064.06,2504.45
7588,2064.06,2504.45
7604,2064.06,2495.56
7619,2064.06,2486.66
7636,2072.96,2486.66
7651,2072.96,2486.66
