"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.003625017E-3,-8.964109039E0,-4.565505981E-2,4.759951630E0
1.104362501E-2,-8.709638214E0,2.656974792E-1,5.081483002E0
2.108362500E-2,-8.153843994E0,3.882925415E-1,4.359534302E0
3.112362500E-2,-7.971972198E0,4.544549561E-1,3.995940399E0
4.116462500E-2,-7.964338074E0,1.305285645E-1,4.231550446E0
5.120462502E-2,-8.242010651E0,8.232879639E-2,4.581372986E0
6.124462502E-2,-8.487500153E0,7.589218140E-2,5.037474518E0
7.128462501E-2,-8.373587036E0,2.918930054E-2,4.856500854E0
8.132562501E-2,-8.292006683E0,-4.415817261E-2,4.922064514E0
9.136562500E-2,-8.366701355E0,-5.987548828E-3,4.980892181E0
1.014056250E-1,-8.281678162E0,6.092330933E-2,4.916975098E0
1.114466250E-1,-8.387657776E0,1.284329224E-1,4.863985291E0
1.214866250E-1,-8.319848785E0,1.725910950E-1,4.744084625E0
1.315266250E-1,-8.528065796E0,1.190025330E-1,4.672982483E0
1.415666250E-1,-8.629854126E0,1.916015625E-2,4.688699799E0
1.516076250E-1,-8.607400818E0,7.229965210E-2,4.762496338E0
1.616476250E-1,-8.687184906E0,1.131646729E-1,4.827760620E0
1.716876250E-1,-8.664282532E0,9.460327148E-2,4.807552643E0
1.817286250E-1,-8.482710114E0,1.776805115E-1,4.561464386E0
1.917686250E-1,-8.239765320E0,1.833686829E-1,4.606071625E0
2.018086250E-1,-8.429121552E0,2.366578674E-1,4.674329681E0
2.118486250E-1,-8.378377075E0,2.041754150E-1,4.557123413E0
2.218896250E-1,-8.389753418E0,1.523831177E-1,4.605772247E0
2.319296250E-1,-8.542884979E0,1.660047913E-1,4.722230072E0
2.419696250E-1,-8.656349030E0,7.409591675E-2,4.795128479E0
2.520096250E-1,-8.629405060E0,6.885681152E-2,4.719236298E0
2.620506250E-1,-8.516539764E0,1.261875916E-1,4.733606415E0
2.720906250E-1,-8.448281708E0,9.819580078E-2,4.729714508E0
2.821306250E-1,-8.428522797E0,1.604663086E-1,4.714446259E0
2.921706250E-1,-8.395291901E0,1.707948303E-1,4.651576996E0
3.022116250E-1,-8.394543457E0,1.068777466E-1,4.458328857E0
3.122516250E-1,-8.542585602E0,7.080276489E-2,4.529281311E0
3.222916250E-1,-8.224497070E0,1.145118713E-1,4.382286987E0
3.323326250E-1,-8.256081390E0,4.161346436E-2,4.219725037E0
3.423726250E-1,-8.327482910E0,6.212081909E-2,4.149221649E0
3.524126250E-1,-7.869884491E0,1.565744019E-1,3.891008606E0
3.624526250E-1,-7.674840088E0,1.733395386E-1,3.796555023E0
3.724936250E-1,-7.609126740E0,2.098635864E-1,3.575764160E0
3.825336250E-1,-7.377857666E0,2.339634705E-1,3.205883331E0
3.925736250E-1,-7.413034515E0,4.206253052E-2,3.256627808E0
4.026136250E-1,-7.579787750E0,-8.741821289E-2,3.555705872E0
4.126546250E-1,-8.021519165E0,-1.154100037E-1,3.335663452E0
4.226946250E-1,-8.595425720E0,-2.260299683E-1,3.282973022E0
4.327346250E-1,-9.170829163E0,-2.544708252E-1,3.503464508E0
4.427746250E-1,-9.597741394E0,-1.640588379E-1,2.876867523E0
4.528156250E-1,-9.923613739E0,-1.651066589E-1,2.062860260E0
4.628556250E-1,-1.069016968E1,-3.254232788E-1,2.166295166E0
4.728956250E-1,-1.161210251E1,-3.106040955E-1,2.222129059E0
4.829356250E-1,-1.210996719E1,-7.948471069E-2,1.823358307E0
4.929766250E-1,-1.177930481E1,-8.996292114E-2,1.333277435E0
5.030166250E-1,-1.092338470E1,-1.070274353E-1,1.121767273E0
5.130566250E-1,-1.029050079E1,1.541793823E-1,1.254541168E0
5.230966250E-1,-9.820627899E0,1.932481384E-1,9.818083191E-1
5.331376250E-1,-9.967023468E0,1.628613281E-1,1.034049683E0
5.431776250E-1,-1.038270905E1,1.410067749E-1,9.895921326E-1
5.532176250E-1,-1.028885422E1,-8.217910767E-2,9.717791748E-1
5.632576250E-1,-1.122395966E1,-1.290167084E0,9.220825195E-1
5.732986250E-1,-1.018811371E1,-8.846603394E-2,9.687854004E-1
5.833386250E-1,-1.044512924E1,1.219963074E-1,6.150709534E-1
5.933786250E-1,-1.032073792E1,-1.338217163E-1,9.985734558E-1
6.034186250E-1,-9.367370453E0,-7.229965210E-2,2.001787262E0
6.134596250E-1,-8.389154663E0,-1.526824951E-2,2.199376373E0
6.234996250E-1,-8.667575684E0,1.413061523E-1,1.055754547E0
6.335396250E-1,-9.495503998E0,3.365002441E-1,1.065933380E0
6.435796250E-1,-9.820178833E0,2.326162720E-1,1.409468994E0
6.536206250E-1,-9.447603607E0,1.161584473E-1,1.184935913E0
6.636606250E-1,-9.156009979E0,2.206411743E-1,1.109642487E0
6.737006250E-1,-9.166937256E0,1.736389160E-1,1.177451477E0
6.837406250E-1,-9.305249634E0,1.422042847E-1,1.098116455E0
6.937816250E-1,-9.414971466E0,-1.945953369E-2,1.072369995E0
7.038216250E-1,-9.483977966E0,-9.744735718E-2,1.053359528E0
7.138616250E-1,-9.557624817E0,-1.249900818E-1,1.001866608E0
7.239016250E-1,-9.628427582E0,-1.698966980E-1,9.171427917E-1
7.339426250E-1,-9.651479645E0,-7.140151978E-2,8.979826355E-1
7.439826250E-1,-9.776020660E0,-7.753875732E-2,8.434959412E-1
7.540226250E-1,-9.834249573E0,-9.565109253E-2,8.190966797E-1
7.640626250E-1,-9.842482452E0,-8.966354370E-2,8.400531006E-1
7.741036250E-1,-9.807155914E0,-8.322692871E-2,8.012837219E-1
7.841436250E-1,-9.894873505E0,-4.999603271E-2,8.583151245E-1
7.941836250E-1,-9.852212219E0,-8.382568359E-3,8.440946960E-1
8.042236250E-1,-9.808952179E0,-8.083190918E-3,8.647517395E-1
8.142646250E-1,-9.791737976E0,9.849517822E-2,9.256750488E-1
8.243046250E-1,-9.751172333E0,1.185534668E-1,9.154962158E-1
8.343446250E-1,-9.650731201E0,1.074765015E-1,8.755293274E-1
8.443846250E-1,-9.573042755E0,5.104385376E-2,9.104067993E-1
8.544256250E-1,-9.550439758E0,-4.790039062E-3,9.647438049E-1
8.644656250E-1,-9.563312988E0,-7.484436035E-4,1.015338593E0
8.745056250E-1,-9.530082092E0,1.047821045E-2,1.037492523E0
8.845456250E-1,-9.483678589E0,1.975891113E-2,1.034648438E0
8.945856250E-1,-9.447004852E0,3.832031250E-2,1.015338593E0
9.046266250E-1,-9.490414581E0,2.948867798E-2,9.623487854E-1
9.146666250E-1,-9.589658203E0,2.050735474E-2,8.792715454E-1
9.247066250E-1,-9.663305054E0,8.831634521E-3,8.002359009E-1
9.347466250E-1,-9.732311554E0,-1.152603149E-2,6.836283875E-1
9.447876250E-1,-9.750723267E0,-7.783813477E-3,5.334906006E-1
9.548276250E-1,-9.759105835E0,3.308120728E-2,4.113446045E-1
9.648676250E-1,-9.825567627E0,4.580474854E-2,2.960842896E-1
9.749076250E-1,-9.881102142E0,-2.290237427E-2,2.472857666E-1
9.849486250E-1,-9.881700897E0,-7.634124756E-2,2.284249878E-1
9.949886250E-1,-9.859397278E0,-8.412506104E-2,2.269281006E-1
1.005028625E0,-9.988878021E0,7.634124756E-3,1.472937012E-1
1.015068625E0,-1.005548950E1,7.649093628E-2,6.780899048E-2
1.025109625E0,-1.003423370E1,1.886077881E-2,3.188369751E-2
1.035149625E0,-1.014904495E1,-3.936813354E-2,3.038681030E-2
1.045189625E0,-1.015203873E1,-1.323248291E-1,-5.763015747E-2
1.055229625E0,-1.000474503E1,-1.797761536E-1,-1.799258423E-1
1.065270625E0,-9.844877472E0,-1.395098877E-1,-1.565744019E-1
1.075310625E0,-9.730215912E0,-1.625619507E-1,-1.341210938E-1
1.085350625E0,-9.612410889E0,-1.507365417E-1,-6.765930176E-2
1.095390625E0,-9.559870148E0,-1.383123779E-1,1.107696533E-2
1.105430625E0,-9.587562561E0,-1.390608215E-1,6.840774536E-2
1.115471625E0,-9.614955597E0,-1.270857239E-1,7.244934082E-2
1.125511625E0,-9.680519257E0,-8.307723999E-2,4.790039062E-3
1.135551250E0,-9.728419647E0,1.257385254E-2,-1.011895752E-1
1.145591250E0,-9.776769104E0,1.038839722E-1,-1.663041687E-1
1.155632250E0,-9.814340973E0,1.643582153E-1,-1.923500061E-1
1.165672250E0,-9.828561401E0,2.417472839E-1,-2.808160400E-1
1.175712250E0,-9.866432648E0,2.740800476E-1,-2.962339783E-1
1.185752250E0,-9.855954437E0,2.375559998E-1,-2.176473999E-1
1.195793250E0,-9.985584869E0,1.013392639E-1,5.613327026E-2
1.205833250E0,-1.028331573E1,5.818400574E-1,2.772235107E-1
1.215873250E0,-1.021625519E1,1.163829803E0,3.094065857E-1
1.225913250E0,-1.021984772E1,1.745669861E0,3.942800903E-1
1.235954250E0,-9.887987823E0,1.607058105E0,6.182144165E-1
1.245994250E0,-9.779912567E0,8.180488586E-1,6.932084656E-1
1.256034250E0,-9.639953613E0,-2.058219910E-1,4.852908325E-1
1.266074250E0,-9.562414856E0,-8.081694031E-1,5.608836365E-1
1.276114250E0,-9.540859680E0,-7.568261719E-1,6.872209167E-1
1.286155250E0,-9.619745636E0,-2.155517578E-1,3.986210632E-1
1.296195250E0,-9.429341583E0,1.779798889E-1,-3.451821899E-1
1.306235250E0,-9.519154816E0,-4.670288086E-2,-6.885681152E-1
1.316275250E0,-1.001118164E1,-5.477110291E-1,-5.837860107E-2
1.326316250E0,-1.033286270E1,-8.018824768E-1,4.688250732E-1
1.336356250E0,-1.034304153E1,-7.469467163E-1,5.216651917E-1
1.346396250E0,-1.025712021E1,-5.074447632E-1,2.881507874E-1
1.356436250E0,-1.014799713E1,-2.257305908E-1,-4.879852295E-2
1.366477250E0,-9.939780121E0,-7.559280396E-2,-1.357676697E-1
1.376517250E0,-9.632169800E0,-3.442840576E-2,9.999206543E-2
1.386557250E0,-9.362730103E0,2.185455322E-2,4.327500916E-1
1.396597250E0,-9.126820679E0,2.363584900E-1,7.176077271E-1
1.406638250E0,-9.028924255E0,4.793032837E-1,8.342152405E-1
1.416678250E0,-9.040899353E0,6.213578796E-1,7.445516968E-1
1.426718250E0,-9.107510834E0,6.369255066E-1,5.740562439E-1
1.436758250E0,-9.182504883E0,5.472619629E-1,3.541635132E-1
1.446798250E0,-9.302854614E0,4.376898193E-1,2.092648315E-1
1.456839250E0,-9.542206879E0,2.709365845E-1,1.528321838E-1
1.466879250E0,-9.769284668E0,9.131011963E-2,2.739303589E-2
1.476919250E0,-9.874366150E0,-2.649490356E-2,-1.779798889E-1
1.486959250E0,-9.969418488E0,-1.225950623E-1,-3.287164307E-1
1.497000250E0,-1.007150620E1,-1.950444031E-1,-3.870950317E-1
1.507040250E0,-1.016386414E1,-2.520758057E-1,-3.360511780E-1
1.517080250E0,-1.018961060E1,-2.469863892E-1,-2.270777893E-1
1.527120250E0,-1.017329453E1,-1.658551025E-1,-1.447489929E-1
1.537161250E0,-1.010264145E1,-4.685256958E-2,-1.053808594E-1
1.547201250E0,-1.000324814E1,5.298980713E-2,-7.095245361E-2
1.557241250E0,-9.890532532E0,1.922003174E-1,-5.149291992E-2
1.567281250E0,-9.779014435E0,3.005749512E-1,-1.826202393E-2
1.577322250E0,-9.692644043E0,3.885919189E-1,3.607498169E-2
1.587362250E0,-9.595496063E0,4.610412598E-1,1.260379028E-1
