"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.104362501E-2,8.926263452E-2,1.925936192E-1,1.278908551E-1
2.108362500E-2,6.040462106E-2,1.063418090E-1,7.687187940E-2
3.112362500E-2,3.223663196E-2,5.981452018E-2,2.960770018E-2
4.116462500E-2,1.969421096E-2,7.371820044E-3,8.428112604E-3
5.120462502E-2,3.927587345E-2,-2.953458950E-2,7.608044893E-3
6.124462502E-2,5.466734618E-2,-1.582942903E-2,2.358994074E-2
7.128462501E-2,4.241654649E-2,2.671494335E-2,2.019887418E-2
8.132562501E-2,4.958577454E-2,5.556496605E-2,2.677501924E-2
9.136562500E-2,6.100222468E-2,5.797071010E-2,2.669612691E-2
1.014056250E-1,7.532124221E-2,5.237247795E-2,2.348382212E-2
1.114466250E-1,8.507346362E-2,3.540635854E-2,1.867508143E-2
1.214866250E-1,8.060121536E-2,3.715808969E-3,7.633082103E-3
1.315266250E-1,6.319714338E-2,-2.345475554E-2,1.354075223E-2
1.415666250E-1,3.852881491E-2,-8.141580038E-4,1.695306227E-2
1.516076250E-1,2.440554276E-2,-1.470498182E-2,2.472583018E-2
1.616476250E-1,1.909786463E-2,-2.024728619E-2,3.471481800E-2
1.716876250E-1,2.180579305E-2,8.980813436E-3,4.844974726E-2
1.817286250E-1,5.777371116E-4,2.994015813E-2,3.370489180E-2
1.917686250E-1,8.624105249E-4,3.925016150E-2,1.784316078E-2
2.018086250E-1,-3.591193818E-3,3.002443910E-2,1.108246017E-2
2.118486250E-1,-7.162758615E-3,7.024722546E-2,-4.661348648E-3
2.218896250E-1,-6.152355578E-3,8.147192001E-2,-1.243484952E-2
2.319296250E-1,-7.658360526E-3,7.647201419E-2,-1.441903319E-2
2.419696250E-1,-4.139525816E-3,9.060567617E-2,-7.656468078E-3
2.520096250E-1,-3.847416257E-3,9.835839272E-2,-6.030755118E-3
2.620506250E-1,-6.484745070E-3,1.381388307E-1,-8.897115476E-3
2.720906250E-1,-2.366914414E-4,1.733893305E-1,-5.377820926E-4
2.821306250E-1,6.149874534E-4,2.427063584E-1,-9.148048237E-3
2.921706250E-1,-1.009280141E-2,3.477096558E-1,-6.575706881E-3
3.022116250E-1,-2.320327610E-2,4.724795520E-1,8.814106113E-4
3.122516250E-1,-3.629454225E-2,6.751573682E-1,2.462143824E-2
3.222916250E-1,-6.379195303E-2,8.738765717E-1,7.365220226E-3
3.323326250E-1,-9.657949209E-2,1.149390697E0,2.542110905E-2
3.423726250E-1,-1.387684941E-1,1.452093482E0,1.744227856E-2
