"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.125662500E-2,-8.225544891E0,-8.861572266E-2,5.386847992E0
3.129662501E-2,-7.829917603E0,2.342628479E-1,5.876629486E0
4.133662500E-2,-8.101902008E0,6.331832886E-2,6.124813385E0
5.137762500E-2,-7.913443909E0,1.047821045E-1,5.948480072E0
6.141762499E-2,-7.808212738E0,2.499801636E-2,5.951922913E0
7.145762500E-2,-7.830067291E0,-1.863624573E-1,6.098617859E0
8.149862500E-2,-7.795638885E0,-1.384620667E-1,6.293213196E0
9.153862500E-2,-7.686515808E0,-1.487905884E-1,5.984255676E0
1.015796250E-1,-7.726482697E0,-2.077679443E-1,5.811963959E0
1.116196250E-1,-7.788902893E0,-2.589614868E-1,5.815107422E0
1.216596250E-1,-7.722291412E0,-1.682501221E-1,5.778882751E0
1.317006250E-1,-7.721992035E0,-9.190887451E-2,5.688321075E0
1.417406250E-1,-7.807015228E0,-1.031355286E-1,5.637875977E0
1.517816250E-1,-7.840246124E0,-6.541397095E-2,5.681884460E0
1.618216250E-1,-7.850574646E0,-1.826202393E-2,5.676196289E0
1.718616250E-1,-7.939938812E0,-5.867797852E-2,5.610632629E0
1.819026250E-1,-7.993078308E0,-3.562591553E-2,5.707032166E0
1.919426250E-1,-7.950566711E0,4.445755005E-2,5.731581116E0
2.019836250E-1,-7.904462585E0,5.284011841E-2,5.630092163E0
2.120236250E-1,-7.910300446E0,9.984237671E-2,5.629493408E0
2.220636250E-1,-7.914791107E0,1.574725342E-1,5.599106598E0
2.321046250E-1,-8.022417297E0,1.764830017E-1,5.512885895E0
2.421446250E-1,-8.160579987E0,1.434017944E-1,5.608087921E0
2.521856250E-1,-8.164920959E0,1.408570862E-1,5.708978119E0
2.622256250E-1,-8.113727417E0,1.698966980E-1,5.759423218E0
2.722656250E-1,-8.015681305E0,1.716929626E-1,5.725443878E0
2.823066250E-1,-7.907606049E0,1.592687988E-1,5.640869751E0
2.923466250E-1,-7.916287994E0,1.044827271E-1,5.545817413E0
3.023876250E-1,-7.952961731E0,8.652008057E-2,5.537285156E0
3.124276250E-1,-7.999215546E0,6.571334839E-2,5.602699127E0
3.224676250E-1,-8.101452942E0,5.388793945E-3,5.621110840E0
3.325086250E-1,-8.170160065E0,-2.095642090E-3,5.587281189E0
3.425486250E-1,-8.054899750E0,4.640350342E-2,5.484445038E0
3.525896250E-1,-8.177494812E0,3.532653809E-2,5.406457214E0
3.626296250E-1,-8.255482635E0,-3.817062378E-2,5.541177063E0
3.726696250E-1,-8.030799866E0,4.595443726E-2,5.617368622E0
3.827106250E-1,-7.864495697E0,1.204994202E-1,5.539680176E0
3.927506250E-1,-7.840096436E0,1.267863464E-1,5.416636047E0
4.027906250E-1,-7.834258575E0,1.145118713E-1,5.306764526E0
4.128316250E-1,-8.040379944E0,8.771759033E-2,5.310357056E0
4.228716250E-1,-8.222251740E0,6.062393188E-2,5.271887054E0
4.329126250E-1,-8.300538940E0,-7.035369873E-3,5.273084564E0
4.429526250E-1,-8.381370850E0,2.335144043E-2,5.606740723E0
4.529926250E-1,-8.233328705E0,3.338058472E-2,5.629493408E0
4.630336250E-1,-8.084238739E0,2.110610962E-2,5.445226593E0
4.730736250E-1,-8.071066132E0,3.338058472E-2,5.313650208E0
4.831146250E-1,-8.018375702E0,6.167175293E-2,5.187462616E0
4.931546250E-1,-7.947572937E0,8.996292114E-2,5.178032227E0
5.031946250E-1,-7.994874573E0,7.050338745E-2,5.198689270E0
5.132356250E-1,-8.133935394E0,1.721420288E-2,5.197192383E0
5.232756250E-1,-8.194559326E0,-3.023712158E-2,5.194797363E0
5.333166250E-1,-8.311017151E0,-5.284011841E-2,5.026696930E0
5.433566250E-1,-8.338709564E0,-2.754272461E-2,4.494553528E0
5.533966250E-1,-8.487949219E0,2.266287231E-1,4.319118347E0
5.634376250E-1,-8.584199066E0,1.803749084E-1,4.451293488E0
5.734776250E-1,-8.699609070E0,1.486408997E-1,4.246369629E0
5.835186250E-1,-8.692124634E0,2.088157654E-1,4.096680908E0
5.935586250E-1,-8.629854126E0,1.630110168E-1,3.862418060E0
6.035986250E-1,-8.550070038E0,1.196012878E-1,3.682192841E0
6.136396250E-1,-8.383316803E0,9.116043091E-2,3.581003265E0
6.236796250E-1,-8.609945526E0,4.550537109E-2,3.466192017E0
6.337206250E-1,-9.328002319E0,2.224374390E-1,2.863694916E0
6.437606250E-1,-1.006297394E1,4.466711426E-1,2.110461273E0
6.538006250E-1,-1.035516632E1,3.984713745E-1,1.908830566E0
6.638416250E-1,-1.023032593E1,2.236349487E-1,2.040406952E0
6.738816250E-1,-9.842632141E0,1.300794983E-1,2.139500885E0
6.839226250E-1,-9.488917694E0,1.833686829E-1,2.173629913E0
6.939626250E-1,-9.352401581E0,1.977388000E-1,2.203417969E0
7.040026250E-1,-9.315727844E0,1.969903564E-1,2.129022675E0
7.140436250E-1,-9.291777649E0,1.896556091E-1,1.970202942E0
7.240836250E-1,-9.311536560E0,2.562670898E-1,1.850302277E0
7.341246250E-1,-9.420210571E0,2.540217590E-1,1.726509705E0
7.441646250E-1,-9.446256409E0,2.758763123E-1,1.731599121E0
7.542046250E-1,-9.527537384E0,2.812651062E-1,1.731299744E0
7.642456250E-1,-9.604776764E0,2.098635864E-1,1.659000092E0
7.742856250E-1,-9.770931244E0,1.664538574E-1,1.609004059E0
7.843256250E-1,-9.978100433E0,1.410067749E-1,1.548529816E0
7.943666250E-1,-1.005309448E1,1.389111328E-1,1.573976898E0
8.044066250E-1,-1.000938538E1,1.356179810E-1,1.554517365E0
8.144476250E-1,-9.951006775E0,1.315763855E-1,1.562301178E0
8.244876250E-1,-9.912387085E0,1.243913269E-1,1.626218262E0
8.345276250E-1,-9.831854553E0,1.190025330E-1,1.617985382E0
8.445686250E-1,-9.726922760E0,1.353186035E-1,1.594334564E0
8.546091667E-1,-9.651479645E0,1.348695374E-1,1.592089233E0
8.646501667E-1,-9.612560577E0,1.101708984E-1,1.509610748E0
8.746901667E-1,-9.678423615E0,1.445993042E-1,1.419348450E0
8.847301667E-1,-9.737550659E0,1.993853760E-1,1.377435608E0
8.947711667E-1,-9.753567352E0,2.046244812E-1,1.378184052E0
9.048111667E-1,-9.703122253E0,1.842668152E-1,1.410965881E0
9.148521667E-1,-9.631121979E0,2.405497742E-1,1.438358917E0
9.248921667E-1,-9.526040497E0,3.294648743E-1,1.497036896E0
