"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.125662500E-2,-1.050580069E-1,2.897069752E-1,1.472205296E-2
3.129662501E-2,-6.626427174E-2,3.830443025E-1,3.481424972E-2
4.133662500E-2,-4.373552650E-2,4.044811726E-1,3.994616121E-2
5.137762500E-2,-2.614242584E-2,3.721467257E-1,3.145043179E-2
6.141762499E-2,-1.530682109E-2,3.013375401E-1,2.342100069E-2
7.145762500E-2,3.187026456E-2,2.384149432E-1,2.821103111E-2
8.149862500E-2,7.549311221E-2,2.245609164E-1,2.305009216E-2
9.153862500E-2,9.515309334E-2,1.717180014E-1,1.385315321E-2
1.015796250E-1,1.006336138E-1,1.134866551E-1,1.450642664E-2
1.116196250E-1,1.070428118E-1,1.054585949E-1,1.916464791E-2
1.216596250E-1,9.832122177E-2,1.249473393E-1,1.079486590E-2
1.317006250E-1,7.746781409E-2,1.399769038E-1,8.087789640E-3
1.417406250E-1,5.824165419E-2,1.687534153E-1,1.162846200E-2
1.517816250E-1,6.229506433E-2,1.973478645E-1,2.111108415E-2
1.618216250E-1,5.963270366E-2,1.658349484E-1,2.046366967E-2
1.718616250E-1,4.624872655E-2,1.524162740E-1,2.915833890E-2
1.819026250E-1,4.572594538E-2,1.800207347E-1,3.488546610E-2
1.919426250E-1,3.823738918E-2,2.111016065E-1,3.614866734E-2
2.019836250E-1,2.777382918E-2,2.567388713E-1,3.858279809E-2
2.120236250E-1,2.272530459E-2,3.157696128E-1,4.098004103E-2
2.220636250E-1,1.448734850E-2,2.989495993E-1,2.705490589E-2
2.321046250E-1,7.073134184E-3,2.205359787E-1,2.715785988E-2
2.421446250E-1,2.930054441E-3,1.142518818E-1,2.924950793E-2
2.521856250E-1,2.765932819E-3,4.500522837E-2,2.970654890E-2
2.622256250E-1,7.438715082E-3,4.033537582E-2,3.137581795E-2
2.722656250E-1,1.650523581E-2,6.416999549E-2,2.465881594E-2
2.823066250E-1,2.603349462E-2,8.831554651E-2,2.143772319E-2
2.923466250E-1,1.775322855E-2,1.207878292E-1,1.621431112E-2
3.023876250E-1,1.197523437E-2,1.923701465E-1,1.609180495E-2
3.124276250E-1,2.350295335E-2,2.570758760E-1,2.281832695E-2
3.224676250E-1,3.041998111E-2,2.760500908E-1,2.797793597E-2
3.325086250E-1,3.828323632E-2,2.740499973E-1,3.448028862E-2
3.425486250E-1,3.815913200E-2,1.183842272E-1,3.392582014E-2
3.525896250E-1,1.770677418E-2,-4.181751236E-2,4.841376841E-2
3.626296250E-1,8.966279216E-3,-6.132863089E-2,4.944095016E-2
3.726696250E-1,6.149564870E-3,2.121700905E-3,4.411786795E-2
3.827106250E-1,9.281442501E-3,9.018684924E-2,3.599096462E-2
3.927506250E-1,2.778419526E-3,1.788888276E-1,2.861851826E-2
4.027906250E-1,-1.367405709E-2,2.912212014E-1,2.249324694E-2
4.128316250E-1,-1.869769767E-2,4.044850171E-1,2.513099834E-2
4.228716250E-1,-2.611673251E-2,4.066376686E-1,2.274480648E-2
4.329126250E-1,-1.604056172E-2,3.273760378E-1,2.602974884E-2
4.429526250E-1,1.813019067E-2,2.861803770E-1,2.766599506E-2
4.529926250E-1,4.094503075E-2,2.526071668E-1,2.887528762E-2
4.630336250E-1,4.164757207E-2,2.550061643E-1,2.275614254E-2
4.730736250E-1,3.451210260E-2,3.095521629E-1,1.121453755E-2
4.831146250E-1,3.217571229E-2,4.012386799E-1,4.648780916E-3
4.931546250E-1,3.935854137E-2,5.504406691E-1,-1.737303217E-3
5.031946250E-1,6.498481333E-2,7.864041924E-1,5.120027345E-4
5.132356250E-1,8.833721280E-2,1.133860469E0,2.415075898E-2
5.232756250E-1,1.122406796E-1,1.531268716E0,3.796537593E-2
5.333166250E-1,1.120495126E-1,1.896688342E0,5.859670043E-2
5.433566250E-1,5.194648728E-2,2.121316433E0,5.412285775E-2
5.533966250E-1,7.377642393E-2,2.152038813E0,8.800359070E-2
5.634376250E-1,8.731486648E-2,2.123495817E0,8.005832136E-2
5.734776250E-1,9.649430960E-2,2.187968254E0,7.779330015E-2
5.835186250E-1,1.054350734E-1,2.286700487E0,7.208241522E-2
5.935586250E-1,1.049019173E-1,2.471437931E0,6.329340488E-2
6.035986250E-1,1.178997457E-1,2.641445875E0,6.014554948E-2
6.136396250E-1,1.380254626E-1,2.704987288E0,5.537229776E-2
6.236796250E-1,1.653228700E-1,2.476429939E0,3.624520823E-2
6.337206250E-1,1.659092605E-1,1.939241886E0,3.518780321E-2
6.437606250E-1,1.223860309E-1,1.318578124E0,1.176840742E-3
6.538006250E-1,7.781991363E-2,8.892654181E-1,-1.827950403E-2
6.638416250E-1,7.022404671E-2,6.768503189E-1,-1.681023836E-2
6.738816250E-1,6.337692589E-2,6.179822683E-1,-1.353528723E-2
6.839226250E-1,6.060564145E-2,6.387431622E-1,-1.070754230E-2
6.939626250E-1,5.642565340E-2,6.780601740E-1,-1.049286500E-2
7.040026250E-1,5.419738963E-2,7.055738568E-1,-8.686709218E-3
7.140436250E-1,5.022371933E-2,7.160814404E-1,-1.009408105E-2
7.240836250E-1,5.078511313E-2,6.924743652E-1,-1.691097580E-2
7.341246250E-1,3.993968293E-2,6.704622507E-1,-2.359056100E-2
7.441646250E-1,4.205263406E-2,6.315487027E-1,-2.907534130E-2
7.542046250E-1,3.475842625E-2,5.917909741E-1,-3.276987374E-2
7.642456250E-1,2.214090154E-2,5.384614468E-1,-3.460133076E-2
7.742856250E-1,1.648016274E-2,4.465463459E-1,-3.479554504E-2
7.843256250E-1,2.059128508E-2,3.277693689E-1,-2.723429911E-2
7.943666250E-1,3.408913314E-2,2.143741846E-1,-1.782163419E-2
8.044066250E-1,4.664407298E-2,1.293037683E-1,-9.805251844E-3
8.144476250E-1,5.374835059E-2,8.715173602E-2,1.263796235E-3
8.244876250E-1,6.285396218E-2,6.947793812E-2,1.183654554E-2
8.345276250E-1,6.299827248E-2,8.105859160E-2,1.736968942E-2
8.445686250E-1,6.327071041E-2,1.285273135E-1,1.200555079E-2
8.546091667E-1,6.525032222E-2,1.721698791E-1,5.154980347E-3
8.646501667E-1,6.383671612E-2,1.851141751E-1,2.738161711E-3
8.746901667E-1,6.265904009E-2,1.574560255E-1,4.077334888E-3
8.847301667E-1,5.696120486E-2,1.135037392E-1,6.473114248E-3
8.947711667E-1,4.646200687E-2,1.044174880E-1,1.408633403E-2
9.048111667E-1,2.725768834E-2,1.347186565E-1,1.811676100E-2
9.148521667E-1,1.101001911E-2,1.702930480E-1,4.330330994E-3
9.248921667E-1,1.076554134E-2,1.771195233E-1,-9.221429937E-3
9.349321667E-1,1.649231836E-2,1.621613204E-1,-9.438093752E-3
9.449731667E-1,2.925125696E-2,1.253545731E-1,-2.508282196E-3
9.550131667E-1,4.040054604E-2,7.638373971E-2,6.254743785E-3
