"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.578541678E-3,-9.849068756E0,-2.811154175E-1,1.732497253E0
1.961854167E-2,-9.482930145E0,-1.302291870E-2,2.036215668E0
2.965854167E-2,-9.236093445E0,-1.389111328E-1,2.077230377E0
3.969854169E-2,-9.299860840E0,-1.784289551E-1,2.357597351E0
4.973854168E-2,-9.341174927E0,-3.284170532E-1,2.531535645E0
5.977854168E-2,-9.480834503E0,-3.965254211E-1,2.402054901E0
6.981854167E-2,-9.395062866E0,-6.474037170E-1,1.827250214E0
7.985854169E-2,-9.451645203E0,-6.077362061E-1,1.773062897E0
8.989854169E-2,-9.515711975E0,-4.891827393E-1,1.753902740E0
9.993854168E-2,-9.538464661E0,-4.778063965E-1,1.612147522E0
1.099785417E-1,-9.557325439E0,-3.634442139E-1,1.537003784E0
1.200185417E-1,-9.445358276E0,-2.972817993E-1,1.666933594E0
1.300585417E-1,-9.563013611E0,-2.242337036E-1,1.909129944E0
1.400985417E-1,-9.577832794E0,-2.363584900E-1,1.803898773E0
1.501385417E-1,-9.621990967E0,-2.562670898E-1,2.041155396E0
1.601785417E-1,-9.731263733E0,-2.158511353E-1,2.136656799E0
1.702185417E-1,-9.599687347E0,-2.603086853E-1,2.020498352E0
1.802595417E-1,-9.511969757E0,-2.170486450E-1,2.092498627E0
1.902997917E-1,-9.470505981E0,-2.026785278E-1,1.957030334E0
2.003397917E-1,-9.487271118E0,-2.442919922E-1,1.944157104E0
2.103797917E-1,-9.557026062E0,-2.507286072E-1,1.972298584E0
2.204197917E-1,-9.625882874E0,-2.800675964E-1,1.939666443E0
2.304597917E-1,-9.621990967E0,-3.056643677E-1,2.030677185E0
2.404997917E-1,-9.608219604E0,-3.287164307E-1,1.961820374E0
2.505397917E-1,-9.657167816E0,-3.833528137E-1,1.924847260E0
2.605797917E-1,-9.627379761E0,-3.975732422E-1,1.883832550E0
2.706197917E-1,-9.623936920E0,-3.998185730E-1,1.897903290E0
2.806597917E-1,-9.668843536E0,-4.254153442E-1,1.889371033E0
2.906997917E-1,-9.758357391E0,-4.117936707E-1,1.867666168E0
3.007397917E-1,-9.393865356E0,-3.793112183E-1,1.849553833E0
3.107797917E-1,-9.486672363E0,-4.311035156E-1,2.049837341E0
3.208197917E-1,-9.485025787E0,-3.968247986E-1,2.047292633E0
3.308597917E-1,-9.535470886E0,-4.128414917E-1,2.031425629E0
3.408997917E-1,-9.496551819E0,-4.105961609E-1,2.052232361E0
3.509397917E-1,-9.427395630E0,-3.863465881E-1,2.047592010E0
3.609797917E-1,-9.391170959E0,-3.315605164E-1,2.064656525E0
3.710197917E-1,-9.588760071E0,-4.087998962E-1,2.091001740E0
3.810597917E-1,-9.466314697E0,-4.032614136E-1,2.002984772E0
3.910997917E-1,-9.515861664E0,-4.073030090E-1,2.110012207E0
4.011397917E-1,-9.582323456E0,-4.327500916E-1,1.993704071E0
4.111797917E-1,-9.616602173E0,-4.593946838E-1,1.941013641E0
4.212197917E-1,-9.652228088E0,-4.616400146E-1,1.840123444E0
4.312597917E-1,-9.619895325E0,-4.749623108E-1,1.868564301E0
4.412997917E-1,-9.610764313E0,-4.670288086E-1,1.985471191E0
4.513397917E-1,-9.607770538E0,-4.412823486E-1,2.029779053E0
4.613797917E-1,-9.621691589E0,-4.471202087E-1,2.045496368E0
4.714197917E-1,-9.585766296E0,-4.378395081E-1,1.992356873E0
4.814607917E-1,-9.552535400E0,-4.513114929E-1,1.960173798E0
4.915007917E-1,-9.511969757E0,-4.619393921E-1,1.958527222E0
5.015407917E-1,-9.513167267E0,-4.469705200E-1,1.861528931E0
