"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.459854169E-2,-6.306113303E-2,8.206945658E-2,2.824970707E-2
2.463854168E-2,-2.102603950E-2,7.784171402E-2,2.450842876E-3
3.467854168E-2,4.696046561E-2,6.421937793E-2,-2.032983676E-2
4.471854167E-2,1.325650215E-1,4.921863973E-2,-2.586393245E-2
5.475854166E-2,2.065894455E-1,7.090358529E-3,-2.113096230E-2
6.479854169E-2,2.038317025E-1,1.866542967E-3,-1.939828321E-2
7.483854168E-2,1.807128042E-1,2.777910046E-2,-6.186075509E-3
8.487854167E-2,1.497674286E-1,4.612755403E-2,5.638552830E-3
9.491854167E-2,1.087352931E-1,4.960137978E-2,1.885502227E-2
1.049585417E-1,5.888061225E-2,4.054273665E-2,2.097373828E-2
1.149985417E-1,2.084348164E-2,3.693628311E-2,1.214642543E-2
1.250385417E-1,9.654562920E-3,3.798111528E-2,1.183449198E-2
1.350785417E-1,-2.242108248E-2,2.341096103E-2,6.751316134E-3
1.451185417E-1,-3.143738583E-2,1.225056872E-2,1.552419458E-2
1.551585417E-1,-2.497549355E-2,-5.822707433E-3,2.577629872E-2
1.651985417E-1,-3.586931899E-2,-1.473279437E-3,2.756624855E-2
1.752395417E-1,-3.249322996E-2,1.423111558E-2,2.586155944E-2
1.852797917E-1,-3.595539927E-2,1.713357121E-2,2.137718908E-2
1.953197917E-1,-3.545765579E-2,2.690710686E-2,1.374616660E-2
2.053597917E-1,-3.282261267E-2,4.256286472E-2,1.104108896E-2
2.153997917E-1,-2.622090094E-2,2.979061007E-2,5.723288748E-3
2.254397917E-1,-1.013150718E-2,1.769651659E-2,-5.881488323E-5
2.354797917E-1,6.333971396E-5,1.506344881E-2,-4.492445383E-3
2.455197917E-1,6.765709724E-3,-2.106822096E-3,-5.405037198E-3
2.555597917E-1,4.739576951E-3,-3.123616800E-3,-5.581072066E-3
2.655997917E-1,1.238362514E-3,-7.800756022E-3,-6.166075822E-3
2.756397917E-1,-8.426781744E-3,-2.695476869E-3,-1.937242225E-3
2.856797917E-1,-2.223496325E-2,1.973197237E-2,2.003472857E-2
2.957197917E-1,-3.409587964E-2,-2.429860085E-2,-6.148404907E-3
3.057597917E-1,-2.955798618E-2,-2.953861654E-2,-1.143638976E-2
3.157997917E-1,-2.742426284E-2,-2.425996587E-2,-1.823863573E-2
3.258397917E-1,-2.708888985E-2,-1.512239128E-2,-2.247600071E-2
3.358797917E-1,-2.373171039E-2,4.384586355E-4,-2.446138673E-2
3.459197917E-1,-1.802767627E-2,2.676164918E-2,-2.411858924E-2
3.559597917E-1,-2.301710192E-3,2.380767092E-2,-3.315949067E-2
3.659997917E-1,2.910934389E-2,-1.752573298E-3,-3.281114250E-2
