"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-3.617541690E-3,-8.046816559E0,-1.944456482E-1,4.101620636E0
6.422458333E-3,-8.081244965E0,-5.423222351E-1,3.412304077E0
1.646245830E-2,-7.611671448E0,-4.113446045E-1,3.692820740E0
2.650245832E-2,-7.997269592E0,-4.819976807E-2,4.031865692E0
3.654245829E-2,-7.994425507E0,2.357597351E-1,4.230652313E0
4.658345832E-2,-7.942483521E0,4.867877197E-1,4.261338501E0
5.662345834E-2,-8.138875122E0,3.689826965E-1,4.264781342E0
6.666345830E-2,-8.607251129E0,3.507206726E-1,4.292174377E0
7.670345833E-2,-8.717721405E0,3.397933960E-1,4.323309631E0
8.674345829E-2,-8.864416351E0,2.950364685E-1,4.294419708E0
9.678345831E-2,-8.948990479E0,2.505789185E-1,4.248165894E0
1.068234583E-1,-9.027427368E0,1.672023010E-1,4.163891144E0
1.168644583E-1,-9.124874725E0,7.170089722E-2,4.015998688E0
1.269044583E-1,-9.109756165E0,-2.948867798E-2,4.021088104E0
1.369444583E-1,-9.152267761E0,-8.622070312E-2,4.042792969E0
1.469844583E-1,-9.084159393E0,-1.532812500E-1,4.000281372E0
1.570244583E-1,-9.206754456E0,-2.495310974E-1,4.059707794E0
1.670644583E-1,-9.204060059E0,-1.969903564E-1,3.937711487E0
1.771044583E-1,-9.328451385E0,-1.399589539E-1,3.797303467E0
1.871454583E-1,-9.226812744E0,-8.831634521E-2,3.681444397E0
1.971854583E-1,-9.143436127E0,8.083190918E-3,3.741469574E0
2.072254583E-1,-9.253607025E0,-4.430786133E-2,3.820056152E0
2.172654583E-1,-8.814420319E0,1.320254517E-1,3.731141052E0
2.273054583E-1,-8.427025909E0,3.638932800E-1,3.675007782E0
2.373454583E-1,-8.383616180E0,3.594026184E-1,3.595373383E0
2.473864583E-1,-7.996670837E0,2.380050659E-1,3.177143097E0
2.574264583E-1,-7.499404907E0,3.415896606E-1,2.876867523E0
2.674664583E-1,-7.722141724E0,7.015910339E-1,3.218756561E0
2.775064583E-1,-8.524024200E0,6.682104492E-1,3.353626099E0
2.875464583E-1,-9.234446869E0,5.198689270E-1,3.013832703E0
2.975860833E-1,-9.675878906E0,4.628375244E-1,2.940634918E0
3.076260833E-1,-1.013931519E1,3.417393494E-1,3.023562469E0
3.176670833E-1,-1.035681290E1,2.224374390E-1,2.906056824E0
3.277070833E-1,-1.006746460E1,1.565744019E-1,2.647095337E0
3.377470833E-1,-8.874146118E0,8.352630615E-2,2.064656525E0
3.477870833E-1,-7.220534821E0,3.652404785E-2,1.517544250E0
3.578270833E-1,-8.515491943E0,-3.911366272E-1,2.285896454E0
3.678670833E-1,-1.157632690E1,-2.528841248E0,2.386936340E0
3.779070833E-1,-1.272788223E1,-2.941682739E0,1.986519012E0
3.879480833E-1,-1.135269196E1,-1.062041473E0,1.274150391E0
3.979880833E-1,-1.082189575E1,-7.342231750E-1,9.915380859E-1
4.080280833E-1,-1.049871780E1,-8.952882385E-1,1.315913544E0
4.180680833E-1,-1.003558090E1,-8.384065247E-1,1.681603088E0
4.281080833E-1,-9.660161591E0,-6.027964783E-1,1.846110992E0
4.381480833E-1,-9.426048431E0,-4.299060059E-1,1.838027802E0
4.481880833E-1,-9.305848389E0,-3.218307495E-1,1.833836517E0
4.582290833E-1,-9.276359711E0,-2.511776733E-1,1.850751343E0
4.682690833E-1,-9.323811035E0,-2.270777893E-1,1.854044495E0
4.783090833E-1,-9.446406097E0,-2.585124207E-1,1.852098541E0
4.883490833E-1,-9.559870148E0,-3.836521912E-1,1.837429047E0
4.983890833E-1,-9.649533691E0,-5.339396667E-1,1.807940369E0
5.084290833E-1,-9.649833069E0,-6.529421997E-1,1.743574219E0
5.184690833E-1,-9.647587738E0,-7.008425903E-1,1.666933594E0
5.285100833E-1,-9.622889099E0,-7.542814636E-1,1.584604797E0
5.385500833E-1,-9.682165833E0,-8.421487427E-1,1.529219971E0
5.485900833E-1,-9.754615173E0,-9.312135315E-1,1.456620941E0
5.586300833E-1,-9.801916809E0,-9.551637268E-1,1.383123779E0
5.686700833E-1,-9.811496887E0,-9.339079285E-1,1.297202454E0
5.787100833E-1,-9.794132996E0,-8.876541138E-1,1.243613892E0
5.887510833E-1,-9.743538208E0,-7.689509583E-1,1.244811401E0
5.987910833E-1,-9.662257233E0,-6.526428223E-1,1.252295837E0
6.088310833E-1,-9.598489838E0,-5.418731689E-1,1.269659729E0
6.188710833E-1,-9.554780731E0,-4.578977966E-1,1.272204437E0
6.289110833E-1,-9.556427307E0,-3.763174438E-1,1.250798950E0
6.389510833E-1,-9.585167542E0,-2.978805542E-1,1.208736420E0
6.489910833E-1,-9.609566803E0,-2.668949890E-1,1.154848480E0
6.590320833E-1,-9.615404663E0,-2.588117981E-1,1.128952332E0
6.690720833E-1,-9.647288361E0,-2.624043274E-1,1.124162292E0
6.791120833E-1,-9.687704315E0,-2.799179077E-1,1.132993927E0
6.891520833E-1,-9.743089142E0,-2.818638611E-1,1.095871124E0
6.991920833E-1,-9.780960388E0,-2.800675964E-1,1.067879333E0
7.092320833E-1,-9.799671478E0,-2.345622253E-1,1.069825287E0
7.192720833E-1,-9.794132996E0,-1.628613281E-1,1.092278595E0
7.293130833E-1,-9.766141205E0,-7.918533325E-2,1.107546844E0
7.393530833E-1,-9.760003967E0,-4.161346436E-2,1.096918945E0
7.493930833E-1,-9.743987274E0,-1.197509766E-2,1.055006104E0
7.594330833E-1,-9.733359375E0,-1.347198486E-3,9.839039612E-1
7.694730833E-1,-9.651779022E0,-2.844085693E-3,1.027463379E0
7.795130833E-1,-9.551786957E0,-3.906875610E-2,1.379231873E0
7.895530833E-1,-9.765841827E0,1.208886108E0,1.190175018E0
7.995940833E-1,-9.577982483E0,2.387235718E0,1.066532135E0
8.096340833E-1,-9.252559204E0,1.397942963E0,1.773212585E0
8.196740833E-1,-9.245224457E0,4.909790039E-1,2.191592560E0
8.297140833E-1,-9.362131348E0,3.068618774E-1,2.144440613E0
8.397540833E-1,-9.500593414E0,1.537303162E-1,1.631607056E0
8.497940833E-1,-9.801617432E0,-3.442840576E-3,1.047222290E0
8.598340833E-1,-1.007360184E1,1.255888367E-1,4.736151123E-1
8.698750833E-1,-1.019140686E1,4.393363953E-1,9.520202637E-2
8.799150833E-1,-1.003198837E1,5.424719238E-1,2.224374390E-1
8.899550833E-1,-9.639354858E0,1.636097717E-1,9.222322083E-1
8.999950833E-1,-9.455836487E0,-1.894759827E0,2.412682800E0
9.100350833E-1,-9.898466034E0,-3.483256531E0,3.099155273E0
