"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.912458313E-3,2.360803038E-1,1.318843216E-1,-4.961049929E-2
1.395245834E-2,5.598029867E-2,2.322016060E-1,-1.135644466E-1
2.399245830E-2,-6.284206361E-2,4.058628678E-1,-1.306040138E-1
3.403245832E-2,-1.526190937E-1,6.145716310E-1,-1.448319554E-1
4.407245829E-2,-2.035150826E-1,8.644155264E-1,-1.408438683E-1
5.411345832E-2,-2.092637718E-1,9.417973757E-1,-1.263959557E-1
6.415345834E-2,-2.032375187E-1,9.096642733E-1,-1.000880599E-1
7.419345831E-2,-1.915654093E-1,8.797947764E-1,-6.624114513E-2
8.423345833E-2,-2.030050159E-1,8.638378382E-1,-4.610455781E-2
9.427345829E-2,-2.295759171E-1,8.698102832E-1,-3.911961988E-2
1.043134583E-1,-2.576368153E-1,8.485616446E-1,-2.978813648E-2
1.143534583E-1,-2.813030183E-1,8.038455248E-1,-1.437216159E-2
1.243944583E-1,-2.700702846E-1,7.490302324E-1,1.140858606E-2
1.344344583E-1,-2.422013581E-1,6.733937860E-1,3.935366869E-2
1.444744583E-1,-2.013960034E-1,5.904598832E-1,6.840758771E-2
1.545144583E-1,-1.549541950E-1,4.953709543E-1,9.919852763E-2
1.645544583E-1,-1.271102875E-1,4.389357269E-1,1.299634576E-1
1.745944583E-1,-1.270338595E-1,4.186443090E-1,1.536259055E-1
1.846354583E-1,-1.342301667E-1,3.998946548E-1,1.367274672E-1
1.946754583E-1,-1.271251142E-1,3.742468059E-1,1.209817901E-1
2.047154583E-1,-1.354161650E-1,4.316885471E-1,1.125699207E-1
2.147554583E-1,-1.593997926E-1,5.365902185E-1,5.141415447E-2
2.247954583E-1,-1.765547693E-1,5.953273177E-1,1.371802855E-2
2.348354583E-1,-2.262208611E-1,8.244457245E-1,-3.151363134E-2
2.448754583E-1,-3.485723138E-1,1.253692389E0,-9.570140392E-2
2.549164583E-1,-4.728710949E-1,1.665556073E0,-1.546145380E-1
2.649564583E-1,-4.710541666E-1,1.747404099E0,-1.500493586E-1
2.749964583E-1,-4.625922143E-1,1.817225337E0,-1.303100139E-1
2.850364583E-1,-4.815991521E-1,1.859628320E0,-1.412302405E-1
2.950764583E-1,-4.669522941E-1,1.804748774E0,-1.701790690E-1
3.051160833E-1,-3.909307122E-1,1.635019779E0,-1.802652925E-1
3.151560833E-1,-2.947991192E-1,1.351847172E0,-1.882201582E-1
3.251970833E-1,-2.130544484E-1,1.071470857E0,-2.393007427E-1
3.352370833E-1,-2.741204500E-1,1.099153399E0,-4.082961679E-1
3.452770833E-1,-4.863880873E-1,1.599997401E0,-6.616213322E-1
3.553170833E-1,-4.806337953E-1,1.863056660E0,-6.071317196E-1
3.653570833E-1,-3.469995558E-1,1.527956843E0,-1.513365209E-1
3.753970833E-1,-2.114939243E-1,9.148010612E-1,1.804635227E-1
3.854380833E-1,-1.704760045E-1,3.940238059E-1,1.677085012E-1
3.954780833E-1,-1.570366323E-1,4.555422440E-2,1.090840772E-1
4.055180833E-1,-1.450622678E-1,-1.177118793E-1,1.187625006E-1
4.155580833E-1,-1.407229155E-1,-1.357318908E-1,1.295437664E-1
4.255980833E-1,-1.406801045E-1,-8.946021646E-2,1.141532212E-1
4.356380833E-1,-1.501657516E-1,-3.068532050E-2,9.272968769E-2
4.456780833E-1,-1.554579437E-1,2.231012285E-2,7.741936296E-2
4.557190833E-1,-1.545024067E-1,6.379444897E-2,5.941639468E-2
4.657590833E-1,-1.504472047E-1,9.036500752E-2,4.031237215E-2
4.757990833E-1,-1.446020901E-1,1.006264389E-1,2.881630510E-2
4.858390833E-1,-1.293192357E-1,8.968513459E-2,2.015795559E-2
4.958790833E-1,-1.118065491E-1,6.492465734E-2,1.858855598E-2
5.059190833E-1,-9.245877713E-2,3.818295151E-2,1.835944504E-2
5.159590833E-1,-7.942153513E-2,2.656437829E-2,2.219146863E-2
5.260000833E-1,-6.692308933E-2,2.278500237E-2,2.077311091E-2
5.360400833E-1,-5.703770369E-2,3.320142627E-2,2.367888577E-2
5.460800833E-1,-4.246659577E-2,4.263675213E-2,3.006181307E-2
5.561200833E-1,-2.839818038E-2,4.283941910E-2,3.438359126E-2
5.661600833E-1,-1.279833727E-2,2.535974793E-2,3.884292766E-2
5.762000833E-1,7.974585518E-3,2.942322986E-3,4.265497625E-2
5.862400833E-1,2.885780856E-2,-1.659481972E-2,4.461887479E-2
5.962810833E-1,4.764960706E-2,-2.690364979E-2,4.499624670E-2
6.063210833E-1,6.874901801E-2,-2.560981549E-2,4.059720784E-2
6.163610833E-1,9.037761390E-2,-1.708716713E-2,2.970381454E-2
6.264010833E-1,1.131024733E-1,-5.880068988E-3,2.018208615E-2
6.364410833E-1,1.349337399E-1,2.251627157E-3,2.976734890E-3
6.464810833E-1,1.562622488E-1,9.147105739E-3,-1.229877025E-2
