"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.069041668E-3,-6.636599121E0,-2.646496582E-1,6.855593719E0
8.971958421E-3,-6.631210327E0,-3.026705933E-1,6.915020142E0
1.901295839E-2,-6.975793762E0,-3.555107117E-1,6.545438690E0
2.905295836E-2,-6.902595978E0,8.622070312E-2,7.124584351E0
3.909395833E-2,-6.687193909E0,1.070274353E-1,7.439230042E0
4.913495842E-2,-6.478677521E0,-2.856060791E-1,6.878047028E0
5.917495838E-2,-6.481521606E0,-4.614903259E-1,7.054530029E0
6.921595836E-2,-6.559659119E0,-4.352947998E-1,7.306156769E0
7.925695833E-2,-6.767726440E0,-4.770579529E-1,7.201224976E0
8.929695841E-2,-6.729256439E0,-6.979985046E-1,7.008425903E0
9.933795838E-2,-6.769073639E0,-6.917115784E-1,7.209008789E0
1.093789584E-1,-6.817572784E0,-4.837939453E-1,7.328610077E0
1.194199583E-1,-6.627468109E0,-4.243675232E-1,7.029082947E0
1.294599584E-1,-6.579867096E0,-3.923341370E-1,6.888824615E0
1.395009584E-1,-6.640341339E0,-2.769241333E-1,6.958429871E0
1.495419584E-1,-6.698420563E0,-2.969824219E-1,6.972799988E0
1.595819583E-1,-6.800657959E0,-2.591111755E-1,6.998845825E0
1.696229584E-1,-6.823410645E0,-2.574645996E-1,6.897356873E0
1.796639584E-1,-6.758745117E0,-2.900967407E-1,6.781497803E0
1.897039583E-1,-6.737788696E0,-2.514770508E-1,6.726861420E0
1.997449583E-1,-6.783144379E0,-2.911445618E-1,6.722969513E0
2.097859584E-1,-6.755152588E0,-3.073109436E-1,6.842271423E0
2.198259584E-1,-6.784940643E0,-3.125500488E-1,6.978488159E0
2.298669583E-1,-6.825356598E0,-3.153941345E-1,6.990313568E0
2.399079583E-1,-6.727759552E0,-3.185375977E-1,6.923552399E0
2.499489584E-1,-6.692283325E0,-3.505709839E-1,6.821315002E0
2.599889584E-1,-6.677164764E0,-3.616479492E-1,6.768025818E0
2.700299583E-1,-6.625821533E0,-3.995191956E-1,6.714886322E0
2.800709583E-1,-6.674769745E0,-3.894900513E-1,6.657106476E0
2.901109584E-1,-6.827901306E0,-3.134481812E-1,6.707551575E0
3.001519584E-1,-6.967111816E0,-3.189866638E-1,6.834188232E0
3.101929583E-1,-7.067552948E0,-3.739224243E-1,6.768175507E0
3.202329584E-1,-7.077133026E0,-3.858975220E-1,6.560407562E0
3.302739584E-1,-6.967860260E0,-3.626957703E-1,6.319558411E0
3.403149584E-1,-6.821315002E0,-3.076103210E-1,6.085145874E0
3.503559583E-1,-6.718927917E0,-2.200424194E-1,5.815257111E0
3.603959584E-1,-6.635700989E0,-1.246907043E-1,5.551206207E0
3.704369584E-1,-6.427933044E0,-1.191522217E-1,5.306465149E0
3.804779584E-1,-6.357729034E0,-2.288740540E-1,4.892875214E0
3.905179583E-1,-6.394103394E0,-4.251159668E-1,4.622238007E0
4.005589584E-1,-6.427633667E0,-5.309458923E-1,4.561464386E0
4.105999584E-1,-6.970404968E0,-5.929170227E-1,4.243375854E0
4.206399583E-1,-7.576045532E0,-5.101391602E-1,4.563410339E0
4.306809583E-1,-8.221652985E0,-4.096980286E-1,4.744533691E0
4.407219584E-1,-9.009015656E0,-4.246669006E-1,4.288432159E0
4.507619584E-1,-9.690847778E0,-6.008505249E-1,3.719465332E0
4.608029583E-1,-9.949360199E0,-5.643264771E-1,3.637884979E0
4.708439583E-1,-1.010563522E1,-7.125183105E-1,3.618275757E0
4.808849584E-1,-1.023975632E1,-9.563612366E-1,3.513793030E0
4.909249584E-1,-1.032762360E1,-7.943980408E-1,3.289858704E0
5.009659583E-1,-1.051398605E1,-6.997947693E-1,3.013982391E0
5.110069583E-1,-1.050784882E1,-5.608836365E-1,2.693349152E0
5.210469584E-1,-1.070154602E1,-4.923262024E-1,2.454595642E0
5.310879584E-1,-1.047611481E1,-3.317102051E-1,2.122136993E0
5.411289583E-1,-1.048464706E1,-4.260140991E-1,1.972597961E0
5.511689584E-1,-1.030097900E1,-4.743635559E-1,1.708996124E0
5.612099584E-1,-1.007734406E1,-3.683839417E-1,1.592238922E0
5.712509584E-1,-9.994117126E0,-1.058299255E-1,1.756148071E0
5.812919583E-1,-9.939331055E0,-1.838177490E-1,1.938618622E0
5.913319584E-1,-9.804012451E0,-4.034111023E-1,1.760039978E0
