"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.971958421E-3,-1.021508276E-1,4.102223739E-2,3.546694294E-2
1.901295839E-2,-1.394286901E-1,1.248532236E-1,5.409841612E-2
2.905295836E-2,-5.344675854E-2,1.375620216E-1,4.411183670E-2
3.909395833E-2,-2.164967731E-2,1.564281136E-1,3.400380909E-2
4.913495842E-2,-1.376932673E-2,1.745594740E-1,8.939064108E-3
5.917495838E-2,2.545956895E-2,1.618753672E-1,1.701657544E-3
6.921595836E-2,7.769910246E-2,1.227305233E-1,4.977607168E-3
7.925695833E-2,9.092435986E-2,4.276858270E-2,1.140621211E-2
8.929695841E-2,7.762417197E-2,3.142497968E-3,4.817025736E-3
9.933795838E-2,1.021191254E-1,-2.139881952E-3,8.953447454E-3
1.093789584E-1,1.116656736E-1,3.436280787E-2,1.110513415E-2
1.194199583E-1,8.510756493E-2,7.377678901E-2,-6.252916064E-4
1.294599584E-1,6.012141705E-2,1.014268696E-1,-7.366806269E-3
1.395009584E-1,4.812654108E-2,1.122771204E-1,-9.278689511E-3
1.495419584E-1,4.728835076E-2,8.164703846E-2,-1.089136302E-2
1.595819583E-1,3.937396780E-2,7.267139107E-2,-8.368816227E-3
1.696229584E-1,2.254622057E-2,9.812270105E-2,-7.967744954E-3
1.796639584E-1,1.317895716E-3,1.404432654E-1,-1.076646149E-2
1.897039583E-1,-1.824376360E-2,1.695505679E-1,-1.458689850E-2
1.997449583E-1,-3.596896306E-2,1.998205930E-1,-1.294026617E-2
2.097859584E-1,-3.004813567E-2,1.946467906E-1,-1.163439266E-2
2.198259584E-1,-2.307837829E-2,1.910302192E-1,3.025776474E-3
2.298669583E-1,-2.224794403E-2,2.382377088E-1,3.030974884E-3
2.399079583E-1,-3.092026338E-2,3.219975829E-1,-2.308663214E-3
2.499489584E-1,-4.209455848E-2,4.271956682E-1,-3.634515451E-3
2.599889584E-1,-5.119458213E-2,5.566093326E-1,-7.140301168E-3
2.700299583E-1,-6.061843783E-2,6.530199051E-1,-1.499968860E-2
2.800709583E-1,-7.861714065E-2,7.214506269E-1,-2.438440174E-2
2.901109584E-1,-8.059887588E-2,7.902586460E-1,-2.259117365E-2
3.001519584E-1,-5.609272793E-2,8.227117062E-1,-1.869949698E-2
3.101929583E-1,-4.763301089E-2,8.908341527E-1,-2.340355888E-3
