"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.769016666E-2,-9.050180054E0,2.197430420E-1,3.026556244E0
2.772916667E-2,-9.023086395E0,1.618135071E-1,3.039429474E0
3.776916664E-2,-9.058263245E0,3.936813354E-2,3.152743835E0
4.780816665E-2,-9.113947449E0,-3.517684937E-2,3.157234497E0
5.784816662E-2,-9.166937256E0,-7.125183105E-2,3.009791107E0
6.788716663E-2,-9.182804260E0,-8.607101440E-2,2.966082001E0
7.792616665E-2,-9.341773682E0,-1.378633118E-1,2.870131531E0
8.796616667E-2,-9.350755005E0,-1.088237000E-1,2.806663513E0
9.800516663E-2,-9.279054108E0,-2.993774414E-3,2.784509583E0
1.080441666E-1,-9.317973175E0,1.002914429E-2,2.706521759E0
1.180841667E-1,-9.433532867E0,7.439529419E-2,2.702330475E0
1.281231666E-1,-9.443412323E0,1.243913269E-1,2.736908569E0
1.381621666E-1,-9.376351776E0,1.207987976E-1,2.849773865E0
1.482021667E-1,-9.345366211E0,1.005908203E-1,2.901566162E0
1.582411666E-1,-9.343270569E0,9.699829102E-2,2.901266785E0
1.682811666E-1,-9.267528076E0,7.574249268E-2,2.874771881E0
1.783201667E-1,-9.257798309E0,7.993377686E-2,2.880759430E0
1.883591667E-1,-9.260492706E0,1.321751404E-1,2.886597290E0
1.983991666E-1,-9.241182861E0,1.240919495E-1,2.869233398E0
2.084381667E-1,-9.284293213E0,1.118174744E-1,2.882855072E0
2.184771667E-1,-9.361083527E0,1.172062683E-1,2.893033905E0
2.285171666E-1,-9.398655396E0,1.142124939E-1,2.887196045E0
2.385561666E-1,-9.361083527E0,1.218466187E-1,2.924019470E0
2.485951667E-1,-9.323062592E0,3.607498169E-2,2.939886475E0
2.586351666E-1,-9.314979401E0,1.347198486E-3,2.897973633E0
2.686741666E-1,-9.322314148E0,1.122665405E-2,2.872825928E0
2.787141667E-1,-9.396859131E0,5.298980713E-2,2.891387329E0
2.887531666E-1,-9.445358276E0,8.876541138E-2,2.890189819E0
2.987921666E-1,-9.475595398E0,8.487350464E-2,2.834954681E0
3.088321667E-1,-9.267228699E0,2.056723022E-1,2.751428375E0
3.188711666E-1,-9.055868225E0,5.357359314E-1,2.829565887E0
3.289101666E-1,-9.063053284E0,9.030720520E-1,3.043171692E0
3.389501667E-1,-9.435628510E0,5.754034424E-1,3.294798431E0
3.489891667E-1,-9.765243073E0,-4.017645264E-1,2.898422699E0
3.590281666E-1,-1.007240433E1,-1.056053925E0,2.180964661E0
3.690681666E-1,-8.973389740E0,2.209405518E-1,2.627037048E0
3.791071667E-1,-8.740174713E0,4.999603271E-2,2.226020966E0
3.891471666E-1,-8.993897095E0,-3.999682617E-1,2.737507324E0
3.991861666E-1,-9.271719360E0,-4.646337891E-1,2.921325073E0
4.092251667E-1,-9.621392212E0,3.143463135E-3,2.429148560E0
4.192651666E-1,-9.402397614E0,1.344204712E-1,2.806364136E0
4.293041666E-1,-9.564211121E0,-1.764830017E-1,2.605930939E0
4.393431667E-1,-9.629774780E0,-2.915936279E-1,2.402953033E0
4.493831666E-1,-9.568851471E0,-2.392025757E-1,2.605631561E0
4.594221666E-1,-9.407487030E0,-1.044827271E-1,2.551444244E0
4.694611666E-1,-9.395212555E0,-1.231938171E-1,2.490221558E0
4.795011666E-1,-9.398356018E0,-1.975891113E-1,2.581980743E0
4.895401666E-1,-9.406439209E0,-1.552272034E-1,2.569406891E0
4.995801667E-1,-9.420210571E0,-1.037342834E-1,2.566862183E0
5.096191667E-1,-9.383387146E0,-7.095245361E-2,2.514321442E0
5.196584166E-1,-9.343270569E0,-3.472778320E-2,2.484533386E0
5.296984166E-1,-9.300609283E0,-1.113684082E-1,2.494412842E0
5.397374167E-1,-9.365125122E0,-1.713935852E-1,2.547252960E0
5.497764166E-1,-9.381890259E0,-9.729766846E-2,2.483036499E0
5.598164166E-1,-9.446855164E0,-1.020877075E-1,2.488275604E0
5.698554167E-1,-9.464668121E0,-1.492396545E-1,2.471959534E0
5.798944166E-1,-9.544302521E0,-1.917512512E-1,2.441722412E0
5.899344166E-1,-9.588011627E0,-1.791773987E-1,2.418670349E0
5.999734167E-1,-9.545200653E0,-1.058299255E-1,2.399959259E0
6.100134166E-1,-9.470955048E0,-1.053808594E-1,2.381547546E0
6.200524166E-1,-9.419911194E0,-8.187973022E-2,2.460882568E0
6.300914166E-1,-9.364226990E0,-8.008346558E-2,2.483485565E0
6.401314166E-1,-9.369765472E0,-9.969268799E-2,2.497556305E0
6.501704166E-1,-9.385632477E0,-1.498384094E-1,2.499951324E0
6.602094166E-1,-9.416917419E0,-2.025288391E-1,2.464175720E0
6.702494167E-1,-9.472901001E0,-2.113604736E-1,2.431842957E0
6.802884166E-1,-9.479038239E0,-1.877096558E-1,2.351609802E0
6.903274166E-1,-9.488468628E0,-1.695973206E-1,2.328108673E0
7.003674167E-1,-9.457033997E0,-1.417552185E-1,2.336940308E0
7.104064166E-1,-9.412426758E0,-1.281335449E-1,2.364632721E0
7.204464166E-1,-9.382339325E0,-9.265731812E-2,2.364632721E0
7.304854167E-1,-9.387279053E0,-7.619155884E-2,2.417173462E0
7.405244166E-1,-9.389225006E0,-8.577163696E-2,2.428549805E0
7.505644166E-1,-9.435628510E0,-1.224453735E-1,2.384391632E0
7.606034167E-1,-9.472002869E0,-1.751358032E-1,2.361489258E0
7.706424167E-1,-9.475445709E0,-2.088157654E-1,2.345023499E0
7.806824166E-1,-9.440418549E0,-2.249821472E-1,2.349065094E0
7.907214166E-1,-9.407636719E0,-2.389031982E-1,2.357447662E0
8.007604167E-1,-9.381590881E0,-2.386038208E-1,2.374811554E0
8.108004166E-1,-9.386530609E0,-1.947450256E-1,2.398761749E0
8.208394166E-1,-9.412726135E0,-1.710942078E-1,2.415975952E0
8.308794167E-1,-9.463769989E0,-1.475930786E-1,2.412233734E0
8.409184166E-1,-9.503138123E0,-1.519340515E-1,2.374063110E0
8.509574166E-1,-9.555379486E0,-1.748364258E-1,2.318378906E0
8.609974167E-1,-9.624535675E0,-2.023791504E-1,2.264640656E0
8.710364166E-1,-9.632319489E0,-2.312690735E-1,2.290985870E0
8.810754166E-1,-9.651479645E0,-2.758763123E-1,2.291734314E0
8.911154167E-1,-9.664203186E0,-3.092568970E-1,2.297572174E0
9.011544167E-1,-9.627529449E0,-3.441343689E-1,2.304158478E0
9.111934166E-1,-9.603728943E0,-3.459306335E-1,2.290087738E0
9.212334167E-1,-9.596394196E0,-3.534150696E-1,2.261646881E0
9.312724167E-1,-9.599687347E0,-3.655398560E-1,2.200424194E0
9.413124166E-1,-9.575288086E0,-3.721261597E-1,2.168690186E0
9.513514166E-1,-9.541608124E0,-3.311114502E-1,2.174078979E0
9.613904167E-1,-9.538913727E0,-2.932402039E-1,2.193388824E0
9.714304166E-1,-9.505233765E0,-2.731819153E-1,2.203118591E0
9.814694166E-1,-9.529034271E0,-2.912942505E-1,2.217788086E0
9.915084167E-1,-9.565408630E0,-3.230282593E-1,2.189646606E0
1.001548417E0,-9.620344391E0,-3.278182983E-1,2.139201508E0
1.011587417E0,-9.635013885E0,-2.854563904E-1,2.085163879E0
1.021626417E0,-9.630972290E0,-1.938468933E-1,2.000889130E0
1.031666417E0,-9.606722717E0,-1.378633118E-1,2.004331970E0
1.041705417E0,-9.548194427E0,-1.347198486E-3,1.990410919E0
1.051745417E0,-9.449699249E0,1.516346741E-1,1.943558350E0
1.061784417E0,-9.383087769E0,2.424957275E-1,1.966610413E0
1.071823417E0,-9.346563721E0,2.130070496E-1,2.003134460E0
1.081863417E0,-9.366622009E0,8.502319336E-2,1.993554382E0
1.091902417E0,-9.502988434E0,7.484436035E-4,1.939516754E0
1.101941417E0,-9.579928436E0,-5.807922363E-2,1.919458466E0
1.111981417E0,-9.622589722E0,-1.121168518E-1,1.902992706E0
1.122020417E0,-9.620194702E0,-1.721420288E-1,1.911225586E0
1.132059417E0,-9.609267426E0,-2.483335876E-1,1.944606171E0
1.142099417E0,-9.600735168E0,-2.854563904E-1,2.021546173E0
1.152138417E0,-9.575288086E0,-3.255729675E-1,2.090552673E0
1.162178417E0,-9.514364777E0,-3.336561584E-1,2.164199524E0
1.172217417E0,-9.440717926E0,-3.258723450E-1,2.193837891E0
1.182256417E0,-9.398805084E0,-3.785627747E-1,2.251917114E0
1.192296417E0,-9.386979675E0,-4.330494690E-1,2.257305908E0
1.202335417E0,-9.365873566E0,-4.490661621E-1,2.207160187E0
1.212374417E0,-9.394913177E0,-5.028044128E-1,2.198927307E0
1.222414417E0,-9.442065125E0,-5.316943359E-1,2.124532013E0
1.232453417E0,-9.486672363E0,-5.804928589E-1,2.197879486E0
1.242492417E0,-9.555529175E0,-6.614744568E-1,2.279609528E0
1.252532417E0,-9.553433533E0,-6.649172974E-1,2.262844391E0
1.262571417E0,-9.540410614E0,-6.682104492E-1,2.313738556E0
1.272610417E0,-9.536518707E0,-6.746470642E-1,2.416724396E0
1.282650417E0,-9.532177734E0,-6.788383484E-1,2.445165253E0
1.292689417E0,-9.552086334E0,-7.014413452E-1,2.449805603E0
1.302729417E0,-9.571994934E0,-6.944059753E-1,2.439177704E0
1.312768417E0,-9.597292328E0,-6.221063232E-1,2.299518127E0
1.322807417E0,-9.601782990E0,-4.950205994E-1,2.185305634E0
1.332847417E0,-9.605824585E0,-3.891906738E-1,2.108665009E0
1.342886417E0,-9.612410889E0,-2.927911377E-1,2.022144928E0
1.352925417E0,-9.598040771E0,-2.435435486E-1,1.971999207E0
1.362965417E0,-9.597891083E0,-2.174977112E-1,1.955383759E0
1.373004417E0,-9.589358826E0,-2.011816406E-1,1.966909790E0
1.383044417E0,-9.563013611E0,-2.091151428E-1,2.077380066E0
1.393083417E0,-9.557624817E0,-2.055226135E-1,2.141746216E0
1.403122417E0,-9.515412598E0,-2.224374390E-1,2.148033142E0
1.413162417E0,-9.512119446E0,-2.309696960E-1,2.161505127E0
1.423201417E0,-9.507928162E0,-2.565664673E-1,2.130519562E0
