"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.647516667E-2,-4.362916574E-3,2.899230085E-2,-1.273075771E-2
3.651416663E-2,2.885732241E-2,4.721685499E-2,-1.681318693E-2
4.655316664E-2,4.347141832E-2,6.106875464E-2,-1.887767017E-2
5.659316666E-2,3.966878727E-2,6.606455147E-2,-2.017575875E-2
6.663216662E-2,3.691827506E-2,6.084075570E-2,-2.346715890E-2
7.667216664E-2,2.498227544E-2,4.396205023E-2,-9.627770633E-3
8.671116666E-2,7.045086473E-3,6.292828918E-2,-5.635958165E-3
9.675016662E-2,-8.493140340E-3,8.396669477E-2,-5.871065892E-3
1.067901666E-1,-2.482976764E-2,7.723288983E-2,-3.737689694E-4
1.168291667E-1,-3.395350650E-2,5.583648756E-2,6.423732266E-3
1.268681667E-1,-4.164604470E-2,4.193558544E-2,9.429375641E-3
1.369081666E-1,-4.304395989E-2,3.857026994E-2,1.575650647E-2
1.469471666E-1,-4.409297928E-2,3.560137749E-2,1.952434704E-2
1.569861667E-1,-4.117173702E-2,3.223662078E-2,2.222746238E-2
1.670261666E-1,-3.628776595E-2,2.726902440E-2,2.016378008E-2
1.770651666E-1,-3.100680932E-2,2.981043234E-2,1.671201549E-2
1.871051667E-1,-2.499765344E-2,3.404885530E-2,7.999484427E-3
1.971441666E-1,-2.222195454E-2,3.340599313E-2,-5.314826965E-3
2.071831666E-1,-1.294296794E-2,3.329493850E-2,-1.196580566E-2
2.172231667E-1,-9.264240041E-3,2.589121461E-2,-2.156672068E-2
2.272621666E-1,-9.019229561E-3,2.354869805E-2,-2.492070571E-2
2.373011666E-1,-1.562961191E-2,4.036568850E-2,-3.528594598E-2
2.473411667E-1,-2.563164756E-2,5.686317012E-2,-3.526251018E-2
2.573801666E-1,-3.611945361E-2,6.516554207E-2,-3.556499630E-2
2.674191666E-1,-4.543386027E-2,6.341078132E-2,-3.925773501E-2
2.774591667E-1,-5.319839343E-2,6.649433821E-2,-4.613123462E-2
2.874981667E-1,-5.329266936E-2,7.348593324E-2,-3.854521737E-2
2.975381666E-1,-5.358687788E-2,7.367065549E-2,-3.721813112E-2
3.075771666E-1,-8.151811361E-2,1.078541949E-1,-6.204811111E-2
3.176161667E-1,-1.361302137E-1,2.099916786E-1,-1.212316528E-1
3.276561666E-1,-2.114100605E-1,3.832678497E-1,-2.081865221E-1
3.376951666E-1,-2.100614011E-1,4.682085812E-1,-2.051453888E-1
3.477341667E-1,-1.933937371E-1,4.346069396E-1,-8.956952393E-2
3.577741666E-1,-1.643096060E-1,3.242926300E-1,1.209995057E-2
3.678131666E-1,-1.352633089E-1,2.968966663E-1,-6.166348606E-2
3.778521667E-1,-2.238281071E-1,4.395593405E-1,-1.022787318E-1
3.878921666E-1,-1.869883388E-1,4.467599988E-1,-2.906869911E-2
3.979311666E-1,-1.433231533E-1,3.655967414E-1,2.268020064E-2
4.079711667E-1,-1.984841377E-1,2.001776844E-1,8.849276602E-2
4.180101667E-1,-1.235395968E-1,1.476215869E-1,8.497423492E-3
4.280491666E-1,-9.561982006E-2,9.194393456E-2,-1.425076649E-2
4.380891667E-1,-7.859233022E-2,5.888629705E-2,1.475728350E-4
4.481281667E-1,-3.918233886E-2,3.438361734E-2,-1.180811902E-3
4.581671666E-1,-3.217615560E-2,2.935612202E-2,-2.037274465E-2
4.682071666E-1,-3.449789807E-2,3.726704046E-2,-2.561437897E-2
