"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.085495834E-2,2.373074144E-1,5.620654821E-1,-9.424074739E-2
2.089495833E-2,1.377321184E-1,4.281308353E-1,-8.054227382E-2
3.093495834E-2,2.537894994E-2,3.082619607E-1,-6.275448203E-2
4.097395833E-2,-5.122102052E-2,2.090714723E-1,-3.188765049E-2
5.101395833E-2,-1.120340377E-1,1.346925795E-1,6.498088129E-3
6.105395833E-2,-1.394443363E-1,9.015066922E-2,3.627203405E-2
7.109408334E-2,-1.377676129E-1,7.154902071E-2,5.897068605E-2
8.113308334E-2,-1.137975603E-1,3.248790279E-2,7.484126836E-2
9.117308333E-2,-9.630671889E-2,2.477093134E-3,7.137983292E-2
1.012130833E-1,-5.407297239E-2,-2.395637892E-2,6.640131772E-2
1.112530833E-1,-2.781262808E-2,-4.583796859E-2,5.519120395E-2
1.212920833E-1,-2.297765948E-2,-7.233318873E-3,3.003125452E-2
1.313320833E-1,-9.309477173E-3,5.954339355E-2,1.587121515E-3
1.413720833E-1,6.017015316E-3,1.221756116E-1,-2.697075345E-2
1.514120833E-1,2.131927013E-2,1.607295871E-1,-5.082749575E-2
1.614510833E-1,2.225342393E-2,1.816309839E-1,-7.380554825E-2
1.714910833E-1,1.414569467E-2,1.935877800E-1,-9.646426141E-2
1.815310833E-1,2.794140205E-2,1.789281368E-1,-1.072532535E-1
1.915710833E-1,4.683094099E-2,9.396300465E-2,-1.042480022E-1
2.016100833E-1,5.907781422E-2,1.400840189E-2,-1.031694561E-1
2.116500833E-1,9.630188346E-2,-1.208780408E-1,-8.362983912E-2
2.216900833E-1,8.296716958E-2,-2.182562649E-1,-8.336432278E-2
2.317290833E-1,5.258416384E-2,-1.932708025E-1,-9.099107981E-2
2.417690833E-1,3.336679190E-2,-9.109358490E-2,-1.042070165E-1
2.518090833E-1,1.580858976E-2,1.309300214E-2,-1.156795770E-1
2.618490833E-1,1.167215686E-2,6.259638071E-2,-1.224132851E-1
2.718880833E-1,1.439710334E-2,6.859301776E-2,-1.224833280E-1
2.819280833E-1,1.963535324E-2,5.536773056E-2,-1.213610545E-1
2.919680833E-1,2.726664022E-2,5.995902047E-2,-1.276423782E-1
3.020080833E-1,2.831429616E-2,1.054625139E-1,-1.390339136E-1
3.120470833E-1,4.468581080E-2,1.598511934E-1,-1.464920938E-1
3.220870833E-1,5.980932340E-2,1.608698517E-1,-1.472806782E-1
3.321270833E-1,5.267950892E-2,1.441244334E-1,-1.512530595E-1
3.421670833E-1,5.136955902E-2,1.385152638E-1,-1.512366086E-1
3.522060833E-1,9.056835622E-2,2.745692246E-2,-1.319771707E-1
3.622460833E-1,7.654251903E-2,-8.793064207E-2,-1.204319671E-1
3.722860833E-1,6.907501817E-2,-1.074859723E-1,-1.186673567E-1
3.823260833E-1,5.116736144E-2,-4.971657693E-2,-1.208389923E-1
3.923650833E-1,3.464191407E-2,3.001313843E-2,-1.228291690E-1
4.024050833E-1,1.715558767E-2,9.668191522E-2,-1.256307214E-1
4.124450833E-1,-1.801326172E-3,1.586057395E-1,-1.312028468E-1
4.224840833E-1,-2.018481866E-2,2.220822424E-1,-1.412642598E-1
4.325240833E-1,-3.812919930E-2,2.906554639E-1,-1.493216455E-1
4.425640833E-1,-3.969807178E-2,3.334244192E-1,-1.496525556E-1
4.526040833E-1,-1.905005053E-2,2.574606836E-1,-1.346642971E-1
4.626430833E-1,-1.080891024E-2,1.485077292E-1,-1.129292101E-1
4.726830833E-1,1.001754217E-2,-9.265653789E-3,-9.006038308E-2
4.827230833E-1,-2.099856734E-3,-1.012500823E-1,-8.125083148E-2
4.927630833E-1,-1.632593013E-2,-8.750870079E-2,-8.293554932E-2
5.028020833E-1,-3.079223260E-2,9.988835081E-3,-8.990147710E-2
5.128420833E-1,-5.426879600E-2,1.357113421E-1,-9.972161800E-2
5.228820833E-1,-8.081436157E-2,2.710334659E-1,-1.090737730E-1
5.329220833E-1,-1.019950137E-1,4.048482478E-1,-1.146885157E-1
5.429610833E-1,-1.285121888E-1,5.563235283E-1,-1.280297041E-1
5.530010833E-1,-1.692734659E-1,6.945748925E-1,-1.484162062E-1
5.630410833E-1,-2.226143628E-1,8.979748487E-1,-1.784887314E-1
5.730810833E-1,-2.969279885E-1,1.201811671E0,-2.309410274E-1
5.831200833E-1,-4.055841863E-1,1.652101874E0,-3.150532842E-1
5.931600833E-1,-5.258288383E-1,2.193190336E0,-4.288117886E-1
6.032000833E-1,-6.002227068E-1,2.787454128E0,-5.002958179E-1
6.132390833E-1,-7.141633630E-1,3.433780670E0,-6.456852555E-1
6.232790833E-1,-8.871255517E-1,3.920018196E0,-7.940337062E-1
6.333190833E-1,-1.064833522E0,4.383972645E0,-8.892661929E-1
6.433590833E-1,-1.267492414E0,4.471511364E0,-9.572632313E-1
6.533980833E-1,-1.394411683E0,4.370811462E0,-1.007827878E0
