"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.100500013E-3,-9.515113220E0,-2.010319519E-1,2.716251526E0
1.514049998E-2,-9.426497498E0,-3.333567810E-1,3.297343140E0
2.518050000E-2,-9.329050140E0,-5.010081482E-1,3.174299011E0
3.522125003E-2,-9.294322357E0,-6.689588928E-1,3.320395203E0
4.526124999E-2,-9.268276520E0,-6.237528992E-1,3.531755676E0
5.530125002E-2,-9.089548187E0,-6.539900208E-1,3.472329254E0
6.534124998E-2,-9.023984528E0,-7.530839539E-1,3.433410187E0
7.538125000E-2,-8.923992462E0,-6.810836792E-1,3.399131470E0
8.542125003E-2,-8.903036041E0,-6.075865173E-1,3.226540375E0
9.546124999E-2,-8.929530945E0,-5.709127808E-1,3.077899475E0
1.055012500E-1,-9.004075928E0,-5.466632080E-1,3.115621033E0
1.155412500E-1,-9.179660797E0,-5.535488892E-1,3.270099792E0
1.255812500E-1,-9.254804535E0,-5.644761658E-1,3.264561310E0
1.356212500E-1,-9.290580139E0,-5.774990845E-1,3.277883606E0
1.456612500E-1,-9.247769165E0,-5.665718079E-1,3.247945862E0
1.557012500E-1,-9.216484222E0,-5.313949585E-1,3.187321930E0
1.657412500E-1,-9.158255310E0,-4.987628174E-1,3.178340607E0
1.757812500E-1,-9.096284180E0,-5.138813782E-1,3.255280609E0
1.858212500E-1,-9.154363403E0,-5.478607178E-1,3.287313995E0
1.958612500E-1,-9.190737762E0,-5.516029358E-1,3.322939911E0
2.059012500E-1,-9.173822937E0,-5.381309509E-1,3.386557617E0
2.159412500E-1,-9.259744263E0,-5.430706787E-1,3.464246063E0
2.259812500E-1,-9.211245117E0,-5.336402893E-1,3.493734741E0
2.360212500E-1,-9.154213715E0,-5.563929749E-1,3.450474701E0
2.460612500E-1,-9.111103363E0,-5.577401733E-1,3.380570068E0
2.561012500E-1,-9.075178070E0,-5.498066711E-1,3.361260223E0
2.661412500E-1,-9.029073944E0,-5.385800171E-1,3.325933685E0
2.761812500E-1,-8.969348145E0,-5.361849976E-1,3.353476410E0
2.862212500E-1,-8.995244293E0,-5.667214966E-1,3.358416138E0
2.962612500E-1,-9.001082153E0,-5.415737915E-1,3.352877655E0
3.063012500E-1,-9.016051025E0,-5.370831299E-1,3.336112518E0
3.163412500E-1,-9.000184021E0,-5.372328186E-1,3.339106293E0
3.263812500E-1,-9.028325500E0,-5.134323120E-1,3.319048004E0
3.364212500E-1,-9.035510559E0,-4.912783813E-1,3.284769287E0
3.464612500E-1,-8.997639313E0,-4.813989258E-1,3.265609131E0
3.565012500E-1,-8.955876160E0,-4.424798584E-1,3.300187225E0
3.665412500E-1,-8.997190247E0,-4.284091187E-1,3.294948120E0
3.765812500E-1,-8.970395966E0,-4.367916870E-1,3.275937653E0
3.866212500E-1,-8.896599426E0,-4.781057739E-1,3.274590454E0
3.966612500E-1,-8.838819580E0,-5.134323120E-1,3.263663177E0
4.067012500E-1,-8.909921722E0,-5.415737915E-1,3.239413605E0
4.167412500E-1,-8.964258728E0,-5.239105225E-1,3.149450684E0
4.267812500E-1,-8.886869659E0,-5.848338318E-1,2.976859589E0
4.368212500E-1,-8.873846741E0,-6.123765564E-1,2.888842621E0
4.468612500E-1,-9.144783325E0,-6.744973755E-1,2.781066742E0
4.569012500E-1,-9.275760956E0,-6.180647278E-1,2.582729187E0
4.669412500E-1,-9.339528351E0,-2.806663513E-1,2.660866699E0
4.769812500E-1,-9.846823425E0,-6.830296326E-1,2.843337250E0
4.870212500E-1,-9.937085724E0,-1.388362885E0,2.842289429E0
4.970612500E-1,-9.053024139E0,-2.359094238E-1,2.247875519E0
5.071012500E-1,-1.005324417E1,-3.059637451E-1,1.691183167E0
5.171412500E-1,-1.032702484E1,-7.144642639E-1,2.074236603E0
5.271812500E-1,-1.038749908E1,-7.469467163E-1,1.873803406E0
5.372212500E-1,-1.012344818E1,-7.933502197E-1,1.946851501E0
5.472612500E-1,-9.631121979E0,-5.339396667E-1,2.014510803E0
5.573012500E-1,-1.000609222E1,-4.117936707E-1,1.777254181E0
5.673412500E-1,-1.024334885E1,-7.331753540E-1,1.828896790E0
5.773812500E-1,-1.019919067E1,-6.545887756E-1,1.938917999E0
5.874212500E-1,-1.003094055E1,-1.131796417E0,2.178719330E0
5.974612500E-1,-9.153914337E0,-1.036744080E0,2.605930939E0
6.075012500E-1,-8.907826080E0,-7.779322815E-1,2.396516418E0
6.175402500E-1,-8.943002930E0,-7.535330200E-1,2.387535095E0
6.275802500E-1,-8.895551605E0,-7.491920471E-1,2.347119141E0
6.376202500E-1,-8.803343353E0,-6.973997498E-1,2.182910614E0
6.476602500E-1,-8.936266937E0,-7.171586609E-1,2.259401550E0
6.577002500E-1,-9.059760132E0,-7.120692444E-1,2.260449371E0
6.677402500E-1,-9.169032898E0,-7.000941467E-1,2.275567932E0
6.777802500E-1,-9.275311890E0,-7.125183105E-1,2.302811279E0
6.878202500E-1,-9.381441193E0,-7.226971436E-1,2.301164703E0
6.978602500E-1,-9.472751312E0,-7.265890503E-1,2.307002563E0
7.079002500E-1,-9.565857697E0,-7.607180786E-1,2.321971436E0
7.179402500E-1,-9.611363068E0,-7.638615417E-1,2.319576416E0
7.279802500E-1,-9.638905792E0,-7.439529419E-1,2.296374664E0
7.380202500E-1,-9.637259216E0,-6.939569092E-1,2.269430695E0
7.480602500E-1,-9.587263184E0,-7.415579224E-1,2.262545013E0
7.581002500E-1,-9.535021820E0,-8.033793640E-1,2.273771667E0
7.681402500E-1,-9.440717926E0,-7.188052368E-1,2.184557190E0
7.781802500E-1,-9.383087769E0,-7.018904114E-1,2.140399017E0
7.882202500E-1,-9.432335358E0,-7.499404907E-1,2.165546722E0
7.982602500E-1,-9.462871857E0,-8.261320496E-1,2.171983337E0
8.083002500E-1,-9.564660187E0,-8.180488586E-1,2.174677734E0
8.183402500E-1,-9.607471161E0,-7.565267944E-1,2.128124542E0
8.283802500E-1,-9.626631317E0,-7.864645386E-1,2.110012207E0
8.384202500E-1,-9.652677155E0,-8.199948120E-1,2.113005981E0
8.484602500E-1,-9.662406921E0,-8.635542297E-1,2.129621429E0
8.585002500E-1,-9.603429565E0,-8.485853577E-1,2.119741974E0
8.685402500E-1,-9.620943146E0,-8.578660583E-1,2.101479950E0
8.785802500E-1,-9.580676880E0,-8.304730225E-1,2.063758392E0
8.886202500E-1,-9.562863922E0,-7.936495972E-1,2.021845551E0
8.986602500E-1,-9.516161041E0,-7.533833313E-1,1.982327728E0
9.087002500E-1,-9.501341858E0,-7.089257812E-1,1.931283875E0
9.187402500E-1,-9.501641235E0,-6.939569092E-1,1.870061188E0
9.287802500E-1,-9.472751312E0,-6.830296326E-1,1.853745117E0
9.388202500E-1,-9.482181702E0,-7.220983887E-1,1.835932159E0
9.488602500E-1,-9.523645477E0,-7.653584290E-1,1.801354065E0
9.589002500E-1,-9.541458435E0,-8.261320496E-1,1.812281342E0
9.689402500E-1,-9.588909760E0,-8.843609619E-1,1.808988190E0
9.789802500E-1,-9.601932678E0,-8.915460205E-1,1.798210602E0
9.890202500E-1,-9.620344391E0,-8.991801453E-1,1.783241730E0
9.990602500E-1,-9.636510773E0,-9.095086670E-1,1.781744843E0
1.009100250E0,-9.615853729E0,-9.027726746E-1,1.796414337E0
1.019140250E0,-9.588610382E0,-8.631051636E-1,1.786235504E0
1.029179417E0,-9.562863922E0,-8.403524780E-1,1.752106476E0
1.039218417E0,-9.552834778E0,-8.276289368E-1,1.716031494E0
1.049258417E0,-9.562414856E0,-8.280780029E-1,1.683998108E0
1.059298417E0,-9.587263184E0,-8.087681580E-1,1.663191376E0
1.069338417E0,-9.599088593E0,-7.770341492E-1,1.635498962E0
1.079378417E0,-9.649982758E0,-8.268804932E-1,1.594633942E0
1.089418417E0,-9.652826843E0,-7.867639160E-1,1.562899933E0
1.099458417E0,-9.663305054E0,-7.538323975E-1,1.604663086E0
1.109498417E0,-9.662107544E0,-7.240443420E-1,1.570234680E0
1.119538417E0,-9.650581512E0,-6.683601379E-1,1.589544525E0
1.129578417E0,-9.660011902E0,-6.623725891E-1,1.585053864E0
1.139618417E0,-9.650431824E0,-6.530918884E-1,1.574575653E0
1.149658417E0,-9.666897583E0,-6.345304871E-1,1.552122345E0
1.159698417E0,-9.687854004E0,-6.122268677E-1,1.564097443E0
1.169738417E0,-9.731712799E0,-6.647676086E-1,1.580114136E0
1.179778417E0,-9.728419647E0,-6.830296326E-1,1.562151489E0
1.189818417E0,-9.693841553E0,-6.447093201E-1,1.601519623E0
1.199858417E0,-9.692344666E0,-6.783892822E-1,1.580413513E0
1.209898417E0,-9.701924744E0,-7.183561707E-1,1.612297211E0
1.219938417E0,-9.657616882E0,-7.113208008E-1,1.654958496E0
1.229978417E0,-9.625882874E0,-7.315287781E-1,1.707499237E0
1.240018417E0,-9.531129913E0,-7.057823181E-1,1.759590912E0
1.250058417E0,-9.453441467E0,-6.818321228E-1,1.851050720E0
1.260098417E0,-9.405092010E0,-6.987469482E-1,1.896406403E0
1.270138417E0,-9.350605316E0,-7.041357422E-1,1.939816132E0
1.280178417E0,-9.320218506E0,-6.774911499E-1,1.902244263E0
