"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.590499993E-3,-6.787361950E-2,4.725115374E-3,8.170641959E-3
1.263050002E-2,-1.862750202E-2,-2.815453708E-2,-3.469768912E-3
2.267049998E-2,-2.418686170E-3,-7.016341388E-2,-7.781838533E-3
3.271125001E-2,2.747289836E-2,-8.100487292E-2,9.347880259E-3
4.275125003E-2,7.799351215E-2,-1.112888902E-1,1.002276409E-2
5.279125000E-2,1.117355004E-1,-1.492224336E-1,8.297302760E-3
6.283125002E-2,1.322378367E-1,-1.428829581E-1,1.041324530E-2
7.287124998E-2,1.315712482E-1,-9.701134264E-2,7.179901004E-3
8.291125001E-2,9.958253056E-2,-4.725977033E-2,-4.784778226E-3
9.295125003E-2,6.445436925E-2,1.085924450E-3,-1.128848456E-2
1.029912500E-1,4.094070569E-2,2.840191498E-2,-1.565674320E-2
1.130312500E-1,3.976305574E-2,1.741930470E-2,-5.289224209E-4
1.230712500E-1,3.830196336E-2,-1.398350485E-2,1.408521459E-2
1.331112500E-1,2.915693074E-2,-1.499257609E-2,2.851422131E-2
1.431512500E-1,1.665550470E-2,-2.237691171E-2,3.671947867E-2
1.531912500E-1,-8.824821562E-3,-2.523767948E-2,3.059687465E-2
1.632312500E-1,-3.398593143E-2,-8.274210617E-3,2.473642305E-2
1.732712500E-1,-4.816433415E-2,1.597733423E-2,1.790328510E-2
1.833112500E-1,-4.974672198E-2,5.292154849E-3,1.903861202E-2
1.933512500E-1,-4.660739005E-2,2.171995584E-3,2.028071135E-2
2.033912500E-1,-3.664613143E-2,6.307506934E-3,1.906509884E-2
2.134312500E-1,-1.655844040E-2,-9.488500655E-3,2.344200388E-2
2.234712500E-1,1.100807800E-3,-2.937949076E-2,2.157138288E-2
2.335112500E-1,1.546137128E-2,-4.077915102E-2,1.676623896E-2
2.435512500E-1,1.942863315E-2,-2.753022499E-2,1.700397953E-2
2.535912500E-1,2.035328187E-2,-1.786641218E-2,1.359300129E-2
2.636312500E-1,1.551715005E-2,1.165759005E-2,5.282976199E-3
2.736712500E-1,8.077610284E-3,6.596583128E-2,1.444562222E-3
2.837112500E-1,1.302131102E-3,1.112995818E-1,-1.843151986E-3
2.937512500E-1,-5.149436183E-4,1.401365548E-1,-7.926610298E-3
3.037912500E-1,-9.286211804E-3,1.685017794E-1,-1.436584909E-2
3.138312500E-1,-8.599382825E-3,1.852085888E-1,-2.100191452E-2
3.238712500E-1,-1.175854355E-2,2.029117942E-1,-2.088794857E-2
3.339112500E-1,-2.383970842E-2,2.334758192E-1,-2.555727027E-2
3.439512500E-1,-3.853907809E-2,2.873873115E-1,-2.941512316E-2
3.539912500E-1,-4.515676573E-2,3.397482634E-1,-3.238561377E-2
3.640312500E-1,-4.838083684E-2,3.818099201E-1,-4.610736668E-2
3.740712500E-1,-5.778499320E-2,4.432376027E-1,-6.851307303E-2
3.841112500E-1,-6.615374982E-2,5.335476398E-1,-8.457473665E-2
3.941512500E-1,-7.421886176E-2,6.257295012E-1,-1.003406495E-1
4.041912500E-1,-6.921647489E-2,7.010159492E-1,-1.031722948E-1
4.142312500E-1,-6.293594837E-2,7.750177383E-1,-1.184074357E-1
4.242712500E-1,-7.451476902E-2,8.489228487E-1,-1.124589816E-1
4.343112500E-1,-7.902456820E-2,8.711796999E-1,-9.279739857E-2
4.443512500E-1,-7.549981028E-2,8.350043893E-1,-7.027041167E-2
4.543912500E-1,-1.004999727E-1,8.134850264E-1,-6.513583660E-2
4.644312500E-1,-1.130993888E-1,7.933597565E-1,-1.037735119E-1
4.744712500E-1,-9.216427803E-2,7.599804997E-1,-5.211644247E-2
4.845112500E-1,-2.492416650E-2,7.523987889E-1,5.270039663E-2
4.945512500E-1,-6.290563941E-2,7.796639800E-1,-2.203829028E-2
5.045912500E-1,-1.304272413E-1,6.865053773E-1,-9.026044281E-4
5.146312500E-1,-8.678042144E-2,4.623180926E-1,1.005976554E-2
5.246712500E-1,-7.938957214E-2,2.345795035E-1,2.925617993E-2
5.347112500E-1,-5.092597380E-2,1.032971069E-1,6.355529279E-2
5.447512500E-1,-1.659875736E-2,2.735076472E-2,5.196874030E-3
5.547912500E-1,1.831208915E-2,-1.045521423E-1,-8.159368485E-2
5.648312500E-1,5.264604092E-2,-2.091884762E-1,-1.359775513E-1
5.748712500E-1,3.692593426E-2,-2.460378408E-1,-2.160398960E-1
5.849112500E-1,-1.143657789E-2,-2.077447921E-1,-8.366302401E-2
5.949512500E-1,-2.733101137E-3,-9.357722104E-2,-2.510729805E-2
6.049912500E-1,-1.329833828E-2,-1.407931559E-3,-2.936675586E-2
6.150312500E-1,3.305138554E-3,1.235368662E-2,-1.306128688E-2
6.250712500E-1,2.742939396E-3,3.971802443E-2,-3.838680685E-3
6.351102500E-1,7.684878074E-5,6.766843051E-2,-2.327336464E-3
6.451502500E-1,1.304604812E-3,8.899851143E-2,-2.293717116E-3
6.551902500E-1,-4.043555353E-3,1.109552085E-1,3.697103239E-4
6.652302500E-1,-8.380366489E-3,1.283995360E-1,6.863384624E-4
6.752702500E-1,-9.539640509E-3,1.432661116E-1,-5.381407682E-3
6.853102500E-1,-1.136531867E-2,1.511555761E-1,-6.643438246E-3
6.953502500E-1,-1.095013227E-2,1.531718522E-1,-1.065309346E-2
7.053902500E-1,-7.967087440E-3,1.482258588E-1,-1.036034990E-2
7.154302500E-1,-5.677035078E-3,1.409706026E-1,-1.258435566E-2
7.254702500E-1,-7.210076321E-3,1.279181093E-1,-1.121889427E-2
7.355102500E-1,-8.831143379E-3,1.159818247E-1,-1.094512176E-2
7.455502500E-1,-7.979126647E-3,1.038294211E-1,-1.446135342E-2
7.555902500E-1,-3.736710409E-3,1.018448323E-1,-8.742745966E-3
7.656302500E-1,-3.118503839E-3,9.363275766E-2,-9.764989838E-3
7.756702500E-1,-8.713539690E-3,8.979354799E-2,-1.271524001E-2
7.857102500E-1,-1.199910231E-2,9.373732656E-2,-9.526761249E-3
7.957502500E-1,-1.229977328E-2,1.007968336E-1,-5.381284282E-3
8.057902500E-1,-1.798300818E-2,1.039350703E-1,4.389772192E-3
8.158302500E-1,-2.392745018E-2,9.915043414E-2,8.588777855E-3
8.258702500E-1,-2.677220479E-2,8.770428598E-2,5.444526672E-3
8.359102500E-1,-2.908382937E-2,7.300709933E-2,4.573140759E-3
8.459502500E-1,-2.844220959E-2,5.588958040E-2,5.740690045E-3
8.559902500E-1,-2.854314260E-2,4.754509777E-2,1.805869746E-3
8.660302500E-1,-2.196728997E-2,4.370711744E-2,4.128551576E-3
8.760702500E-1,-1.872915216E-2,3.433811665E-2,-1.707233139E-3
8.861102500E-1,-1.497438643E-2,2.812689170E-2,-4.210292362E-3
8.961502500E-1,-1.500527840E-2,2.705443650E-2,-7.060674019E-3
9.061902500E-1,-1.908715442E-2,2.923313528E-2,-7.936136797E-3
9.162302500E-1,-2.414929122E-2,2.601443976E-2,-6.831457373E-3
9.262702500E-1,-2.715984732E-2,2.002642304E-2,-7.541744038E-3
9.363102500E-1,-2.758835070E-2,2.234017663E-2,-7.464512251E-3
9.463502500E-1,-2.725612372E-2,2.883660421E-2,-6.336625200E-3
9.563902500E-1,-2.676583827E-2,3.644578904E-2,-4.048170988E-3
9.664302500E-1,-2.650617808E-2,4.244695604E-2,-3.434844781E-3
9.764702500E-1,-2.270078659E-2,4.397827387E-2,-2.895554993E-3
9.865102500E-1,-1.765158027E-2,3.811468929E-2,-4.906751215E-3
9.965502500E-1,-1.097716577E-2,2.620103769E-2,-5.565084517E-3
1.006590250E0,-1.975263003E-3,1.424318925E-2,-7.567083929E-3
1.016630250E0,7.594806608E-3,8.258800954E-3,-1.090402529E-2
1.026670250E0,1.727768965E-2,1.262720674E-2,-1.551031135E-2
1.036708417E0,2.624428645E-2,1.767363027E-2,-1.723870449E-2
1.046748417E0,3.554549068E-2,2.479597926E-2,-2.344589867E-2
1.056788417E0,4.306279495E-2,2.873426117E-2,-2.485151589E-2
1.066828417E0,4.218332469E-2,3.488396481E-2,-3.489445895E-2
1.076868417E0,5.579367280E-2,2.386593632E-2,-2.707461827E-2
1.086908417E0,5.345883965E-2,1.741803065E-2,-2.228934318E-2
1.096948417E0,5.235469341E-2,1.543610729E-2,-1.596540213E-2
1.106988417E0,4.355613142E-2,1.394030079E-2,-9.915952571E-3
1.117028417E0,3.606146201E-2,1.266437955E-2,-4.838635679E-3
1.127068417E0,2.663702704E-2,1.709548756E-2,-3.576725256E-3
1.137108417E0,1.638066210E-2,1.896556094E-2,-1.014498179E-3
1.147148417E0,9.843427688E-3,2.011038922E-2,-1.538384822E-3
1.157188417E0,-7.703874726E-3,2.121533453E-2,-8.313733153E-3
1.167228417E0,-1.521031838E-3,6.699542981E-3,3.978700843E-3
1.177268417E0,-1.172626577E-2,2.696013078E-3,8.038156666E-3
1.187308417E0,-1.807996258E-2,1.057191100E-2,2.471558750E-3
1.197348417E0,-2.403532341E-2,1.586973667E-2,-2.757558133E-3
1.207388417E0,-2.884646691E-2,2.010017075E-2,-1.948372810E-3
1.217428417E0,-3.532354161E-2,1.576747373E-2,-2.191785723E-3
1.227468417E0,-3.821523488E-2,6.287308410E-3,7.928616367E-3
1.237508417E0,-5.121332407E-2,-4.845773801E-4,8.896143176E-3
1.247548417E0,-5.887266994E-2,-6.458114367E-3,1.236661244E-2
1.257588417E0,-7.313709706E-2,-4.605353344E-3,1.870307140E-2
1.267628417E0,-8.327732980E-2,9.855012409E-3,2.419126593E-2
1.277668417E0,-9.625064582E-2,3.308789805E-2,1.639139839E-2
1.287708417E0,-1.038864404E-1,4.250387102E-2,1.130808610E-2
1.297748417E0,-1.065796912E-1,5.013488978E-2,5.986824632E-3
1.307788417E0,-1.009607762E-1,5.126508325E-2,3.707010765E-3
1.317828417E0,-1.054708362E-1,7.026194036E-2,-9.016773663E-3
