"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.331454200E-2,-9.536594391E0,-2.249253243E-1,3.798007727E0
3.331454200E-2,-9.353543282E0,-3.254238665E-1,3.666402578E0
4.331454200E-2,-8.894720078E0,-2.524427772E-1,3.707080364E0
5.331454200E-2,-8.754141808E0,-1.704886109E-1,3.435495138E0
6.331454200E-2,-8.834300995E0,-8.973085135E-2,3.209373474E0
7.331454200E-2,-8.906085968E0,-4.666004330E-2,3.227917671E0
8.331454200E-2,-8.919246674E0,-7.537391037E-2,3.113062143E0
9.331454200E-2,-8.929415703E0,-5.144568533E-2,3.189632654E0
1.033145420E-1,-8.987442017E0,-2.751746029E-2,3.212962627E0
1.133145420E-1,-9.090931892E0,-3.589233849E-3,3.001796007E0
1.233145420E-1,-9.098110199E0,-1.046859920E-1,3.375076294E0
1.333145420E-1,-9.014361382E0,-1.663011760E-1,3.677170277E0
1.433145420E-1,-9.146564484E0,-1.668993831E-1,3.470789194E0
1.533145420E-1,-9.185447693E0,-1.381855011E-1,3.546761274E0
1.633145420E-1,-9.153144836E0,-1.477568001E-1,3.642474174E0
1.733145420E-1,-9.094520569E0,-9.032905847E-2,3.494717360E0
1.833145420E-1,-9.012566566E0,-1.040877849E-1,3.452244759E0
1.933145420E-1,-9.031708717E0,-1.184447184E-1,3.404388428E0
2.033145420E-1,-8.992825508E0,-1.280160099E-1,3.361915827E0
2.133145420E-1,-8.931808472E0,-1.663011760E-1,3.510270834E0
2.233145420E-1,-8.959924698E0,-1.471585929E-1,3.419343472E0
2.333145420E-1,-9.055637360E0,-1.477568001E-1,3.452244759E0
2.433145420E-1,-9.084949493E0,-1.477568001E-1,3.499503136E0
2.533145420E-1,-9.125627518E0,-1.046859920E-1,3.212364435E0
2.633145420E-1,-9.249456406E0,-7.597211748E-2,3.115455151E0
2.733145420E-1,-9.188439369E0,-1.142572835E-1,3.259622574E0
2.833145420E-1,-9.018548965E0,-1.280160099E-1,3.600599766E0
2.933145420E-1,-8.919844627E0,-1.471585929E-1,3.811168194E0
3.033145420E-1,-8.885149002E0,-6.580262631E-2,3.634099483E0
3.133145420E-1,-8.909674644E0,-8.015955985E-2,3.696312666E0
3.233145420E-1,-9.060422897E0,-1.668993831E-1,3.466601849E0
3.333145420E-1,-8.944969177E0,-1.758724600E-1,3.973880291E0
3.433145420E-1,-8.976674080E0,-1.423729509E-1,3.734597921E0
3.533145420E-1,-9.032905579E0,-2.003988922E-1,3.634099483E0
3.633145420E-1,-9.118449211E0,-2.003988922E-1,3.533600807E0
3.733145420E-1,-9.156734467E0,-2.099701911E-1,3.494717360E0
3.833145420E-1,-9.171091080E0,-2.338984162E-1,3.500101328E0
3.933145420E-1,-9.190233231E0,-2.147558331E-1,3.523431301E0
4.033145420E-1,-9.185447693E0,-1.908276081E-1,3.518645763E0
4.133145420E-1,-9.147761345E0,-1.190429255E-1,3.551547050E0
4.233145420E-1,-9.147761345E0,-1.046859920E-1,3.575475216E0
4.333145420E-1,-9.119047165E0,-7.118647546E-2,3.570689678E0
4.433145420E-1,-9.085547447E0,-6.161518395E-2,3.585046530E0
4.533145420E-1,-9.071190834E0,-3.290131316E-2,3.570689678E0
4.633145420E-1,-9.061619759E0,-4.247260094E-2,3.575475216E0
4.733145420E-1,-9.071190834E0,-1.375873014E-2,3.546761274E0
4.833145420E-1,-9.090332985E0,5.982056609E-4,3.503690481E0
4.933145420E-1,-9.113663673E0,-8.973085321E-3,3.474378586E0
5.033145420E-1,-9.114261627E0,-1.854437590E-2,3.522234917E0
5.133145420E-1,-9.094520569E0,-4.247260094E-2,3.498904943E0
5.233145420E-1,-9.128020287E0,-6.161518395E-2,3.498904943E0
5.333145420E-1,-9.104091644E0,-8.075776696E-2,3.498904943E0
5.433145420E-1,-9.094520569E0,-6.161518395E-2,3.484548092E0
5.533145420E-1,-9.090332985E0,-1.316052489E-2,3.532404423E0
5.633145420E-1,-9.061619759E0,1.196411322E-3,3.589233875E0
5.733145420E-1,-9.028717995E0,4.905286431E-2,3.579662561E0
5.833145420E-1,-9.009575844E0,4.426721856E-2,3.632304668E0
5.933145420E-1,-8.990432739E0,2.512463741E-2,3.618546009E0
6.033145420E-1,-8.980861664E0,1.555334684E-2,3.594617844E0
6.133145420E-1,-8.995218277E0,2.991028316E-2,3.594617844E0
6.233145420E-1,-8.980861664E0,-2.751746029E-2,3.595216036E0
6.333145420E-1,-8.980861664E0,-8.374879137E-3,3.580859184E0
6.433145420E-1,-8.966505051E0,-6.580262631E-2,3.643072367E0
6.533145420E-1,-8.976076126E0,-8.494520187E-2,3.676572084E0
6.633145420E-1,-9.014361382E0,2.991028316E-2,3.642474174E0
6.733145420E-1,-9.081359863E0,1.830509305E-1,3.544966698E0
6.833145420E-1,-9.066405296E0,9.690931439E-2,3.503092289E0
6.933145420E-1,-9.067003250E0,1.686939895E-1,3.612564087E0
7.033145420E-1,-9.038887978E0,1.495514214E-1,3.641277790E0
7.133145420E-1,-9.019744873E0,1.495514214E-1,3.660420418E0
7.233145420E-1,-9.043074608E0,9.212367237E-2,3.622733593E0
7.333145420E-1,-9.043074608E0,3.469592705E-2,3.575475216E0
7.433145420E-1,-9.086145401E0,-4.247260094E-2,3.618546009E0
7.533145420E-1,-9.095118523E0,-1.094716340E-1,3.571287870E0
7.633145420E-1,-9.051449776E0,-2.147558331E-1,3.519842148E0
7.733145420E-1,-9.028120041E0,-2.291127741E-1,3.582055569E0
