"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.433446200E-2,3.970623948E-3,9.666942805E-2,6.001751125E-2
4.433446200E-2,5.192354787E-3,1.087340117E-1,5.024366826E-2
5.433446200E-2,2.748893574E-3,1.195768714E-1,5.513058975E-2
6.433446200E-2,3.970623948E-3,9.544769675E-2,5.146539584E-2
7.433446200E-2,8.704829961E-3,5.177082866E-2,4.550946131E-2
8.433446200E-2,1.221730467E-2,1.893682219E-2,3.940080851E-2
9.433446200E-2,1.588249579E-2,1.282817032E-2,3.207042441E-2
1.043344620E-1,2.214386500E-2,3.222314268E-2,3.084869497E-2
1.143344620E-1,2.947424725E-2,6.123924255E-2,3.207042441E-2
1.243344620E-1,3.329215571E-2,8.552113175E-2,2.611448988E-2
1.343344620E-1,3.695734590E-2,8.429940045E-2,2.000583708E-2
1.443344620E-1,4.169155285E-2,5.879577994E-2,1.267545391E-2
1.543344620E-1,3.924809024E-2,3.329215571E-2,1.389718428E-2
1.643344620E-1,4.046982154E-2,2.718350291E-2,9.162978269E-3
1.743344620E-1,4.291328415E-2,3.573561832E-2,7.941247895E-3
1.843344620E-1,3.802636266E-2,2.489275858E-2,6.719517522E-3
1.943344620E-1,4.046982154E-2,2.962696366E-2,7.941247895E-3
2.043344620E-1,4.046982154E-2,1.756237634E-2,6.719517522E-3
2.143344620E-1,3.558290005E-2,3.940080851E-2,1.267545391E-2
2.243344620E-1,4.046982154E-2,4.657847434E-2,1.023199316E-2
2.343344620E-1,3.817907721E-2,8.536841720E-2,1.634064503E-2
2.443344620E-1,4.077525437E-2,1.194241568E-1,2.000583708E-2
2.543344620E-1,4.321871698E-2,1.314887404E-1,2.489275858E-2
2.643344620E-1,3.955352306E-2,1.375973970E-1,2.840523422E-2
2.743344620E-1,3.833179548E-2,1.363756657E-1,3.084869497E-2
2.843344620E-1,3.573561832E-2,1.182024255E-1,2.962696366E-2
