"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-3.985708317E-3,-9.595795441E0,3.279679871E-1,1.382525024E0
6.054291676E-3,-9.736652527E0,3.011737061E-1,1.125060425E0
1.609429167E-2,-9.457632751E0,3.805087280E-1,1.519939270E0
2.613429169E-2,-9.655521240E0,3.068618774E-1,1.507066040E0
3.617429169E-2,-9.719438324E0,2.739303589E-1,1.614093475E0
4.621429168E-2,-9.777966614E0,3.079096985E-1,1.758094025E0
5.625529168E-2,-9.739646301E0,3.104544067E-1,1.733844452E0
6.629529168E-2,-9.628876648E0,3.182382202E-1,1.656006317E0
7.633529167E-2,-9.549990692E0,2.896476746E-1,1.488504639E0
8.637529169E-2,-9.545649719E0,2.893482971E-1,1.421294403E0
9.641529169E-2,-9.545649719E0,2.854563904E-1,1.495390320E0
1.064552917E-1,-9.546098785E0,2.844085693E-1,1.486259308E0
1.164952917E-1,-9.579179993E0,2.888992310E-1,1.473984833E0
1.265352917E-1,-9.671837311E0,3.248245239E-1,1.472787323E0
1.365752917E-1,-9.745334473E0,3.390449524E-1,1.402134247E0
1.466152917E-1,-9.714199219E0,3.326083374E-1,1.458716583E0
1.566552917E-1,-9.652377777E0,3.486250305E-1,1.563199310E0
1.666952917E-1,-9.627978516E0,3.598516846E-1,1.563049622E0
1.767352917E-1,-9.605525208E0,3.691323853E-1,1.546134796E0
1.867752917E-1,-9.619146881E0,3.788621521E-1,1.478176117E0
1.968152917E-1,-9.635912018E0,3.585044861E-1,1.477427673E0
2.068552917E-1,-9.654174042E0,3.397933960E-1,1.532513123E0
2.168952917E-1,-9.704170074E0,3.417393494E-1,1.550924835E0
2.269352917E-1,-9.746382294E0,2.552192688E-1,1.579814758E0
2.369762917E-1,-9.624535675E0,2.731819153E-1,1.573228455E0
2.470162917E-1,-9.534572754E0,2.573149109E-1,1.586850128E0
2.570562917E-1,-9.447154541E0,2.421963501E-1,1.610650635E0
2.670962917E-1,-9.360035706E0,2.905458069E-1,1.532812500E0
2.771362917E-1,-9.435628510E0,2.475851440E-1,1.529818726E0
2.871762917E-1,-9.439819794E0,2.981799316E-1,1.596280518E0
2.972162917E-1,-9.540111237E0,3.484753418E-1,1.713037720E0
3.072562917E-1,-9.730964355E0,2.770738220E-1,1.770368500E0
3.172962917E-1,-9.717043304E0,2.905458069E-1,1.684896240E0
3.273362917E-1,-9.645941162E0,2.775228882E-1,1.595232697E0
3.373762917E-1,-9.621691589E0,3.107537842E-1,1.516197052E0
3.474162917E-1,-9.566157074E0,4.013154602E-1,1.463656311E0
3.574562917E-1,-9.606573029E0,4.207749939E-1,1.416953430E0
3.674962917E-1,-9.680519257E0,4.155358887E-1,1.373244324E0
3.775362917E-1,-9.734107819E0,3.420387268E-1,1.387315063E0
3.875762917E-1,-9.698930969E0,3.912863159E-1,1.508862305E0
3.976162917E-1,-9.697883148E0,3.594026184E-1,1.513203278E0
4.076562917E-1,-9.599088593E0,3.731739807E-1,1.402882690E0
4.176972917E-1,-9.483379211E0,4.189787292E-1,1.368154907E0
4.277372917E-1,-9.357341309E0,4.224215698E-1,1.287622375E0
4.377772917E-1,-9.425299988E0,3.312611389E-1,1.179397430E0
4.478172917E-1,-9.616901550E0,2.857557678E-1,1.350940704E0
4.578572917E-1,-9.726623383E0,3.197351074E-1,1.503772888E0
4.678972917E-1,-9.687854004E0,3.266207886E-1,1.391206970E0
4.779372917E-1,-9.531129913E0,3.559597778E-1,1.276545410E0
4.879772917E-1,-9.508227539E0,3.397933960E-1,1.269959106E0
4.980172917E-1,-9.449399872E0,2.869532776E-1,1.187480621E0
5.080572917E-1,-9.392967224E0,2.347119141E-1,1.118324432E0
5.180972917E-1,-9.328601074E0,2.203417969E-1,1.048270111E0
5.281372917E-1,-9.182953949E0,3.559597778E-1,8.411009216E-1
5.381772917E-1,-9.008267212E0,5.089416504E-1,5.846841431E-1
5.482172917E-1,-9.284742279E0,5.114863586E-1,4.424798584E-1
5.582572917E-1,-9.957593079E0,4.105961609E-1,2.474354553E-1
5.682972917E-1,-1.035456757E1,4.858895874E-1,2.215393066E-1
5.783372917E-1,-1.040246796E1,3.456312561E-1,3.626957703E-1
5.883772917E-1,-1.020413040E1,3.341052246E-1,4.067042542E-1
5.984182917E-1,-9.985435181E0,4.337979126E-1,3.489244080E-1
6.084582917E-1,-9.894424438E0,4.153862000E-1,3.558100891E-1
6.184982917E-1,-9.839638367E0,3.920347595E-1,2.430944824E-1
6.285382917E-1,-9.726773071E0,4.061054993E-1,1.547781372E-1
6.385782917E-1,-9.638307037E0,4.126918030E-1,1.197509766E-1
6.486182917E-1,-9.553732910E0,3.450325012E-1,4.415817261E-2
6.586582917E-1,-9.539213104E0,2.576142883E-1,-1.537303162E-1
6.686982917E-1,-9.651779022E0,2.439926147E-1,-2.456391907E-1
6.787382917E-1,-9.790839844E0,2.507286072E-1,-3.465293884E-1
6.887782917E-1,-9.810748444E0,3.095562744E-1,-3.323089600E-1
6.988182917E-1,-9.896819458E0,3.561094666E-1,-2.767744446E-1
7.088582917E-1,-9.945617981E0,4.408332825E-1,-2.769241333E-1
7.188982917E-1,-9.847422180E0,5.182223511E-1,-2.749781799E-1
7.289382917E-1,-9.810748444E0,5.249583435E-1,-3.258723450E-1
7.389782917E-1,-9.679770813E0,5.656736755E-1,-2.730322266E-1
7.490182917E-1,-9.546098785E0,5.553451538E-1,-3.195854187E-1
7.590582917E-1,-9.708960114E0,2.929408264E-1,-3.441343689E-1
7.690992917E-1,-9.769434357E0,1.243913269E-1,-4.162843323E-1
7.791392917E-1,-9.794432373E0,6.167175293E-2,-4.875361633E-1
7.891792917E-1,-9.717642059E0,1.529818726E-1,-3.245251465E-1
7.992192917E-1,-9.662556610E0,4.267625427E-1,-3.179388428E-1
8.092592917E-1,-9.780810699E0,5.890251160E-1,-4.587959290E-1
8.192992917E-1,-9.906399536E0,4.854405212E-1,-5.502557373E-1
8.293392917E-1,-9.817035370E0,4.318519592E-1,-6.370751953E-1
8.393792917E-1,-9.628128204E0,4.394860840E-1,-6.873706055E-1
8.494192917E-1,-9.571246490E0,5.147795105E-1,-6.846762085E-1
8.594592917E-1,-9.742789764E0,5.126838684E-1,-7.427554321E-1
8.694992917E-1,-1.008467880E1,3.016227722E-1,-7.376660156E-1
8.795392917E-1,-9.867630157E0,2.375559998E-1,-7.583230591E-1
8.895792917E-1,-9.789642334E0,2.086660767E-1,-7.670050049E-1
8.996192917E-1,-9.795031128E0,2.315684509E-1,-8.765771484E-1
9.096592917E-1,-9.797276459E0,3.579057312E-1,-8.934919739E-1
9.196992917E-1,-9.788295135E0,3.635939026E-1,-7.152127075E-1
9.297391667E-1,-9.683962097E0,4.167333984E-1,-7.526348877E-1
9.397801667E-1,-9.705816650E0,3.974235535E-1,-7.554789734E-1
9.498201667E-1,-9.691895599E0,3.826043701E-1,-6.259982300E-1
9.598601667E-1,-9.704319763E0,3.673361206E-1,-7.132667542E-1
9.699001667E-1,-9.718540192E0,3.403921509E-1,-8.304730225E-1
9.799401667E-1,-9.691596222E0,2.634521484E-1,-8.940907288E-1
9.899801667E-1,-9.707612915E0,2.493814087E-1,-9.045689392E-1
1.000020167E0,-9.726473694E0,2.851570129E-1,-9.078620911E-1
1.010060167E0,-9.748178558E0,3.375480652E-1,-8.301736450E-1
1.020100167E0,-9.774972839E0,3.884422302E-1,-7.819738770E-1
1.030140167E0,-9.807754669E0,3.939807129E-1,-8.412506104E-1
1.040180167E0,-9.795031128E0,3.347039795E-1,-8.455915833E-1
1.050220167E0,-9.840686188E0,4.903802490E-1,-7.969427490E-1
1.060260167E0,-9.919572144E0,5.888754272E-1,-8.153544617E-1
1.070300167E0,-9.937834167E0,3.396437073E-1,-7.975415039E-1
