"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.544291685E-3,-2.667473629E-2,4.777225852E-2,9.353633504E-4
1.358429168E-2,-9.712529369E-3,7.021471858E-2,-1.089599542E-2
2.362429167E-2,-1.815693639E-2,1.701376401E-2,-4.485204350E-3
3.366429167E-2,-7.253421471E-3,-2.264629863E-2,-2.405009232E-3
4.370429169E-2,1.490602456E-2,-6.457941979E-2,9.605136700E-3
5.374529169E-2,2.941306122E-2,-7.354228944E-2,1.724920794E-2
6.378529168E-2,3.634919971E-2,-6.074510887E-2,1.635135710E-2
7.382529168E-2,2.087437175E-2,-3.075311892E-2,1.507863216E-2
8.386529167E-2,2.610348398E-3,5.642333999E-3,1.372538321E-2
9.390529169E-2,-7.721325383E-4,1.785452478E-2,1.284893695E-2
1.039452917E-1,-6.407758221E-3,5.607280880E-3,9.241999127E-3
1.139852917E-1,-9.313000366E-3,4.502601456E-3,5.062434357E-3
1.240252917E-1,-1.042450219E-2,-9.430145845E-3,5.759473890E-3
1.340652917E-1,-2.617976442E-2,-3.615416959E-2,6.593042985E-3
1.441052917E-1,-3.070645779E-2,-2.707380801E-2,7.383921649E-3
1.541452917E-1,-2.583580278E-2,-1.425068546E-2,9.313913994E-3
1.641852917E-1,-2.318304591E-2,-9.009957314E-3,1.383730303E-2
1.742252917E-1,-2.043040283E-2,7.715493906E-3,1.226577256E-2
1.842652917E-1,-2.481394820E-2,2.185778320E-2,1.382131409E-2
1.943052917E-1,-2.493911609E-2,1.939276047E-2,1.616063528E-2
2.043452917E-1,-1.692193560E-2,-3.650299460E-2,1.355126966E-2
2.143852917E-1,-1.350962743E-2,-6.973897666E-2,1.309586968E-2
2.244252917E-1,-4.868817981E-3,-9.814979136E-2,1.423321757E-2
2.344662917E-1,-4.981203470E-3,-1.035573408E-1,1.508622803E-2
2.445062917E-1,-1.022064220E-2,-6.815183908E-2,1.856894232E-2
2.545462917E-1,-1.266116276E-2,-7.192083169E-3,1.907334477E-2
2.645862917E-1,-2.283737808E-2,5.573649704E-2,1.489791274E-2
2.746262917E-1,-2.942737006E-2,1.137923449E-1,1.889318600E-2
2.846662917E-1,-2.677346393E-2,1.394027323E-1,1.276401989E-2
2.947062917E-1,-9.684492834E-3,1.107282192E-1,1.258958317E-2
3.047462917E-1,1.605155319E-2,6.509606540E-2,1.399037614E-2
3.147862917E-1,2.822752483E-2,4.113986343E-2,1.111176517E-2
3.248262917E-1,3.172070161E-2,6.020197645E-2,1.611855812E-2
3.348662917E-1,3.096329793E-2,9.833364934E-2,2.727400698E-2
3.449062917E-1,3.063916229E-2,1.559104919E-1,3.375202790E-2
3.549462917E-1,3.050041199E-2,2.073582411E-1,3.851322830E-2
3.649862917E-1,2.390704118E-2,2.228095829E-1,3.529488295E-2
3.750262917E-1,4.804809578E-5,2.050910294E-1,1.922963373E-2
3.850662917E-1,-1.135223731E-2,2.088314593E-1,1.278563123E-2
3.951062917E-1,-2.546113357E-2,2.740669250E-1,3.380808979E-2
4.051462917E-1,-2.585531585E-2,3.761619031E-1,4.609620571E-2
4.151872917E-1,-1.491877995E-2,4.686471224E-1,4.153927043E-2
4.252272917E-1,-9.154891595E-3,5.226967931E-1,2.435135469E-2
4.352672917E-1,-3.401397727E-3,4.438113272E-1,2.054330148E-2
4.453072917E-1,1.766460948E-2,3.352976143E-1,1.726314425E-2
4.553472917E-1,3.074499220E-2,3.194161057E-1,1.523594651E-2
4.653872917E-1,3.385790810E-2,3.820163608E-1,1.369879954E-2
4.754272917E-1,3.682599962E-2,4.729313552E-1,1.568631642E-2
4.854672917E-1,4.518436641E-2,5.734283328E-1,2.173140645E-2
4.955072917E-1,5.063665658E-2,6.679122448E-1,2.298921719E-2
5.055472917E-1,4.716966301E-2,7.814834714E-1,3.091775626E-2
5.155872917E-1,4.704795778E-2,9.209383130E-1,3.738604113E-2
5.256272917E-1,4.545110464E-2,1.075161099E0,3.040271811E-2
5.356672917E-1,3.417235240E-2,1.195535183E0,3.671238665E-3
5.457072917E-1,1.597404480E-2,1.181101441E0,-9.712684900E-3
5.557472917E-1,-1.293696463E-2,9.926731586E-1,-2.227071440E-3
5.657872917E-1,-3.714624792E-2,7.427715063E-1,-5.744130816E-3
5.758272917E-1,-3.667966276E-2,6.089471579E-1,3.616347909E-3
5.858672917E-1,-2.100994252E-2,5.608514547E-1,9.193037637E-3
5.959082917E-1,-5.935386755E-3,5.182501674E-1,2.740996657E-3
6.059482917E-1,1.784189418E-2,4.534541368E-1,-6.892081816E-3
6.159882917E-1,3.844890371E-2,3.870705962E-1,-1.643045805E-2
6.260282917E-1,4.499043152E-2,3.830082417E-1,-2.148314565E-2
6.360682917E-1,3.975412622E-2,4.248294830E-1,-2.121176943E-2
6.461082917E-1,4.019442946E-2,4.751344025E-1,-2.373103239E-2
6.561482917E-1,1.830404438E-2,4.947488606E-1,-2.702696063E-2
6.661882917E-1,-4.288854543E-3,5.055118799E-1,-1.913722605E-2
6.762282917E-1,-2.595766634E-2,4.565651119E-1,-4.303846508E-4
6.862682917E-1,-4.086076841E-2,4.331191480E-1,1.271101274E-2
6.963082917E-1,-3.615602851E-2,3.990954161E-1,3.063781559E-2
7.063482917E-1,-2.724661678E-2,3.697829545E-1,3.189505637E-2
7.163882917E-1,-8.602891117E-3,3.641218543E-1,2.243018150E-2
7.264282917E-1,1.564191282E-2,3.408642709E-1,1.193244290E-2
7.364682917E-1,4.850958288E-2,2.869973183E-1,-1.610931195E-2
7.465082917E-1,4.162831232E-2,1.881720722E-1,-6.684390455E-2
7.565482917E-1,5.239573866E-2,1.897417456E-1,-6.364864111E-2
7.665882917E-1,3.989314660E-2,2.249610424E-1,-3.282608837E-2
7.766292917E-1,1.196031272E-2,1.977459192E-1,-5.733751692E-3
7.866692917E-1,2.161036711E-3,2.094053179E-1,-2.138433047E-6
7.967092917E-1,-7.538994774E-3,2.221328318E-1,-1.352860034E-2
8.067492917E-1,-2.164162695E-2,1.897381842E-1,-2.853304707E-2
8.167892917E-1,-2.567897737E-2,1.457046866E-1,-2.574871294E-2
8.268292917E-1,-2.524808049E-2,1.344919801E-1,-1.578662544E-2
8.368692917E-1,-2.642573044E-2,1.778753996E-1,-2.916632919E-3
8.469092917E-1,-1.347227953E-2,1.754288077E-1,-9.951827116E-3
8.569492917E-1,-7.044472732E-3,1.177804247E-1,-4.944091290E-2
8.669892917E-1,-1.740413159E-2,1.128348783E-1,-3.324331716E-2
8.770292917E-1,-2.877982520E-2,1.565932781E-1,-1.954188943E-2
8.870692917E-1,-2.461320907E-2,1.489751488E-1,-1.760967635E-2
8.971092917E-1,-4.439437017E-2,1.040002182E-1,-1.064977143E-2
9.071492917E-1,-5.338366702E-2,8.123648167E-2,1.631563995E-3
9.171892917E-1,-2.908605151E-2,9.449183196E-2,3.187915310E-3
9.272291667E-1,-3.291685134E-2,8.124962449E-2,-2.304550447E-2
9.372691667E-1,-3.895317391E-2,9.376701713E-2,-1.312762685E-2
9.473101667E-1,-2.801671997E-2,9.425044060E-2,-1.344569586E-2
9.573501667E-1,-2.670857497E-2,6.772215664E-2,-1.149359904E-2
9.673901667E-1,-2.765156515E-2,6.180669367E-2,-1.426836662E-2
9.774301667E-1,-2.893174440E-2,5.934673175E-2,-9.550577030E-3
9.874701667E-1,-3.274963424E-2,5.212221295E-2,-1.482806751E-3
9.975101667E-1,-3.951086849E-2,4.922469333E-2,3.905833233E-3
1.007550167E0,-4.387215525E-2,6.821569800E-2,5.548255052E-3
1.017590167E0,-4.077596217E-2,8.343353122E-2,8.848976344E-3
1.027630167E0,-4.244656488E-2,4.394418001E-2,9.166425094E-3
1.037670167E0,-4.352289066E-2,3.725660592E-2,9.554515593E-3
1.047710167E0,-4.295032844E-2,7.608858496E-2,1.499429904E-2
1.057750167E0,-5.295502767E-2,8.722832054E-2,5.518505350E-3
1.067790167E0,-5.263492465E-2,5.622960627E-2,4.035102320E-4
1.077830167E0,-5.289804563E-2,5.898517743E-2,-2.213844564E-3
1.087870167E0,-5.435148254E-2,6.056192517E-2,-5.792531185E-3
1.097910167E0,-5.357064307E-2,4.320583865E-2,-7.654080633E-3
1.107950167E0,-5.186841264E-2,3.407162055E-2,-2.352624666E-3
1.117991167E0,-4.159500077E-2,4.627156258E-2,2.359838691E-3
1.128031167E0,-3.018637188E-2,6.301304698E-2,3.248713212E-3
1.138071167E0,-2.203363553E-2,6.223407760E-2,2.117935102E-3
1.148111167E0,-1.568274014E-2,2.690623142E-2,6.128093228E-3
1.158151167E0,-1.122380793E-2,-5.791261792E-3,3.277978394E-3
1.168191167E0,-4.753512330E-3,-1.864915900E-2,-3.248142311E-4
1.178231167E0,1.986149233E-3,-1.961588673E-2,-2.663069870E-3
1.188271167E0,1.597335562E-2,-1.791062206E-2,-5.292485002E-5
1.198311167E0,3.001806885E-2,2.064182982E-2,7.411649451E-3
1.208351167E0,4.255767167E-2,8.311560377E-3,1.540347841E-2
1.218391167E0,4.473027959E-2,-7.990980521E-3,2.660180442E-2
1.228431167E0,4.091769084E-2,-1.121851802E-2,3.189071640E-2
1.238471167E0,3.788008913E-2,-7.658768445E-4,3.402843326E-2
1.248511167E0,3.650234267E-2,1.424956042E-2,3.419093788E-2
1.258551167E0,3.766401485E-2,4.959530011E-2,2.925503440E-2
1.268591167E0,4.338709265E-2,8.058858663E-2,1.911587641E-2
1.278631167E0,4.995577782E-2,7.435891777E-2,1.085768174E-2
1.288672167E0,5.644324422E-2,4.443543032E-2,-9.275156073E-3
1.298712167E0,5.732715130E-2,4.955429211E-2,-1.903084852E-2
1.308752167E0,5.522105843E-2,6.055670604E-2,-2.439882420E-2
1.318792167E0,5.388495326E-2,6.923408061E-2,-2.506647818E-2
1.328832167E0,4.722225294E-2,8.342932910E-2,-2.062990703E-2
1.338872167E0,3.915500641E-2,9.496746957E-2,-1.276133116E-2
