"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-3.748624993E-3,-8.607101440E0,2.938389587E-1,3.913461914E0
6.291375001E-3,-8.337512054E0,4.685256958E-2,3.421135712E0
1.633237500E-2,-7.675289154E0,1.401086426E-1,4.200564880E0
2.637237500E-2,-7.967182159E0,2.682421875E-1,4.406237183E0
3.641337500E-2,-8.414901123E0,1.459465027E-1,4.719984741E0
4.645337499E-2,-8.746162262E0,1.600172424E-1,5.001249847E0
5.649437499E-2,-8.763975220E0,4.790039063E-2,5.121749268E0
6.653437499E-2,-8.777746582E0,2.035766602E-2,5.116061096E0
7.657537499E-2,-8.764573975E0,5.044509888E-2,4.767136688E0
8.661537501E-2,-8.709638214E0,3.742218018E-3,4.458328857E0
9.665637498E-2,-8.621321869E0,-9.580078125E-3,4.264182587E0
1.066963750E-1,-8.513396301E0,-2.978805542E-2,4.163292389E0
1.167373750E-1,-8.446934509E0,-9.340576172E-2,4.251608734E0
1.267773750E-1,-8.507109375E0,-9.714797974E-2,4.428989868E0
1.368183750E-1,-8.629105682E0,-8.232879639E-2,4.541406097E0
1.468583750E-1,-8.671168213E0,-2.469863892E-2,4.636757812E0
1.568993750E-1,-8.712182922E0,3.158432007E-2,4.718787231E0
1.669393750E-1,-8.692573700E0,8.412506104E-2,4.717889099E0
1.769803750E-1,-8.597221985E0,9.355545044E-2,4.610262909E0
1.870203750E-1,-8.481362915E0,9.520202637E-2,4.492158508E0
1.970603750E-1,-8.452173615E0,5.433700562E-2,4.410877533E0
2.071013750E-1,-8.468040619E0,4.879852295E-2,4.493206329E0
2.171413750E-1,-8.522078247E0,4.011657715E-2,4.603526917E0
2.271823750E-1,-8.552315369E0,3.397933960E-2,4.545896759E0
2.372223750E-1,-8.468190308E0,2.215393066E-2,4.479734344E0
2.472633750E-1,-8.522227936E0,1.766326904E-2,4.439318390E0
2.573033750E-1,-8.469088440E0,1.811233521E-2,4.345164185E0
2.673443750E-1,-8.354127502E0,2.260299683E-2,4.251758423E0
2.773843750E-1,-8.280630341E0,3.442840576E-2,4.224515076E0
2.874253750E-1,-8.261619873E0,3.023712158E-2,4.205504608E0
2.974653750E-1,-8.288713531E0,9.235794067E-2,4.285288696E0
3.075063750E-1,-8.569828949E0,7.738906860E-2,4.247567139E0
3.175463750E-1,-8.896749115E0,1.672023010E-1,4.464316406E0
3.275880833E-1,-8.895701294E0,1.278341675E-1,4.644242249E0
3.376280833E-1,-8.831185455E0,1.297801208E-1,4.486919403E0
3.476690833E-1,-8.730295258E0,1.709445190E-1,4.198918304E0
3.577090833E-1,-8.627908173E0,1.733395386E-1,4.005071411E0
3.677500833E-1,-8.406518555E0,1.838177490E-1,3.754043427E0
3.777900833E-1,-8.218659210E0,2.401007080E-1,3.489992523E0
3.878300833E-1,-8.259075165E0,2.234852600E-1,3.341800690E0
3.978710833E-1,-8.182135162E0,2.380050659E-1,3.345842285E0
4.079110833E-1,-8.373137970E0,1.899549866E-1,3.333567810E0
4.179520833E-1,-8.553512878E0,7.918533325E-2,3.214265900E0
4.279920833E-1,-8.657546539E0,1.432521057E-1,2.762655029E0
4.380330833E-1,-8.937015381E0,1.166075134E-1,2.212548981E0
4.480730833E-1,-9.360784149E0,7.050338745E-2,1.897304535E0
4.581140833E-1,-9.812095642E0,-1.721420288E-2,2.045496368E0
4.681540833E-1,-1.007509872E1,-1.534309387E-1,2.133962402E0
4.781950833E-1,-9.967622223E0,-1.666035461E-1,2.146236877E0
4.882350833E-1,-9.933942261E0,-1.673519897E-1,2.065704346E0
4.982760833E-1,-1.021251297E1,-1.722917175E-1,2.001038818E0
5.083160833E-1,-1.029514114E1,-1.770817566E-1,1.999841309E0
5.183570833E-1,-1.013662079E1,-1.811233521E-1,1.647174683E0
5.283970833E-1,-9.964029694E0,-7.020401001E-2,1.327140198E0
