"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.781375010E-3,-1.799412519E-1,6.634669751E-2,8.612924069E-2
1.382237498E-2,-1.923736930E-1,1.902329475E-1,6.600639224E-2
2.386237500E-2,-1.887722611E-1,2.870069146E-1,5.644734576E-2
3.390337501E-2,-1.379628778E-1,3.242482841E-1,7.756408304E-2
4.394337500E-2,-6.571416557E-2,2.784820795E-1,1.111796424E-1
5.398437500E-2,1.280050608E-3,1.628865153E-1,1.355523616E-1
6.402437499E-2,4.023559764E-2,5.749813095E-2,1.458912194E-1
7.406537500E-2,4.137889296E-2,2.180671133E-2,1.402839422E-1
8.410537499E-2,2.084888518E-2,1.878850162E-2,1.241552830E-1
9.414537498E-2,-7.227757946E-3,2.371535078E-2,1.077816412E-1
1.041863750E-1,-4.671546444E-2,3.755026311E-2,8.988089859E-2
1.142263750E-1,-8.149261773E-2,6.137383729E-2,7.993105799E-2
1.242673750E-1,-9.779787809E-2,7.282478362E-2,7.939834148E-2
1.343073750E-1,-1.095829010E-1,8.612380922E-2,8.048997074E-2
1.443483750E-1,-1.201269180E-1,9.532561153E-2,8.258830011E-2
1.543883750E-1,-1.143334806E-1,9.094072133E-2,8.024578542E-2
1.644293750E-1,-9.753282368E-2,9.178964794E-2,7.990921289E-2
1.744693750E-1,-7.326103747E-2,1.062322259E-1,7.604656368E-2
1.845103750E-1,-5.673407763E-2,1.268453449E-1,6.756552309E-2
1.945503750E-1,-4.640660435E-2,1.246826053E-1,6.656870246E-2
2.045913750E-1,-4.060881585E-2,1.010774225E-1,6.517580152E-2
2.146313750E-1,-4.146795720E-2,8.168640733E-2,6.991250068E-2
2.246723750E-1,-4.874356091E-2,8.082145452E-2,7.145056874E-2
2.347123750E-1,-5.706726760E-2,9.306560457E-2,6.972004473E-2
2.447533750E-1,-5.807106569E-2,1.277034283E-1,6.938185543E-2
2.547933750E-1,-5.714881048E-2,2.091317028E-1,6.371172518E-2
2.648343750E-1,-5.569186434E-2,3.195135593E-1,5.421261117E-2
2.748743750E-1,-5.991217867E-2,4.456771016E-1,4.167764261E-2
2.849153750E-1,-6.325192004E-2,5.820244551E-1,3.306016326E-2
2.949553750E-1,-5.202003568E-2,7.236180902E-1,2.304907329E-2
3.049953750E-1,-4.379779473E-2,7.675769925E-1,3.719551861E-2
3.150363750E-1,-2.198011428E-2,6.984304190E-1,5.375798419E-2
3.250770833E-1,-4.997834098E-3,6.900610924E-1,6.145969778E-2
3.351180833E-1,1.548498403E-4,7.810232639E-1,6.747978181E-2
3.451580833E-1,7.166846190E-4,9.196344614E-1,6.568827480E-2
3.551990833E-1,3.498889040E-3,1.078733563E0,6.637962908E-2
3.652390833E-1,8.991466835E-3,1.228976369E0,4.821428284E-2
3.752800833E-1,2.879245905E-3,1.384543538E0,5.954179913E-3
