"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.158583327E-3,-1.002615051E1,-3.143463135E-2,8.406518555E-1
1.119758331E-2,-9.494007111E0,7.604187012E-2,1.192570038E0
2.123758331E-2,-9.406888275E0,7.649093628E-2,1.608554993E0
3.127758333E-2,-9.621541901E0,1.676513672E-2,1.332379303E0
4.131758332E-2,-9.575437775E0,-1.088237000E-1,1.249601440E0
5.135758332E-2,-9.508526917E0,-1.570234680E-1,1.284029846E0
6.139758331E-2,-9.462871857E0,-4.520599365E-2,1.195863190E0
7.143758330E-2,-9.467063141E0,-1.960922241E-2,1.047072601E0
8.147658332E-2,-9.593400421E0,-7.634124756E-3,1.072070618E0
9.151658331E-2,-9.722881165E0,4.490661621E-2,1.066382446E0
1.015565833E-1,-9.829459534E0,5.568420410E-2,1.117725677E0
1.115965833E-1,-9.884544983E0,5.179229736E-2,1.207239532E0
1.216365833E-1,-9.853709106E0,9.160949707E-2,1.394051056E0
1.316765833E-1,-9.889185333E0,1.755848694E-1,1.424288177E0
1.417165833E-1,-9.749376068E0,4.206253052E-2,1.085093536E0
1.517565833E-1,-9.642348633E0,7.783813477E-3,1.230740662E0
1.617955833E-1,-9.638456726E0,4.445755005E-2,1.208437042E0
1.718355833E-1,-9.614207153E0,-5.852828979E-2,1.149908752E0
1.818755833E-1,-9.580527191E0,-2.859054565E-2,1.348845062E0
1.919155833E-1,-9.562564545E0,-4.026626587E-2,1.373094635E0
2.019555833E-1,-9.569300537E0,-7.454498291E-2,1.352886658E0
2.119955833E-1,-9.575437775E0,-6.825805664E-2,1.318757629E0
2.220355833E-1,-9.493707733E0,-2.484832764E-2,1.360221405E0
2.320745833E-1,-9.574839020E0,7.409591675E-2,1.401385803E0
2.421145833E-1,-9.739197235E0,1.706451416E-2,1.195863190E0
2.521545833E-1,-9.725874939E0,-1.227447510E-2,1.262025604E0
2.621945833E-1,-9.731563110E0,4.730163574E-2,1.331630859E0
2.722345833E-1,-9.716444550E0,5.867797852E-2,1.239572296E0
2.822745833E-1,-9.684261475E0,5.044509888E-2,1.169667664E0
2.923145833E-1,-9.643396454E0,2.514770508E-2,1.262324982E0
3.023535833E-1,-9.598639526E0,1.332229614E-2,1.323547668E0
3.123935833E-1,-9.602082367E0,4.490661621E-4,1.360969849E0
3.224335833E-1,-9.636510773E0,8.532257080E-3,1.383722534E0
3.324735833E-1,-9.578880615E0,3.068618774E-2,1.395398254E0
3.425135833E-1,-9.704469452E0,6.855743408E-2,1.376088409E0
3.525535833E-1,-9.875563660E0,-1.103205872E-1,1.127006378E0
3.625935833E-1,-9.829908600E0,-9.819580078E-2,1.462907867E0
3.726325833E-1,-9.658515015E0,2.215393066E-2,1.410965881E0
3.826725833E-1,-9.640103302E0,-1.407073975E-2,1.246008911E0
3.927125833E-1,-9.615105286E0,5.388793945E-2,1.347497864E0
4.027525833E-1,-9.671388245E0,8.098159790E-2,1.355281677E0
4.127925833E-1,-9.724078674E0,1.264869690E-1,1.318907318E0
4.228325833E-1,-9.660610657E0,1.234931946E-1,1.298699341E0
4.328725833E-1,-9.596394196E0,8.262817383E-2,1.322200470E0
4.429125833E-1,-9.599986725E0,7.903564453E-2,1.334474945E0
4.529515833E-1,-9.617949371E0,2.784210205E-2,1.296903076E0
4.629915833E-1,-9.658365326E0,-2.634521484E-2,1.308279419E0
4.730315833E-1,-9.652228088E0,-5.553451538E-2,1.414408722E0
4.830715833E-1,-9.640552368E0,-6.032455444E-2,1.407073975E0
4.931115833E-1,-9.616153107E0,-3.143463135E-2,1.441951447E0
5.031515833E-1,-9.588011627E0,-7.484436035E-3,1.424288177E0
5.131915833E-1,-9.614805908E0,1.197509766E-3,1.437161407E0
5.232305833E-1,-9.617500305E0,2.634521484E-2,1.434616699E0
5.332705833E-1,-9.675729218E0,1.077758789E-2,1.379082184E0
5.433105833E-1,-9.695338440E0,2.784210205E-2,1.285975800E0
5.533505833E-1,-9.687554626E0,2.110610962E-2,1.263073425E0
5.633905833E-1,-9.652078400E0,2.559677124E-2,1.285526733E0
5.734305833E-1,-9.642797699E0,3.817062378E-2,1.312470703E0
5.834705833E-1,-9.649833069E0,4.849914551E-2,1.374591522E0
5.935095833E-1,-9.675878906E0,4.026626587E-2,1.370400238E0
6.035495833E-1,-9.696535950E0,2.574645996E-2,1.369801483E0
6.135895833E-1,-9.674382019E0,6.301895142E-2,1.375489655E0
6.236295833E-1,-9.655670929E0,6.152206421E-2,1.370849304E0
6.336695833E-1,-9.637857971E0,4.041595459E-2,1.403032379E0
6.437095833E-1,-9.640702057E0,1.137634277E-2,1.423689423E0
6.537495833E-1,-9.643246765E0,-1.631607056E-2,1.420396271E0
6.637885833E-1,-9.622140656E0,-2.739303589E-2,1.420246582E0
6.738285833E-1,-9.628726959E0,7.933502197E-3,1.397942963E0
6.838685833E-1,-9.657317505E0,4.490661621E-4,1.390757904E0
6.939085833E-1,-9.672436066E0,-1.736389160E-2,1.423839111E0
7.039485833E-1,-9.659413147E0,1.107696533E-2,1.407523041E0
7.139885833E-1,-9.633067932E0,2.814147949E-2,1.362616425E0
7.240285833E-1,-9.617649994E0,5.448669434E-2,1.354982300E0
7.340675833E-1,-9.637708282E0,6.885681152E-2,1.318158875E0
7.441075833E-1,-9.692194977E0,8.322692871E-2,1.351090393E0
7.541475833E-1,-9.688003693E0,7.843688965E-2,1.376986542E0
7.641875833E-1,-9.604776764E0,6.481521606E-2,1.370250549E0
7.742275833E-1,-9.582922211E0,5.972579956E-2,1.408570862E0
7.842675833E-1,-9.644144897E0,5.882766724E-2,1.402882690E0
7.943075833E-1,-9.729467468E0,3.981719971E-2,1.394350433E0
8.043475833E-1,-9.743388519E0,5.583389282E-2,1.423090668E0
8.143865833E-1,-9.642498322E0,7.514373779E-2,1.412612457E0
8.244265833E-1,-9.554780731E0,6.840774536E-2,1.330283661E0
8.344665833E-1,-9.552385712E0,7.454498291E-2,1.315614166E0
8.445065833E-1,-9.596244507E0,5.912704468E-2,1.287322998E0
8.545465833E-1,-9.702224121E0,7.828720093E-2,1.339264984E0
8.645865833E-1,-9.679621124E0,6.601272583E-2,1.348545685E0
8.746265833E-1,-9.587412872E0,3.248245239E-2,1.382674713E0
8.846653333E-1,-9.561965790E0,3.143463135E-2,1.398392029E0
8.947053333E-1,-9.543105011E0,2.604583740E-2,1.403331757E0
9.047453333E-1,-9.579179993E0,2.469863892E-2,1.414857788E0
9.147853333E-1,-9.666298828E0,3.023712158E-2,1.434616699E0
9.248253333E-1,-9.743089142E0,1.706451416E-2,1.378782806E0
9.348653333E-1,-9.703571320E0,4.131408691E-2,1.365310822E0
9.449053333E-1,-9.682614899E0,7.274871826E-2,1.386416931E0
9.549443333E-1,-9.690997467E0,9.220825195E-2,1.315165100E0
9.649843333E-1,-9.692793732E0,7.903564453E-2,1.337768097E0
9.750243333E-1,-9.644593964E0,6.451583862E-2,1.367256775E0
9.850643333E-1,-9.594897308E0,5.852828979E-2,1.363813934E0
9.951043333E-1,-9.598639526E0,3.981719971E-2,1.356778564E0
1.005144333E0,-9.590706024E0,4.715194702E-2,1.374142456E0
1.015184333E0,-9.608219604E0,7.125183105E-2,1.377136230E0
1.025223333E0,-9.696985016E0,2.035766602E-2,1.348695374E0
1.035263333E0,-9.721234589E0,2.529739380E-2,1.338516541E0
1.045303333E0,-9.630972290E0,1.541793823E-2,1.286574554E0
1.055343333E0,-9.563612366E0,6.556365967E-2,1.309177551E0
1.065383333E0,-9.616302795E0,8.217910767E-2,1.317410431E0
1.075423333E0,-9.707463226E0,8.262817383E-2,1.283281403E0
1.085463333E0,-9.691745911E0,8.861572266E-2,1.257085876E0
1.095502333E0,-9.593999176E0,8.262817383E-2,1.295855255E0
1.105542333E0,-9.573641510E0,6.421646118E-2,1.338666229E0
1.115582333E0,-9.600435791E0,6.541397095E-2,1.374741211E0
1.125622333E0,-9.662107544E0,4.894821167E-2,1.348246307E0
1.135662333E0,-9.747879181E0,2.544708252E-2,1.329086151E0
1.145702333E0,-9.762698364E0,1.975891113E-2,1.299298096E0
1.155742333E0,-9.719288635E0,3.832031250E-2,1.332079926E0
1.165781333E0,-9.641450500E0,6.481521606E-2,1.282532959E0
1.175821333E0,-9.503587189E0,8.053253174E-2,1.246757355E0
1.185861333E0,-9.520951080E0,9.969268799E-2,1.231938171E0
1.195901333E0,-9.560618591E0,1.008901978E-1,1.212029572E0
1.205941333E0,-9.623787231E0,1.504371643E-1,1.147813110E0
1.215981333E0,-9.679920502E0,2.387535095E-1,1.160087585E0
1.226021333E0,-9.710606689E0,9.789642334E-2,1.148262177E0
1.236061333E0,-9.749675446E0,1.451980591E-2,1.137783966E0
