"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.668583318E-3,-3.876115382E-2,-3.989097103E-2,3.022330254E-2
1.370758333E-2,1.089374907E-2,2.135614306E-2,1.512690913E-2
2.374758333E-2,2.795635909E-2,1.278017648E-2,1.518936083E-2
3.378758332E-2,3.770992160E-2,-1.501949877E-2,9.042252786E-3
4.382758331E-2,4.045613855E-2,-2.497197501E-2,1.519840304E-2
5.386758331E-2,3.272338212E-2,-2.501819516E-3,1.520905551E-2
6.390758333E-2,1.202668063E-2,1.030449010E-2,1.149170287E-2
7.394758333E-2,-4.251092207E-3,1.544385869E-2,1.381717529E-2
8.398658331E-2,-2.100451663E-2,2.158820443E-2,1.816118509E-2
9.402658331E-2,-3.373255953E-2,1.355717517E-2,1.889275573E-2
1.040665833E-1,-3.404841572E-2,-8.037543856E-3,2.513480559E-2
1.141065833E-1,-2.274596319E-2,-4.343361780E-2,1.898263581E-2
1.241465833E-1,1.378999837E-2,-5.936222523E-2,2.053634636E-2
1.341865833E-1,6.482816301E-3,-9.557322413E-2,2.891039941E-3
1.442265833E-1,4.182899371E-3,-8.218801767E-2,2.677849028E-3
1.542665833E-1,4.240157083E-3,-6.308569759E-2,5.360451061E-3
1.643055833E-1,-1.068550628E-2,-6.427831948E-2,5.230955430E-4
1.743455833E-1,-9.700668976E-3,-5.288531631E-2,2.517536748E-3
1.843855833E-1,-2.464928897E-3,-4.433051497E-2,-1.268707798E-3
1.944255833E-1,-1.729630167E-3,-2.694007382E-2,-5.225898698E-3
2.044655833E-1,-4.507588223E-3,-9.299338795E-3,-1.489755581E-3
2.145055833E-1,-1.090024039E-2,1.441397984E-2,-2.290568314E-3
2.245455833E-1,3.028936218E-3,3.336969763E-2,-1.904658740E-3
2.345845833E-1,5.693162791E-3,1.983810449E-3,5.856631324E-4
2.446245833E-1,4.763164092E-3,-3.317118436E-2,-3.091105958E-3
2.546645833E-1,9.063370526E-3,-3.398957103E-2,4.773741588E-3
2.647045833E-1,8.146736771E-3,-3.689733148E-2,3.104615724E-3
2.747445833E-1,-9.948301595E-4,-3.901667520E-2,4.365888424E-3
2.847845833E-1,-1.072495896E-2,-4.042410105E-2,2.392617986E-3
2.948245833E-1,-1.342566963E-2,-3.696731851E-2,-1.856721938E-3
3.048635833E-1,-1.114014536E-2,-2.158729732E-2,-7.136172615E-3
3.149035833E-1,-2.453218447E-3,4.446988925E-3,-3.413354047E-3
3.249435833E-1,3.802588210E-3,1.668094285E-2,-2.660595346E-3
3.349835833E-1,2.336749993E-2,3.410280868E-2,9.732878534E-4
3.450235833E-1,1.246584766E-2,-2.279104292E-2,3.825931111E-3
3.550635833E-1,1.335161552E-2,-6.236961484E-2,6.664860994E-3
3.651035833E-1,2.021319233E-2,-4.537595063E-2,7.120640017E-3
3.751425833E-1,2.211556071E-3,-3.939928487E-2,9.846119210E-3
3.851825833E-1,-8.542000316E-3,-2.506328747E-2,1.098542754E-2
3.952225833E-1,-1.340466551E-2,-7.309856825E-3,1.114921179E-2
4.052625833E-1,-1.287360489E-2,-1.556790806E-2,1.438749302E-2
4.153025833E-1,-6.041557062E-4,-2.070061862E-2,9.779158980E-3
4.253425833E-1,3.948004451E-3,-2.754255757E-2,3.227124223E-3
4.353825833E-1,7.862584665E-3,-3.337993845E-2,-1.931418665E-3
4.454225833E-1,5.385054275E-3,-2.361476980E-2,-6.496073212E-3
4.554615833E-1,-5.274248309E-3,-2.214790136E-2,-3.390028607E-3
4.655015833E-1,-1.135324687E-2,-2.113570273E-2,-2.272593090E-3
4.755415833E-1,-9.368659928E-3,-2.449341677E-2,3.045478952E-4
4.855815833E-1,-7.777673192E-3,-3.071078658E-2,1.271547051E-3
4.956215833E-1,-4.676687531E-3,-2.854936570E-2,8.803287055E-4
5.056615833E-1,-5.031664856E-3,-1.157577429E-2,6.004525349E-3
5.157015833E-1,1.551403082E-3,6.153155118E-3,9.462374263E-3
5.257405833E-1,6.381327286E-3,1.074768603E-2,1.081526652E-2
5.357805833E-1,5.147484597E-3,-2.404868137E-3,7.865549065E-3
5.458205833E-1,-8.598377462E-4,-1.049590763E-2,5.199179519E-3
5.558605833E-1,-5.144331139E-3,-1.256704796E-2,4.020997323E-3
5.659005833E-1,-7.831187919E-3,-3.222126281E-3,3.954421263E-3
5.759405833E-1,-8.015478030E-3,-1.708385302E-3,4.409288988E-3
5.859805833E-1,-7.023454178E-3,-3.724343143E-3,6.798809394E-3
5.960195833E-1,-4.775479902E-3,-1.660232432E-2,7.724257186E-3
6.060595833E-1,-1.061628805E-3,-2.808958851E-2,7.122813724E-3
6.160995833E-1,-1.447520917E-3,-2.914792858E-2,5.934777204E-3
6.261395833E-1,-4.352307413E-3,-1.759349927E-2,4.938456230E-3
6.361795833E-1,-6.454607006E-3,-5.324581172E-3,2.110179281E-3
6.462195833E-1,-6.784834433E-3,1.476810314E-3,3.197948914E-3
6.562595833E-1,-4.182393663E-3,1.626479905E-3,2.947878093E-3
6.662985833E-1,-2.799680457E-3,1.778013771E-3,7.285368629E-3
6.763385833E-1,-1.530684531E-3,-3.381860908E-3,7.702952251E-3
6.863785833E-1,4.351413343E-3,-8.472371846E-3,8.578190580E-3
6.964185833E-1,1.124713570E-2,-1.436967589E-2,1.223391201E-2
7.064585833E-1,7.839644328E-3,-1.066475175E-2,9.500185028E-3
7.164985833E-1,3.339700866E-3,1.948511577E-3,1.020991802E-2
7.265385833E-1,-2.549012192E-3,-1.563814003E-4,8.974771947E-3
7.365775833E-1,-4.534665029E-3,-9.620190598E-3,9.793694131E-3
7.466175833E-1,-4.286481999E-3,-1.149419136E-2,7.824542001E-3
7.566575833E-1,-6.563218310E-3,-5.172912497E-3,7.747843862E-3
7.666975833E-1,-1.042431407E-2,1.397721097E-2,8.438382298E-3
7.767375833E-1,-1.446166635E-2,2.837399393E-2,1.158304326E-2
7.867775833E-1,-1.501473133E-2,1.556127332E-2,1.340454258E-2
7.968175833E-1,-1.081492752E-2,-3.529596608E-3,1.421787217E-2
8.068575833E-1,-6.998682860E-3,-3.712414065E-3,1.436418574E-2
8.168965833E-1,-8.611492813E-3,8.207362145E-3,1.311409753E-2
8.269365833E-1,-1.233564317E-2,2.424416319E-2,9.729225188E-3
8.369765833E-1,-2.022445947E-2,2.424895763E-2,1.028902177E-2
8.470165833E-1,-2.040904574E-2,5.895959679E-3,8.739849553E-3
8.570565833E-1,-1.965563744E-2,9.841052815E-6,1.147251949E-2
8.670965833E-1,-1.433965657E-2,5.835108459E-3,1.045227982E-2
8.771365833E-1,-1.225386839E-2,2.023881674E-2,1.070581283E-2
8.871753333E-1,-1.569708437E-2,4.336326197E-2,1.064748317E-2
8.972153333E-1,-1.665289328E-2,6.113160774E-2,1.091113593E-2
9.072553333E-1,-1.261266693E-2,5.452726781E-2,1.333685592E-2
9.172953333E-1,-1.075830776E-2,2.636780031E-2,1.388919540E-2
9.273353333E-1,-1.514896750E-2,3.008629894E-3,1.349654980E-2
9.373753333E-1,-1.451460272E-2,4.611320328E-3,1.473705005E-2
9.474153333E-1,-2.041623928E-2,1.795812394E-3,1.478109602E-2
9.574543333E-1,-1.955790259E-2,9.765587747E-3,1.066384930E-2
9.674943333E-1,-1.768786088E-2,2.054357901E-2,8.648624644E-3
9.775343333E-1,-1.572990604E-2,3.347535431E-2,8.586040698E-3
9.875743333E-1,-1.528023370E-2,4.760260880E-2,8.622844703E-3
9.976143333E-1,-1.264530234E-2,5.505307019E-2,1.322212350E-2
1.007654333E0,-5.399582442E-4,7.481343299E-2,1.418003812E-2
