"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.482874999E-3,-8.819360046E0,3.483256531E-1,3.733835449E0
8.557124995E-3,-8.054300995E0,6.212081909E-1,4.283941498E0
1.859712499E-2,-8.521329803E0,3.682342529E-1,5.008135529E0
2.863712498E-2,-8.396489410E0,4.023632813E-1,4.999902649E0
3.867712501E-2,-8.482710114E0,4.014651489E-1,5.089117126E0
4.871612499E-2,-8.556506653E0,2.624043274E-1,5.068609772E0
5.875612498E-2,-8.846154327E0,1.468446350E-1,5.029690704E0
6.879612498E-2,-8.676407318E0,6.945556641E-2,4.974156189E0
7.883612500E-2,-8.374036102E0,1.002914429E-1,4.865033112E0
8.887612500E-2,-8.259973297E0,1.116677856E-1,4.678820343E0
9.891512498E-2,-8.224946136E0,1.544787598E-1,4.604874115E0
1.089551250E-1,-8.270451508E0,2.086660767E-1,4.604125671E0
1.189951250E-1,-8.385113068E0,2.737806702E-1,4.724924469E0
1.290351250E-1,-8.509803772E0,3.040177917E-1,4.775070190E0
1.390751250E-1,-8.629105682E0,3.195854187E-1,4.791386261E0
1.491141250E-1,-8.718769226E0,3.477268982E-1,4.763843536E0
1.591541250E-1,-8.747958527E0,3.306623840E-1,4.688250732E0
1.691941250E-1,-8.587192841E0,3.573069763E-1,4.580624542E0
1.792341250E-1,-8.471633148E0,3.713777161E-1,4.655468903E0
1.892741250E-1,-8.378077698E0,3.342549133E-1,4.733007660E0
1.993131250E-1,-8.292904816E0,3.508703613E-1,4.756508789E0
2.093531250E-1,-8.307723999E0,3.451821899E-1,4.805606689E0
2.193931250E-1,-8.375682678E0,3.162922668E-1,4.824916534E0
2.294331250E-1,-8.403674469E0,2.763253784E-1,4.749174042E0
2.394731250E-1,-8.505313110E0,2.847079468E-1,4.779860229E0
2.495121250E-1,-8.668773193E0,2.492317200E-1,4.775369568E0
2.595521250E-1,-8.754694519E0,2.627037048E-1,4.759951630E0
2.695921250E-1,-8.552165680E0,2.682421875E-1,4.746928711E0
2.796321250E-1,-8.247698822E0,2.755769348E-1,4.677922211E0
2.896711250E-1,-8.023764496E0,2.761756897E-1,4.582570496E0
2.997111250E-1,-7.895181885E0,2.532733154E-1,4.550686798E0
3.097507500E-1,-7.690108337E0,2.921923828E-1,4.569248199E0
3.197907500E-1,-7.730673981E0,4.237687683E-1,4.590354309E0
3.298307500E-1,-7.832013245E0,4.177812195E-1,4.497547302E0
3.398697500E-1,-7.776029663E0,3.249742126E-1,4.325105896E0
3.499097500E-1,-7.456294556E0,3.718267822E-1,4.269571381E0
3.599497500E-1,-7.330855408E0,3.002755737E-1,4.147575073E0
3.699897500E-1,-6.985523529E0,8.433462524E-1,3.695515137E0
3.800297500E-1,-7.763006744E0,1.008003845E0,3.467688904E0
3.900687500E-1,-8.534951477E0,5.110372925E-1,3.014730835E0
4.001087500E-1,-8.711434479E0,4.854405212E-1,2.134411469E0
4.101487500E-1,-9.461075592E0,2.749781799E-1,1.807491302E0
4.201887500E-1,-9.848470001E0,-3.802093506E-2,1.972747650E0
4.302287500E-1,-1.021101608E1,-3.248245239E-2,2.288141785E0
4.402677500E-1,-1.070543793E1,3.228785706E-1,2.013163605E0
4.503077500E-1,-1.118998032E1,3.146456909E-1,1.037043457E0
4.603477500E-1,-1.107516907E1,-8.936416626E-2,4.132905579E-1
4.703877500E-1,-1.078103073E1,-1.695973206E-1,1.904040527E-1
4.804277500E-1,-1.062056442E1,-3.891906738E-3,-1.408570862E-1
4.904667500E-1,-1.032313293E1,1.657054138E-1,-2.990780640E-1
5.005067500E-1,-1.033705399E1,1.372645569E-1,-4.400848389E-1
5.105467500E-1,-1.062355820E1,1.474433899E-1,-7.514373779E-1
5.205867500E-1,-1.019155655E1,3.535647583E-1,-7.352709961E-1
5.306267500E-1,-9.661359100E0,2.640509033E-1,-3.234773254E-1
5.406657500E-1,-9.444759521E0,1.990859985E-2,-1.381626892E-1
5.507057500E-1,-9.191635895E0,-1.646575928E-2,-4.445755005E-1
5.607457500E-1,-9.231752472E0,1.645079041E-1,-3.481759644E-1
5.707857500E-1,-9.217082977E0,3.589535522E-1,-5.104385376E-1
5.808257500E-1,-9.548044739E0,4.243675232E-1,-8.098159790E-1
5.908647500E-1,-9.750723267E0,4.544549561E-1,-8.249345398E-1
6.009047500E-1,-1.027493317E1,3.841012573E-1,-7.698490906E-1
6.109447500E-1,-1.057296341E1,2.981799316E-1,-8.264314270E-1
6.209847500E-1,-1.051817734E1,3.218307495E-1,-6.176156616E-1
6.310247500E-1,-1.049437683E1,2.850073242E-1,-4.041595459E-1
6.410637500E-1,-1.011790970E1,2.953358459E-1,-3.811074829E-1
6.511037500E-1,-1.037193146E1,2.890489197E-1,-2.213896179E-1
6.611437500E-1,-1.023900787E1,2.998265076E-1,-2.210902405E-1
6.711837500E-1,-1.027508286E1,2.140548706E-1,-5.846841431E-1
6.812237500E-1,-1.026819717E1,1.022373962E-1,-5.123844910E-1
6.912627500E-1,-1.024604324E1,1.469943237E-1,-4.640350342E-1
7.013027500E-1,-1.002180954E1,7.110214233E-2,-6.213578796E-1
7.113427500E-1,-9.895472260E0,5.748046875E-2,-2.773731995E-1
7.213827500E-1,-1.012045441E1,8.217910767E-2,-1.293310547E-1
7.314227500E-1,-1.045485901E1,-2.293231201E-1,-1.401086426E-1
7.414617500E-1,-1.062834824E1,-2.775228882E-1,-3.748205566E-1
7.515017500E-1,-1.046728317E1,3.556604004E-1,-2.170486450E-2
7.615417500E-1,-1.026295807E1,1.129102020E0,3.080593872E-1
7.715817500E-1,-1.005219635E1,8.394543457E-1,2.134561157E-1
7.816217500E-1,-1.002165985E1,1.254391479E-1,1.044976959E0
7.916607500E-1,-8.641080780E0,-4.629872131E-1,1.462159424E0
8.017007500E-1,-8.038583679E0,6.396199036E-1,9.134005737E-1
8.117407500E-1,-7.909402313E0,9.840536499E-1,1.091829529E0
8.217807500E-1,-7.782166901E0,5.357359314E-1,7.634124756E-1
8.318197500E-1,-8.549620972E0,2.044747925E-1,7.188052368E-1
8.418597500E-1,-9.029972076E0,1.836680603E-1,6.176156616E-1
8.518997500E-1,-9.312734070E0,2.447410583E-1,4.020639038E-1
8.619397500E-1,-9.633816376E0,2.059716797E-1,3.673361206E-1
8.719797500E-1,-9.827214203E0,1.216969299E-1,3.074606323E-1
8.820187500E-1,-9.881401520E0,1.459465027E-1,2.697390747E-1
8.920587500E-1,-9.992470551E0,1.556762695E-1,2.323168945E-1
9.020987500E-1,-1.003153931E1,2.131567383E-1,1.878593445E-1
9.121387500E-1,-1.002525238E1,2.604583740E-1,1.564247131E-1
9.221787500E-1,-9.979896698E0,3.077600098E-1,1.350192261E-1
9.322177500E-1,-9.959089966E0,3.511697388E-1,9.340576172E-2
9.422577500E-1,-9.949509888E0,3.493734741E-1,7.679031372E-2
9.522977500E-1,-9.988279266E0,3.183879089E-1,1.106199646E-1
9.623377500E-1,-9.978998566E0,2.475851440E-1,1.011895752E-1
9.723777500E-1,-9.975705414E0,2.234852600E-1,1.004411316E-1
9.824167500E-1,-9.979896698E0,1.989363098E-1,7.723937988E-2
9.924567500E-1,-9.947264557E0,1.933978271E-1,3.742218018E-2
1.002496750E0,-9.921667786E0,2.089654541E-1,6.137237549E-3
1.012536750E0,-9.905800781E0,2.628533936E-1,2.245330811E-3
1.022576750E0,-9.820328522E0,3.263214111E-1,-7.933502197E-3
1.032615750E0,-9.755213928E0,3.755690002E-1,4.760101318E-2
1.042655750E0,-9.650431824E0,4.526586914E-1,1.185534668E-1
1.052695750E0,-9.553433533E0,4.854405212E-1,1.676513672E-1
1.062735750E0,-9.557774506E0,5.292993164E-1,1.945953369E-1
1.072775750E0,-9.501192169E0,5.126838684E-1,1.550775146E-1
1.082814750E0,-9.454040222E0,4.715194702E-1,1.772314453E-1
1.092854750E0,-9.476792908E0,4.010160828E-1,1.875599670E-1
1.102894750E0,-9.509275360E0,3.501219177E-1,1.799258423E-1
1.112934750E0,-9.570198669E0,3.070115662E-1,8.562194824E-2
1.122974750E0,-9.683812408E0,2.448907471E-1,3.143463135E-3
1.133013750E0,-9.791887665E0,1.839674377E-1,-9.340576172E-2
1.143053750E0,-9.885143738E0,1.628613281E-1,-2.091151428E-1
1.153093750E0,-9.964778137E0,1.230441284E-1,-3.233276367E-1
1.163133750E0,-1.002330643E1,1.067280579E-1,-4.251159668E-1
1.173173750E0,-1.003872437E1,1.675016785E-1,-5.361849976E-1
1.183212750E0,-1.004815475E1,2.071691895E-1,-6.524931335E-1
1.193252750E0,-1.008063721E1,2.462379456E-1,-7.777825928E-1
1.203292750E0,-9.991871796E0,2.775228882E-1,-8.373587036E-1
1.213332750E0,-9.845027161E0,3.141966248E-1,-8.455915833E-1
1.223372750E0,-9.798024902E0,3.378474426E-1,-8.252339172E-1
1.233411750E0,-9.767787781E0,3.576063538E-1,-8.012837219E-1
1.243451750E0,-9.655820618E0,3.526666260E-1,-7.647596741E-1
1.253491750E0,-9.564061432E0,3.537144470E-1,-7.556286621E-1
1.263531750E0,-9.502090302E0,3.487747192E-1,-7.366181946E-1
1.273571750E0,-9.467063141E0,2.984793091E-1,-6.441105652E-1
1.283610750E0,-9.516161041E0,2.643502808E-1,-5.712121582E-1
1.293650750E0,-9.578281860E0,2.619552612E-1,-5.718109131E-1
1.303691125E0,-9.690997467E0,2.459385681E-1,-5.942642212E-1
1.313731125E0,-9.826316071E0,2.261796570E-1,-6.524931335E-1
1.323771125E0,-9.912985840E0,1.842668152E-1,-7.131170654E-1
1.333810125E0,-9.953252106E0,1.553768921E-1,-7.517367554E-1
1.343850125E0,-9.838740234E0,-1.646575928E-3,-5.819897461E-1
1.353890125E0,-9.709858246E0,1.389111328E-1,-6.212081909E-2
1.363930125E0,-9.986183624E0,-5.553451538E-2,6.493496704E-1
1.373970125E0,-1.016176849E1,-4.017645264E-1,1.098864899E0
1.384009125E0,-1.010189301E1,1.490899658E-1,4.796026611E-1
1.394049125E0,-9.874515839E0,7.782316589E-1,-5.224136353E-2
1.404089125E0,-9.815388794E0,8.907975769E-1,-6.990463257E-2
1.414129125E0,-9.894873505E0,3.688330078E-1,1.158590698E-1
