"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.302124985E-3,-1.271649450E-1,6.844596565E-2,1.627773605E-2
1.734212498E-2,-7.225802541E-2,5.266353860E-2,1.889535785E-2
2.738212500E-2,-2.380797267E-2,2.810649015E-2,4.179093987E-3
3.742212499E-2,2.463359572E-2,-8.902740665E-4,-1.326192752E-3
4.746212499E-2,6.939819455E-2,-7.805282623E-2,8.757562027E-4
5.750112500E-2,8.727439493E-2,-9.851575643E-2,2.579175867E-2
6.754112500E-2,9.544113278E-2,-8.329341561E-2,2.471281961E-2
7.758112499E-2,7.905922830E-2,-4.798522219E-2,1.690443233E-2
8.762112499E-2,5.186686665E-2,2.227516472E-2,7.658423856E-3
9.766012500E-2,2.655485272E-2,8.709251136E-2,4.825619515E-3
1.077001250E-1,2.065949887E-2,1.074391976E-1,6.613338366E-3
1.177401250E-1,2.455197647E-2,7.872260362E-2,1.204964891E-2
1.277801250E-1,2.952747978E-2,5.330679566E-2,2.221966162E-2
1.378201250E-1,3.926932439E-2,2.013099939E-2,3.536316007E-2
1.478591250E-1,3.303188831E-2,-4.726299644E-2,3.911458701E-2
1.578991250E-1,4.181331955E-3,-5.183404312E-2,4.171409830E-2
1.679391250E-1,-2.806848288E-2,-4.481954500E-2,3.499467671E-2
1.779791250E-1,-4.420031607E-2,-2.483651787E-2,3.156265989E-2
1.880191250E-1,-4.823948815E-2,1.819408312E-2,2.624076791E-2
1.980581250E-1,-4.443329573E-2,7.495110482E-2,1.913199201E-2
2.080981250E-1,-3.039287031E-2,1.270630509E-1,1.900640316E-2
2.181381250E-1,-1.124740578E-2,1.605616212E-1,2.061708272E-2
2.281781250E-1,2.613766352E-3,1.893357486E-1,1.199559309E-2
2.382181250E-1,1.713438518E-2,1.740119159E-1,9.580905549E-3
2.482571250E-1,2.933664620E-2,9.715342522E-2,1.333052944E-2
2.582971250E-1,2.761730924E-2,6.514862180E-2,1.214835141E-2
2.683371250E-1,2.463269047E-2,9.430000931E-2,8.861597627E-3
2.783771250E-1,1.960490830E-2,1.750590354E-1,-6.392296636E-4
2.884171250E-1,1.090427488E-2,3.169396222E-1,-6.124749780E-3
2.984561250E-1,6.446143147E-3,5.312170386E-1,-1.950074174E-2
3.084957500E-1,2.630318515E-2,8.629251719E-1,-3.040294163E-2
3.185357500E-1,6.740801036E-2,1.272011995E0,-1.831618510E-2
3.285757500E-1,8.812547475E-2,1.699307084E0,-1.399405859E-2
3.386157500E-1,9.110981226E-2,2.179213762E0,-1.054446585E-2
3.486547500E-1,9.993420541E-2,2.747796535E0,-1.670102403E-2
3.586947500E-1,1.170149222E-1,3.304352999E0,-7.451600395E-3
3.687347500E-1,1.262955368E-1,3.603977680E0,-6.954663992E-2
3.787747500E-1,1.505542696E-1,3.785842419E0,-7.178129256E-2
3.888147500E-1,1.756692529E-1,3.988620043E0,-7.958166301E-2
3.988537500E-1,1.457028389E-1,3.873013258E0,-1.265803277E-1
4.088937500E-1,1.034206972E-1,3.445367813E0,-1.823098361E-1
4.189337500E-1,1.282690614E-1,3.069315910E0,-1.988736391E-1
4.289737500E-1,2.407166064E-1,2.757671833E0,-1.575833261E-1
4.390137500E-1,2.565754652E-1,2.541871309E0,-1.424499154E-1
4.490527500E-1,2.371592820E-1,2.259634972E0,-1.302493364E-1
4.590927500E-1,2.241068631E-1,1.918975830E0,-1.008570865E-1
4.691327500E-1,2.258365154E-1,1.597425580E0,-6.608784199E-2
4.791727500E-1,2.110658288E-1,1.342126250E0,-4.309464619E-2
4.892127500E-1,1.931354254E-1,1.156670570E0,-3.704650700E-2
4.992517500E-1,1.804696918E-1,9.603620768E-1,-2.228327282E-2
5.092917500E-1,1.425099671E-1,7.387977839E-1,2.174548805E-2
5.193317500E-1,1.388715506E-1,5.479974747E-1,2.368879691E-2
5.293717500E-1,1.455941051E-1,4.387795627E-1,2.408368886E-2
5.394117500E-1,1.508756876E-1,3.624395132E-1,2.841611952E-2
5.494507500E-1,1.085306779E-1,3.390357494E-1,2.424100041E-2
5.594907500E-1,6.362712383E-2,3.487898409E-1,-1.095515676E-3
5.695307500E-1,2.340918221E-2,2.963535190E-1,-1.245731767E-2
5.795707500E-1,-9.305886924E-3,1.893248111E-1,-3.342358395E-2
5.896107500E-1,-2.349898219E-2,9.578283131E-2,-6.256486475E-2
5.996497500E-1,-5.141503736E-2,3.722044826E-2,-4.357706010E-2
6.096897500E-1,-7.271493971E-2,-6.337534636E-3,-3.230251372E-2
6.197297500E-1,-7.831503451E-2,-3.575774282E-2,-1.503591053E-2
6.297697500E-1,-7.767788321E-2,-4.067448899E-2,1.946056262E-2
6.398087500E-1,-7.286129147E-2,-8.877862990E-2,4.022789374E-2
6.498487500E-1,-5.534647405E-2,-1.264312565E-1,3.436321765E-2
6.598887500E-1,-2.563571557E-2,-1.781839430E-1,3.485510126E-2
6.699287500E-1,-2.146149613E-2,-2.323548049E-1,6.719677895E-2
6.799687500E-1,4.148125276E-2,-2.737898529E-1,8.219863474E-2
6.900077500E-1,9.666728973E-2,-2.811030447E-1,7.011042535E-2
7.000477500E-1,4.928486049E-2,-3.452918828E-1,2.653977834E-2
7.100877500E-1,5.593635142E-3,-4.200957417E-1,-1.041992102E-2
