"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.990666679E-3,-8.214168549E0,-8.840615845E-1,5.384452972E0
1.403066667E-2,-8.107590179E0,-8.677455139E-1,5.704487457E0
2.406966667E-2,-8.078999634E0,-7.490423584E-1,5.627996521E0
3.410966667E-2,-8.056246948E0,-8.545729065E-1,5.460045776E0
4.414966668E-2,-8.055797882E0,-9.032217407E-1,5.537285156E0
5.418966667E-2,-7.957602081E0,-1.011296997E0,5.508544922E0
6.422966668E-2,-7.825277252E0,-9.812095642E-1,5.421276398E0
7.426966667E-2,-7.776179352E0,-9.258247375E-1,5.478607178E0
8.430866667E-2,-7.799979858E0,-9.343569946E-1,5.486840057E0
9.434866668E-2,-7.797135773E0,-9.032217407E-1,5.389692078E0
1.043886667E-1,-7.736212463E0,-8.870553589E-1,5.335953827E0
1.144286667E-1,-7.840844879E0,-8.129594421E-1,5.217699738E0
1.244686667E-1,-7.981402588E0,-8.369096375E-1,5.431006165E0
1.345076667E-1,-8.170459442E0,-7.502398682E-1,5.201383667E0
1.445476667E-1,-8.028554535E0,-6.499484253E-1,4.911586304E0
1.545876667E-1,-7.979157257E0,-6.762936401E-1,5.126090240E0
1.646276667E-1,-7.957302704E0,-5.813909912E-1,5.144501953E0
1.746676667E-1,-7.830815735E0,-5.792953491E-1,5.088817749E0
1.847076667E-1,-7.725883942E0,-6.527925110E-1,4.798122253E0
1.947466667E-1,-7.649692383E0,-5.388793945E-1,4.473148041E0
2.047866667E-1,-7.699538727E0,-4.796026611E-1,4.230352936E0
2.148266667E-1,-7.917784882E0,-4.543052673E-1,3.850293274E0
2.248666667E-1,-8.184380493E0,-2.041754150E-1,4.038901062E0
2.349066667E-1,-8.018675079E0,1.839674377E-1,3.411855011E0
2.449456667E-1,-8.105494537E0,-3.796105957E-1,3.467688904E0
2.549856667E-1,-8.530909882E0,-5.569917297E-1,3.388353882E0
2.650256667E-1,-8.498726807E0,-3.161425781E-1,1.909429321E0
2.750656667E-1,-9.246272278E0,-7.438032532E-1,1.158740387E0
2.851056667E-1,-1.053599030E1,-1.108295288E0,6.396199036E-1
2.951456667E-1,-1.179861465E1,-2.426454163E-1,1.576222229E-1
3.051846667E-1,-1.099688187E1,5.201683044E-1,-1.630110168E-1
3.152246667E-1,-9.917626190E0,2.589614868E-1,1.242416382E-1
3.252646667E-1,-9.805359650E0,-2.727328491E-1,2.278262329E-1
3.353046667E-1,-9.959239655E0,-5.752537537E-1,2.884501648E-1
3.453446667E-1,-1.008078690E1,-3.921844482E-1,4.595443726E-2
3.553836667E-1,-1.061053528E1,2.180964661E-1,-1.832189941E-1
3.654236667E-1,-1.093461136E1,5.878276062E-1,-4.547543335E-1
3.754636667E-1,-1.042611877E1,4.306544495E-1,-8.035290527E-1
3.855036667E-1,-1.038225998E1,4.849914551E-2,-1.098415833E0
3.955436667E-1,-1.054167847E1,-5.662724304E-1,-6.965016174E-1
4.055836667E-1,-1.009815079E1,-4.411326599E-1,-5.051994324E-1
4.156226667E-1,-1.005384293E1,-4.086502075E-2,6.586303711E-2
4.256626667E-1,-9.663305054E0,4.947212219E-1,-8.876541138E-1
4.357026667E-1,-1.000743942E1,-9.506730652E-1,-1.015488281E0
4.457426667E-1,-1.101035385E1,-8.264314270E-1,-2.921923828E-1
4.557826667E-1,-1.050934570E1,2.380050659E-1,-8.845106506E-1
4.658216667E-1,-9.746681671E0,2.624043274E-1,-1.133742371E0
4.758616667E-1,-9.324559479E0,1.937720490E0,-1.387614441E0
4.859016667E-1,-9.728419647E0,4.267625427E-1,-9.656419373E-1
4.959416667E-1,-9.270671539E0,-7.050338745E-2,-7.101232910E-1
5.059816667E-1,-9.064849548E0,8.547225952E-2,-5.694158936E-1
5.160216667E-1,-9.090446320E0,-3.306623840E-1,-5.228627014E-1
5.260606667E-1,-9.362879791E0,-3.721261597E-1,-1.121168518E0
5.361006667E-1,-9.242530060E0,-1.297801208E-1,-7.119195557E-1
5.461406667E-1,-9.275012512E0,-1.321751404E-1,-3.203338623E-1
5.561806667E-1,-9.663754120E0,-2.534230042E-1,-6.337820435E-1
5.662206667E-1,-9.631571045E0,-3.112028503E-1,-7.250921631E-1
5.762596667E-1,-9.377399597E0,-2.308200073E-1,-8.780740356E-1
5.862996667E-1,-9.379944305E0,-3.327580261E-1,-1.040486298E0
5.963396667E-1,-9.233249359E0,-3.806584167E-1,-1.063837738E0
6.063796667E-1,-9.260343018E0,-4.580474854E-1,-1.120120697E0
6.164196667E-1,-9.713151398E0,-7.695497131E-1,-1.104253693E0
6.264586667E-1,-9.554331665E0,-9.458830261E-1,-8.569679260E-1
6.364986667E-1,-9.344019012E0,-8.656498718E-1,-6.122268677E-1
6.465386667E-1,-1.044018951E1,-1.306632843E0,-3.833528137E-1
6.565786667E-1,-9.465566254E0,-8.559201050E-1,-1.257085876E0
6.666186667E-1,-1.067325485E1,6.137237549E-3,-1.793121185E0
6.766586667E-1,-1.082653610E1,2.439926147E-2,-1.040935364E0
6.866976667E-1,-9.925559692E0,-3.344046021E-1,-1.079255676E0
6.967376667E-1,-9.899364166E0,-4.959187317E-1,-1.023421783E0
7.067776667E-1,-9.645941162E0,-4.965174866E-1,-8.906478882E-1
7.168176667E-1,-9.573192444E0,-4.565505981E-1,-8.321195984E-1
7.268576667E-1,-9.672436066E0,-4.390370178E-1,-8.572673035E-1
7.368966667E-1,-9.699080658E0,-3.638932800E-1,-8.809181213E-1
7.469366667E-1,-9.711055756E0,-3.707789612E-1,-8.827143860E-1
7.569766667E-1,-9.690698090E0,-3.869453430E-1,-9.217831421E-1
7.670166667E-1,-9.681118011E0,-4.505630493E-1,-9.647438049E-1
7.770566667E-1,-9.690099335E0,-5.176235962E-1,-9.842033386E-1
7.870956667E-1,-9.711804199E0,-4.879852295E-1,-9.596543884E-1
7.971356667E-1,-9.776170349E0,-4.364923096E-1,-9.440867615E-1
