"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.480666673E-3,-3.594027087E-2,2.756637335E-2,5.325329304E-2
1.152066667E-2,7.194323000E-3,2.221692912E-2,4.508183151E-2
2.156066668E-2,2.756830491E-2,2.227498591E-2,4.946592450E-2
3.159966668E-2,3.394582123E-2,5.623562261E-2,6.800283492E-2
4.163966667E-2,5.137247965E-2,9.445811063E-2,8.292213082E-2
5.167966668E-2,5.935404822E-2,1.391340494E-1,9.810543805E-2
6.171966667E-2,5.223168805E-2,2.068427801E-1,1.114939526E-1
7.175966668E-2,5.433411896E-2,3.045496941E-1,1.296095103E-1
8.179866667E-2,5.521908775E-2,4.027447104E-1,1.505163908E-1
9.183866667E-2,4.578582942E-2,5.097250938E-1,1.641980261E-1
1.018786667E-1,3.475235403E-2,6.116557121E-1,1.601217836E-1
1.119186667E-1,-9.607804939E-3,6.006239653E-1,1.099268571E-1
1.219586667E-1,1.500167418E-4,5.946875215E-1,8.340656757E-2
1.319986667E-1,-3.182521462E-2,7.346836925E-1,1.022142097E-1
1.420376667E-1,-5.972342566E-2,9.286664724E-1,1.059530228E-1
1.520776667E-1,-5.978721008E-2,1.131930947E0,1.244203821E-1
1.621176667E-1,-4.339252412E-2,1.380806327E0,1.341675520E-1
1.721576667E-1,-2.311065048E-2,1.668651938E0,1.510999054E-1
1.821976667E-1,-1.234455500E-2,1.931830049E0,1.566211730E-1
1.922366667E-1,-2.763607539E-2,2.250290632E0,1.730839908E-1
2.022766667E-1,-4.243552685E-2,2.636246920E0,2.054749578E-1
2.123166667E-1,-1.089814529E-1,3.008033276E0,2.539277971E-1
2.223566667E-1,-9.591785073E-2,3.776110888E0,3.893724680E-1
2.323966667E-1,-1.802435219E-1,4.342831135E0,4.526453614E-1
2.424366667E-1,-1.777252406E-1,4.580777168E0,4.536818564E-1
2.524756667E-1,-9.645554423E-2,4.694594383E0,4.964216650E-1
2.625156667E-1,-9.933948517E-2,4.605924606E0,4.005822241E-1
2.725556667E-1,-1.053151786E-1,3.826578617E0,1.849710196E-1
2.825956667E-1,-2.955516335E-3,2.752198696E0,6.129222363E-2
2.926356667E-1,1.703270525E-1,2.299850702E0,1.532674134E-1
3.026746667E-1,2.361114025E-1,2.174983263E0,2.480660975E-1
3.127146667E-1,2.236199230E-1,2.213464022E0,2.937611043E-1
3.227546667E-1,1.505078822E-1,2.102882624E0,3.444314599E-1
3.327946667E-1,5.913781002E-2,1.886483788E0,3.559858501E-1
3.428346667E-1,-4.130064696E-2,1.546451688E0,3.451284170E-1
3.528746667E-1,-8.710198849E-2,1.229953527E0,3.516418636E-1
3.629136667E-1,-4.865233600E-2,1.104865909E0,3.249977231E-1
3.729536667E-1,-1.150366664E-2,9.888439178E-1,2.325853854E-1
3.829936667E-1,4.659212753E-2,5.079888701E-1,4.283675179E-2
3.930336667E-1,1.326217353E-1,1.219172701E-1,3.773950413E-2
4.030736667E-1,1.413576901E-1,1.149855927E-1,2.692654170E-2
4.131126667E-1,2.335129529E-1,6.947827339E-1,1.262332797E-1
4.231526667E-1,2.942107804E-2,9.142946005E-1,1.881842613E-1
4.331926667E-1,-1.560630351E-1,5.924601555E-1,1.082450897E-1
4.432326667E-1,-1.500810385E-1,2.736549973E-1,1.188532561E-1
4.532726667E-1,-1.341583431E-1,9.761991352E-2,1.131991372E-1
4.633126667E-1,-1.492467523E-1,2.290785685E-2,6.429231167E-2
4.733516667E-1,6.634268910E-2,-3.590990603E-1,-1.250357479E-1
4.833916667E-1,-1.275231363E-3,-2.466412038E-1,-1.431878507E-1
4.934316667E-1,-6.077662110E-2,-1.288944781E-1,-1.061760560E-1
5.034716667E-1,-8.011010289E-2,-5.720909685E-2,-1.225763336E-1
5.135116667E-1,-2.488664538E-2,1.119710356E-1,-1.728720665E-1
5.235506667E-1,-1.495577395E-1,3.776764125E-2,-1.086731106E-1
5.335906667E-1,-1.727550775E-1,2.060733922E-2,-6.659788638E-2
5.436306667E-1,-1.425732076E-1,7.284684479E-2,-7.740899175E-2
5.536706667E-1,-1.306252629E-1,8.304926753E-2,-6.427878141E-2
5.637106667E-1,-1.042945907E-1,7.226053625E-2,-6.832385808E-2
5.737496667E-1,-7.498968393E-2,5.726206303E-2,-1.212655008E-1
5.837896667E-1,-7.687067240E-2,5.777978152E-2,-1.664755940E-1
5.938296667E-1,-7.334015518E-2,6.128897145E-2,-2.301447093E-1
6.038696667E-1,-8.561999351E-2,6.816312671E-2,-2.839594781E-1
6.139096667E-1,-1.012966484E-1,6.687203050E-2,-2.616121173E-1
6.239496667E-1,-7.838467509E-2,4.434888065E-2,-2.896565199E-1
6.339886667E-1,-1.277240645E-2,4.706896096E-2,-3.090146482E-1
6.440286667E-1,3.759196401E-2,1.356488913E-1,-1.736163199E-1
6.540686667E-1,-4.348170012E-2,6.112102419E-2,-2.504664361E-1
6.641086667E-1,-1.997839659E-1,2.043839097E-1,-6.626303494E-2
