"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.274024998E-2,-6.894961853E0,-6.453080750E-1,6.520440674E0
2.278025000E-2,-6.929090881E0,-7.235952759E-1,6.670728149E0
3.282024997E-2,-6.838379517E0,-7.331753540E-1,6.801556091E0
4.286024999E-2,-6.884333954E0,-7.617658997E-1,6.880891113E0
5.290025001E-2,-6.914421387E0,-8.271798706E-1,6.815776520E0
6.294124998E-2,-6.958729248E0,-8.846603394E-1,6.740333405E0
7.298125001E-2,-6.994654541E0,-9.207353210E-1,6.713688812E0
8.302124997E-2,-7.010671234E0,-9.476792908E-1,6.617738342E0
9.306124999E-2,-7.070247345E0,-9.174421692E-1,6.676116943E0
1.031012500E-1,-7.049739990E0,-8.394543457E-1,6.675218811E0
1.131412500E-1,-7.112908630E0,-7.539820862E-1,6.584657135E0
1.231812500E-1,-7.160809021E0,-6.780899048E-1,6.729555817E0
1.332222500E-1,-7.069049835E0,-6.315367126E-1,6.750661926E0
1.432622500E-1,-6.972051544E0,-6.071374512E-1,6.684349823E0
1.533022500E-1,-6.976542206E0,-6.276448059E-1,6.700665894E0
1.633422500E-1,-7.010521545E0,-6.846762085E-1,6.741530914E0
1.733822500E-1,-7.023694153E0,-7.593708801E-1,6.685098267E0
1.834222500E-1,-7.045249329E0,-7.924520874E-1,6.699318695E0
1.934632500E-1,-7.028633881E0,-8.042774963E-1,6.716682587E0
2.035032500E-1,-7.017556915E0,-7.855664063E-1,6.696474609E0
2.135432500E-1,-7.034621429E0,-7.685018921E-1,6.701114960E0
2.235832500E-1,-6.998546448E0,-7.479945374E-1,6.655160522E0
2.336232500E-1,-6.985822906E0,-7.200027466E-1,6.636299744E0
2.436632500E-1,-7.011569366E0,-7.173083496E-1,6.633904724E0
2.537032500E-1,-7.064110107E0,-7.412585449E-1,6.693780212E0
2.637442500E-1,-7.052883453E0,-7.628137207E-1,6.674021301E0
2.737842500E-1,-7.025191040E0,-8.038284302E-1,6.659800873E0
2.838242500E-1,-7.001390533E0,-8.232879639E-1,6.807843018E0
2.938642500E-1,-7.030579834E0,-8.419990540E-1,6.816524963E0
3.039042500E-1,-6.988666992E0,-8.487350464E-1,6.708000641E0
3.139442500E-1,-6.949897614E0,-8.605604553E-1,6.702312469E0
3.239852500E-1,-7.006479950E0,-9.235794067E-1,6.648723907E0
3.340252500E-1,-6.927893372E0,-1.020577698E0,6.607110443E0
3.440652500E-1,-6.809190216E0,-1.051862640E0,6.650669861E0
3.541052500E-1,-6.752158813E0,-1.210532684E0,6.791526947E0
3.641452500E-1,-6.969207458E0,-1.202299805E0,6.961124268E0
3.741852500E-1,-7.466323700E0,-1.031804352E0,6.832691345E0
3.842252500E-1,-7.724836121E0,-1.130449219E0,6.446644135E0
3.942662500E-1,-7.951614532E0,-1.018032990E0,5.740113373E0
4.043062500E-1,-8.177045746E0,-9.704319763E-1,5.412444763E0
4.143462500E-1,-8.289611664E0,-9.780661011E-1,4.313130798E0
4.243862500E-1,-8.350984039E0,-8.346643066E-1,3.296894073E0
4.344262500E-1,-8.962013397E0,-8.837622070E-1,3.570075989E0
4.444662500E-1,-9.506131897E0,-9.220825195E-1,3.131488037E0
4.545062500E-1,-9.918524323E0,-6.569837952E-1,2.733465729E0
4.645472500E-1,-1.011431717E1,-2.439926147E-1,2.290836182E0
4.745872500E-1,-1.001297791E1,1.273851013E-1,2.076481934E0
4.846272500E-1,-9.884544983E0,5.156776428E-1,2.267634430E0
4.946672500E-1,-9.344767456E0,1.194366302E0,2.417023773E0
5.047072500E-1,-8.947792969E0,3.338058472E-1,2.488425293E0
5.147472500E-1,-9.530980225E0,1.149609375E-1,2.697989502E0
5.247872500E-1,-9.819580078E0,4.008663940E-1,2.660267944E0
5.348282500E-1,-9.622889099E0,5.783972168E-1,2.607278137E0
5.448682500E-1,-9.563163300E0,2.393522644E-1,2.434537354E0
5.549082500E-1,-9.632169800E0,-2.609074402E-1,2.475402374E0
5.649482500E-1,-9.705068207E0,-4.285588074E-1,2.319576416E0
5.749882500E-1,-9.423503723E0,-5.504054260E-1,2.017205200E0
5.850285417E-1,-9.172625427E0,-4.302053833E-1,1.817221069E0
5.950695417E-1,-9.325158234E0,-5.334906006E-1,1.734742584E0
6.051095417E-1,-9.367370453E0,-8.258326721E-1,1.712738342E0
6.151495416E-1,-9.287137299E0,-9.967771912E-1,1.720821533E0
6.251895417E-1,-9.263636169E0,-1.092428284E0,1.687141571E0
6.352295416E-1,-9.450148315E0,-1.337618408E0,1.933978271E0
6.452695417E-1,-9.328601074E0,-1.426383820E0,1.900298309E0
6.553095417E-1,-9.364226990E0,-1.356928253E0,1.667532349E0
6.653505416E-1,-9.564660187E0,-1.632355499E0,1.738035736E0
6.753905417E-1,-9.748627625E0,-1.544637909E0,1.542691956E0
6.854305416E-1,-9.866133270E0,-1.165775757E0,1.398242340E0
6.954705417E-1,-9.703271942E0,-7.092251587E-1,1.184935913E0
7.055105417E-1,-9.517508240E0,-4.375401306E-1,1.199904785E0
7.155505416E-1,-9.452543335E0,-8.367599487E-2,1.132993927E0
7.255905417E-1,-9.565258942E0,1.240919495E-1,1.183888092E0
7.356315416E-1,-9.593550110E0,7.604187012E-2,1.273851013E0
7.456715417E-1,-9.636061707E0,1.850152588E-1,1.297052765E0
7.557115416E-1,-9.881102142E0,-1.957928467E-1,1.569635925E0
7.657515417E-1,-9.706565094E0,-3.242257690E-1,1.568737793E0
7.757915417E-1,-9.419911194E0,-4.165837097E-1,1.292562103E0
7.858315416E-1,-9.215137024E0,-2.061213684E-1,1.090482330E0
7.958725417E-1,-9.074579315E0,-5.149291992E-2,9.821076965E-1
8.059125416E-1,-9.235195312E0,1.496887207E-2,9.201365662E-1
8.159525417E-1,-9.842781830E0,-1.460961914E-1,9.892927551E-1
8.259925417E-1,-1.030561935E1,-4.070036316E-1,9.948312378E-1
8.360325416E-1,-1.014111145E1,-4.345463562E-1,9.530680847E-1
8.460725417E-1,-9.610015869E0,-4.034111023E-1,1.211281128E0
8.561125416E-1,-9.188193054E0,-2.161505127E-1,1.255888367E0
8.661535417E-1,-9.032816162E0,6.301895142E-2,1.086889801E0
8.761935417E-1,-9.197174377E0,7.065307617E-2,8.815168762E-1
8.862335416E-1,-9.509874115E0,7.798782349E-2,9.032217407E-1
8.962735417E-1,-9.567204895E0,2.495310974E-1,6.899153137E-1
9.063135416E-1,-9.758357391E0,4.590953064E-1,4.761598206E-1
9.163535417E-1,-9.804910583E0,7.710466003E-1,4.614903259E-1
9.263935417E-1,-9.749974823E0,1.062191162E0,5.107379150E-1
9.364345417E-1,-9.721683655E0,1.278790741E0,5.167254639E-1
9.464745417E-1,-9.745933228E0,1.599274292E0,4.595443726E-1
9.565145416E-1,-9.821675720E0,1.616039429E0,4.546046448E-1
9.665545417E-1,-9.828411713E0,1.581760712E0,4.128414917E-1
9.765945416E-1,-9.752369843E0,1.621877289E0,4.733157349E-1
9.866345417E-1,-9.734856262E0,1.432820435E0,6.243516541E-1
9.966755417E-1,-9.671238556E0,1.278191986E0,7.511380005E-1
1.006715542E0,-9.720037079E0,1.093625793E0,9.530680847E-1
1.016755542E0,-9.984537048E0,9.762698364E-1,1.157243500E0
1.026795542E0,-1.032358200E1,7.343728638E-1,1.425335999E0
1.036835542E0,-1.056128769E1,4.258644104E-1,1.541195068E0
1.046875542E0,-1.057835220E1,2.183958435E-1,1.691632233E0
1.056915542E0,-1.018661682E1,1.847158813E-1,1.744023285E0
