"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.650525001E-2,2.805118822E-2,-2.313002013E-3,-2.905159816E-2
2.654524997E-2,3.439510241E-2,1.927378215E-2,-3.163539618E-2
3.658525000E-2,5.558671802E-2,4.343807325E-2,-3.907719627E-2
4.662524996E-2,7.625444233E-2,6.249911711E-2,-4.482509568E-2
5.666524998E-2,8.170188218E-2,6.560619175E-2,-5.177047104E-2
6.670625001E-2,8.708972484E-2,5.787530169E-2,-5.136913434E-2
7.674624998E-2,7.563307136E-2,5.148451403E-2,-5.226502195E-2
8.678625000E-2,7.126016170E-2,6.251586229E-2,-5.168205500E-2
9.682624997E-2,6.837693602E-2,8.017801493E-2,-4.788146168E-2
1.068662500E-1,5.687288195E-2,7.230917364E-2,-4.600313678E-2
1.169062500E-1,5.434519425E-2,2.401813678E-2,-3.724613413E-2
1.269462500E-1,5.541978031E-2,5.529141054E-3,-3.953059390E-2
1.369872500E-1,4.649530724E-2,3.745949129E-3,-4.982525855E-2
1.470272500E-1,3.224766254E-2,-6.136242766E-3,-5.244527757E-2
1.570672500E-1,3.216679394E-2,-1.258331537E-2,-5.181563273E-2
1.671072500E-1,2.795047686E-2,-9.189362172E-4,-4.996873066E-2
1.771472500E-1,2.457176708E-2,8.621937595E-3,-4.204569384E-2
1.871872500E-1,2.449267171E-2,3.440266848E-2,-3.511401638E-2
1.972282500E-1,2.372020669E-2,5.168237910E-2,-2.432307415E-2
2.072682500E-1,2.269409038E-2,7.228299975E-2,-1.151220500E-2
2.173082500E-1,2.102327161E-2,9.197075665E-2,-3.509737551E-3
2.273482500E-1,1.846823469E-2,1.051608622E-1,5.047531333E-3
2.373882500E-1,1.457658224E-2,8.730851859E-2,6.343850400E-3
2.474282500E-1,1.245324407E-2,7.768012583E-2,8.489293046E-3
2.574682500E-1,1.404668111E-2,1.177396625E-1,9.951397777E-3
2.675092500E-1,9.996545501E-3,1.892071813E-1,1.051971596E-2
2.775492500E-1,2.276045084E-2,2.409940660E-1,1.214751881E-2
2.875892500E-1,3.989735991E-2,3.072257936E-1,1.862086542E-2
2.976292500E-1,5.011219159E-2,4.075601101E-1,1.762650721E-2
3.076692500E-1,7.012823969E-2,5.466932058E-1,1.127486769E-2
3.177092500E-1,1.044900417E-1,7.602908611E-1,1.043553837E-2
3.277502500E-1,1.557574868E-1,1.106355906E0,1.412481535E-2
3.377902500E-1,2.192278504E-1,1.643909454E0,1.220916025E-2
3.478302500E-1,2.980363667E-1,2.326792240E0,1.760780346E-3
3.578702500E-1,3.874401152E-1,2.992964983E0,-3.826077562E-3
3.679102500E-1,4.260250628E-1,3.457176924E0,1.650209725E-2
3.779502500E-1,4.121881723E-1,3.794956446E0,4.316325486E-2
3.879902500E-1,4.105082452E-1,3.845241547E0,1.048601717E-1
3.980312500E-1,3.893329203E-1,3.587095261E0,1.603816450E-1
4.080712500E-1,3.430671692E-1,3.363631487E0,1.864779592E-1
4.181112500E-1,1.975405812E-1,3.112202644E0,1.589197665E-1
4.281512500E-1,1.791652888E-1,2.944960356E0,1.478767097E-1
4.381912500E-1,2.129383832E-1,2.708990097E0,1.550254077E-1
4.482312500E-1,2.342423350E-1,2.385885715E0,1.761442721E-1
4.582712500E-1,2.555644214E-1,1.957304358E0,2.111114860E-1
4.683122500E-1,2.315815687E-1,1.554930568E0,2.100952268E-1
4.783522500E-1,1.858129203E-1,1.312706470E0,2.235546708E-1
4.883922500E-1,1.647715420E-1,1.335330009E0,3.017394841E-1
4.984322500E-1,5.730418861E-2,1.210159898E0,2.213338763E-1
5.084722500E-1,2.606158145E-2,1.255864263E0,1.669310927E-1
5.185122500E-1,2.764247544E-2,1.285473704E0,1.695248783E-1
5.285522500E-1,4.116813838E-2,1.304418921E0,1.398772448E-1
5.385932500E-1,5.173742771E-2,1.320478797E0,9.581844509E-2
5.486332500E-1,1.043990403E-1,1.339587212E0,4.135067388E-2
5.586732500E-1,1.795661300E-1,1.331853271E0,3.615024500E-3
5.687132500E-1,2.167752832E-1,1.268576264E0,-1.006829739E-2
5.787532500E-1,2.029660195E-1,1.035530925E0,-5.091856793E-2
5.887935417E-1,1.531113833E-1,7.596596479E-1,-1.043647453E-1
5.988345417E-1,9.995101392E-2,5.930299759E-1,-1.335723251E-1
6.088745416E-1,4.358361661E-2,4.927944243E-1,-1.378624141E-1
6.189145417E-1,-1.888597012E-2,3.799025416E-1,-1.265063137E-1
6.289545416E-1,-5.194564909E-2,2.555515766E-1,-8.416791260E-2
6.389945417E-1,-6.283120066E-2,2.429250479E-1,-5.780072510E-2
6.490345417E-1,-7.229500264E-2,2.970540822E-1,-2.437618561E-2
6.590745416E-1,-1.923198253E-2,3.638756871E-1,1.577783190E-2
6.691155417E-1,3.596096486E-2,3.250270784E-1,4.355060682E-2
6.791555416E-1,1.030315310E-1,1.680974364E-1,6.992255151E-2
6.891955417E-1,1.295113415E-1,3.773757443E-2,9.187285602E-2
6.992355416E-1,1.283132881E-1,1.482737344E-2,1.155569553E-1
7.092755417E-1,1.179184243E-1,7.909823954E-2,1.369453371E-1
7.193155417E-1,1.187928915E-1,1.803784370E-1,1.489980370E-1
7.293555416E-1,1.495159119E-1,2.658430338E-1,1.810233444E-1
7.393965417E-1,2.197818160E-1,2.530814111E-1,2.068834305E-1
7.494365416E-1,3.155813217E-1,1.552536488E-1,2.508186698E-1
7.594765417E-1,3.797226250E-1,8.265509456E-2,2.961347103E-1
7.695165417E-1,3.960147500E-1,7.170923799E-2,3.081974983E-1
7.795565416E-1,3.546592891E-1,9.017535299E-2,2.625747621E-1
7.895965417E-1,2.915090621E-1,1.450569779E-1,1.740856767E-1
7.996375416E-1,2.259232253E-1,2.250022739E-1,7.659478486E-2
8.096775417E-1,1.647166014E-1,2.750425637E-1,3.569981083E-2
8.197175416E-1,1.455520391E-1,2.313298881E-1,6.426274776E-2
8.297575417E-1,1.065098345E-1,9.586659819E-2,1.277109683E-1
8.397975417E-1,8.412505686E-2,3.704022616E-2,1.867772490E-1
8.498375416E-1,9.272067249E-2,9.092503041E-2,1.913930476E-1
8.598775417E-1,9.804895520E-2,2.090576738E-1,1.699215621E-1
8.699185416E-1,7.459289581E-2,3.342674971E-1,1.313597858E-1
8.799585417E-1,6.534343213E-2,4.155297875E-1,1.099816561E-1
8.899985417E-1,5.694035813E-2,4.783659875E-1,7.102360576E-2
9.000385416E-1,1.619822346E-2,4.914475679E-1,5.100173876E-2
9.100785417E-1,-4.871473089E-2,5.087748766E-1,4.081594571E-2
9.201185416E-1,-1.099896505E-1,5.638143420E-1,1.578659192E-2
9.301585417E-1,-1.670161784E-1,6.255048513E-1,-1.201574504E-2
9.401995417E-1,-2.040641308E-1,6.927450895E-1,-4.620779678E-2
9.502395416E-1,-2.190683782E-1,7.161939740E-1,-7.649805397E-2
9.602795417E-1,-2.484042048E-1,7.263507247E-1,-1.032237932E-1
9.703195416E-1,-2.862602472E-1,7.255392671E-1,-1.211599112E-1
9.803595417E-1,-3.076011539E-1,7.008479238E-1,-1.381660551E-1
9.903995417E-1,-3.122906983E-1,6.581518650E-1,-1.417472064E-1
1.000440542E0,-3.116635382E-1,6.298707128E-1,-1.360879093E-1
1.010480542E0,-3.136798143E-1,6.168944836E-1,-1.138752773E-1
1.020520542E0,-3.095736802E-1,6.070128083E-1,-6.612097472E-2
1.030560542E0,-2.993189096E-1,5.613757968E-1,1.431634091E-2
1.040600542E0,-2.811290622E-1,4.705433547E-1,8.892814815E-2
1.050640542E0,-2.365320325E-1,4.028420448E-1,1.151208654E-1
1.060680542E0,-1.863553077E-1,3.713947535E-1,1.081270427E-1
1.070721542E0,-1.626009792E-1,3.151418567E-1,8.995442837E-2
1.080761542E0,-1.277085543E-1,2.484956533E-1,8.088604361E-2
1.090801542E0,-1.100501865E-1,1.859726161E-1,5.358092114E-2
1.100841542E0,-1.200234368E-1,1.503615379E-1,1.002321672E-2
1.110881542E0,-1.367342472E-1,8.695699275E-2,-2.261610925E-1
1.120921542E0,-1.954137981E-1,8.275772631E-2,-4.790639281E-1
1.130961542E0,-2.805779576E-1,8.788350970E-2,-5.800032616E-1
1.141002542E0,-3.487745821E-1,-3.486586809E-1,-2.689176202E-1
1.151042542E0,-2.780083120E-1,-4.848574698E-1,-1.439282447E-1
1.161082542E0,-1.868603230E-1,-2.338910997E-1,-2.849821746E-1
1.171122542E0,-1.488151997E-1,2.908680141E-1,-3.593496084E-1
1.181162542E0,5.365592241E-2,5.306415558E-1,-4.872429967E-1
1.191202542E0,4.881216586E-2,5.344565511E-1,-4.550818503E-1
1.201242542E0,-6.208235398E-2,5.059193373E-1,-2.404377908E-1
1.211283542E0,-1.355429888E-1,5.092445612E-1,-1.085940003E-1
1.221323542E0,-2.123055905E-1,4.627083242E-1,-1.805805415E-2
1.231363542E0,-2.349784076E-1,3.162858784E-1,6.097125262E-2
1.241403542E0,-1.844203025E-1,1.025744006E-1,8.407837898E-2
1.251443542E0,-1.024540588E-1,-1.350144446E-1,6.347483397E-2
1.261483542E0,-6.079511717E-2,-3.171561956E-1,3.154478967E-2
1.271523542E0,-3.756569698E-2,-3.812619448E-1,-1.465333160E-2
1.281564542E0,-1.408704557E-2,-3.674988449E-1,-6.975374371E-2
1.291604542E0,1.102390047E-2,-3.291045725E-1,-1.099775955E-1
1.301644542E0,3.529460356E-2,-2.251304388E-1,-1.381189227E-1
1.311684542E0,4.958485812E-2,-7.562829554E-2,-1.642184407E-1
1.321724542E0,7.787365466E-2,5.969505385E-2,-1.795644760E-1
1.331764542E0,1.189079061E-1,1.533126235E-1,-1.866543293E-1
1.341805542E0,1.555385292E-1,2.085291445E-1,-1.860979795E-1
1.351845542E0,1.907550991E-1,2.634847760E-1,-1.832697093E-1
1.361885542E0,2.182457000E-1,3.092326522E-1,-1.815649569E-1
1.371925542E0,2.451659888E-1,3.274388015E-1,-1.827937365E-1
1.381965542E0,2.672833502E-1,3.088427186E-1,-1.809246242E-1
1.392005542E0,2.817153037E-1,2.840713263E-1,-1.682828665E-1
1.402045542E0,2.834315896E-1,2.567133307E-1,-1.505709738E-1
1.412086542E0,2.789614797E-1,2.197867483E-1,-1.308140457E-1
1.422126542E0,2.722570300E-1,1.712224931E-1,-1.045878902E-1
1.432166542E0,2.669400275E-1,1.117224246E-1,-7.509498298E-2
1.442206542E0,2.628926039E-1,5.550046638E-2,-5.423539132E-2
1.452246542E0,2.539651692E-1,3.710504156E-3,-4.762276262E-2
1.462286542E0,2.377226651E-1,-4.375367612E-2,-5.163194239E-2
1.472326542E0,2.115318179E-1,-7.770951092E-2,-5.131369457E-2
1.482367542E0,1.800430715E-1,-7.712391764E-2,-4.665167630E-2
1.492407542E0,1.418943554E-1,-3.499617428E-2,-3.476039693E-2
1.502447542E0,9.379247576E-2,3.728199005E-2,-2.769703977E-2
1.512487542E0,4.928013682E-2,1.115559563E-1,-1.737782359E-2
1.522527542E0,8.053344674E-3,1.532098800E-1,-5.278371274E-3
1.532567542E0,-2.917524800E-2,1.498260647E-1,5.424998817E-4
1.542607542E0,-6.485512853E-2,1.076433957E-1,1.289877482E-2
1.552648542E0,-9.270939976E-2,5.154683441E-2,2.429870330E-2
1.562688542E0,-1.098113880E-1,3.029507352E-3,3.773377836E-2
1.572728542E0,-1.161814034E-1,-3.504517674E-2,4.969616234E-2
1.582767792E0,-1.250157952E-1,-5.030738935E-2,4.503579438E-2
1.592807792E0,-1.297775358E-1,-5.674212053E-2,3.798294812E-2
1.602847792E0,-1.276775151E-1,-6.098712608E-2,2.669643424E-2
1.612887792E0,-1.221421361E-1,-6.765914708E-2,2.185374312E-2
1.622928792E0,-1.117299721E-1,-7.454048842E-2,2.320742793E-2
1.632968792E0,-9.370223433E-2,-7.531893253E-2,2.351289243E-2
1.643008792E0,-8.013591915E-2,-7.551724464E-2,2.259189636E-2
1.653048792E0,-6.887980551E-2,-8.239804953E-2,9.259846061E-3
1.663088792E0,-5.815813318E-2,-9.219254553E-2,1.084170118E-2
1.673128792E0,-5.020593107E-2,-9.166524559E-2,2.671627142E-2
1.683169792E0,-4.041455314E-2,-8.115427941E-2,3.950396925E-2
1.693209792E0,-2.688170224E-2,-5.820155889E-2,4.064779729E-2
1.703249792E0,-1.290480047E-2,-1.230956335E-2,4.015883058E-2
1.713289792E0,-7.579808589E-3,4.103595018E-2,4.121184349E-2
1.723329792E0,-1.021557301E-2,6.790391356E-2,3.664190322E-2
1.733369792E0,-5.385398399E-3,7.570350915E-2,2.909583226E-2
1.743409792E0,-2.178278519E-3,7.032442838E-2,2.339039929E-2
1.753450792E0,-3.185219364E-3,6.153865531E-2,1.957861707E-2
1.763490792E0,-8.078979328E-3,4.958558455E-2,1.035025902E-2
1.773530792E0,-1.505459659E-2,4.241688922E-2,-5.002330989E-3
1.783570792E0,-2.468934655E-2,4.061593115E-2,-1.261528488E-2
1.793610792E0,-3.069557250E-2,3.929234296E-2,-1.173324604E-2
1.803650792E0,-3.843075037E-2,3.367530555E-2,-9.897419252E-3
1.813690792E0,-3.977990523E-2,2.259122953E-2,-8.266929071E-4
1.823731792E0,-4.307767376E-2,8.048667572E-3,9.955803864E-3
