"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.326291684E-3,1.641958952E-1,-3.821989894E-1,7.814374752E-3
1.336729171E-2,1.375831962E-1,-4.115382433E-1,2.240370400E-2
2.340729168E-2,1.308776289E-1,-4.141754806E-1,2.901808918E-2
3.344829171E-2,1.479788572E-1,-3.963839710E-1,4.779284075E-2
4.348929168E-2,1.740630716E-1,-4.838261902E-1,4.163545370E-2
5.353029171E-2,1.739994138E-1,-6.120659113E-1,2.006020164E-3
6.357129168E-2,1.949819475E-1,-6.075901389E-1,-1.650918275E-2
7.361229172E-2,1.907227486E-1,-5.189249516E-1,1.179303043E-2
8.365229168E-2,1.609185636E-1,-4.400009513E-1,1.291427482E-2
9.369329171E-2,1.194579378E-1,-3.986963928E-1,-8.769448847E-3
1.037342917E-1,9.196099639E-2,-3.845511675E-1,-2.175502293E-2
1.137752917E-1,7.580519468E-2,-4.670622945E-1,1.552417316E-2
1.238162917E-1,6.721350551E-2,-5.849121213E-1,5.242434517E-2
1.338562917E-1,8.596615493E-2,-6.348400116E-1,7.159911096E-2
1.438972917E-1,9.203109890E-2,-6.571113467E-1,5.971422046E-2
1.539382917E-1,1.016171426E-1,-6.763092875E-1,3.626934811E-2
1.639792917E-1,1.136877909E-1,-6.652005315E-1,5.758683011E-2
1.740202917E-1,1.297764778E-1,-6.976255774E-1,8.165274560E-2
1.840612917E-1,1.351382136E-1,-7.853423357E-1,9.926183522E-2
1.941012917E-1,1.331075579E-1,-8.476185203E-1,9.981497377E-2
2.041422917E-1,1.222432405E-1,-8.732587695E-1,8.400416374E-2
2.141832917E-1,1.208490804E-1,-8.522784114E-1,7.860194147E-2
2.242242917E-1,1.179264635E-1,-8.366129398E-1,8.092799783E-2
2.342652917E-1,1.338476390E-1,-8.150421381E-1,7.053687423E-2
2.443062917E-1,1.451827884E-1,-7.937080264E-1,4.019532353E-2
2.543462917E-1,1.566018909E-1,-7.675025463E-1,-3.801425919E-3
2.643872917E-1,1.624951810E-1,-7.090750337E-1,-3.538028151E-2
2.744282917E-1,1.329047978E-1,-5.888825655E-1,-1.651551761E-2
2.844692917E-1,8.175326884E-2,-4.312288463E-1,-5.328244297E-4
2.945102917E-1,4.969120771E-2,-3.142039478E-1,7.803668734E-3
3.045512917E-1,4.262912646E-2,-2.524093091E-1,-2.748148283E-3
3.145912917E-1,5.741206557E-2,-3.019632697E-1,-2.172530070E-2
3.246322917E-1,6.586666405E-2,-3.583965600E-1,-1.312201098E-2
3.346732917E-1,8.228478581E-2,-3.522204161E-1,-7.159193512E-3
3.447142917E-1,6.933610886E-2,-3.192738295E-1,7.840845734E-3
3.547552917E-1,5.601204187E-2,-3.131085932E-1,2.977381693E-3
3.647952917E-1,3.725898266E-2,-2.827371955E-1,-1.831485890E-3
3.748362917E-1,2.402014472E-2,-1.915662885E-1,-3.902093507E-3
3.848772917E-1,3.443721216E-4,-6.805250794E-2,-1.045810618E-2
3.949182917E-1,-2.655674890E-2,7.698138058E-2,-1.432448346E-2
4.049592917E-1,-3.767061606E-2,1.931696832E-1,-3.847770393E-2
4.150002917E-1,-6.396187097E-2,3.165017366E-1,-5.417703837E-2
4.250402917E-1,-8.006408811E-2,4.544873834E-1,-8.473376930E-2
4.350812917E-1,-8.708818257E-2,5.859799385E-1,-1.046765894E-1
4.451222917E-1,-8.455316722E-2,7.097061872E-1,-1.198544800E-1
4.551632917E-1,-8.133819699E-2,8.061222434E-1,-1.197104007E-1
4.652042917E-1,-6.696333736E-2,7.787342668E-1,-1.147451475E-1
4.752452917E-1,-6.363625079E-2,7.819678783E-1,-1.165624931E-1
4.852852917E-1,-5.019382015E-2,8.654105067E-1,-1.157574132E-1
