"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.740249980E-3,-9.312734070E0,6.870712280E-2,1.380279694E0
8.300750022E-3,-9.324709167E0,-2.215393066E-2,1.314566345E0
1.834075002E-2,-1.012524445E1,1.706451416E-2,1.498683472E0
2.838075001E-2,-9.769584045E0,8.981323242E-2,1.818867645E0
3.842175001E-2,-9.417366486E0,1.594184875E-1,1.766326904E0
4.846175000E-2,-9.376351776E0,9.175918579E-2,1.749711456E0
5.850175000E-2,-9.454040222E0,1.571731567E-2,1.597777405E0
6.854275000E-2,-9.727671204E0,9.999206543E-2,1.012644196E0
7.858275002E-2,-9.838291168E0,1.284329224E-1,7.011419678E-1
8.862275002E-2,-9.867630157E0,1.504371643E-1,5.593867493E-1
9.866375002E-2,-9.947863312E0,1.752854919E-1,6.448590088E-1
1.087037500E-1,-9.958491211E0,1.529818726E-1,8.845106506E-1
1.187437500E-1,-9.812544708E0,1.261875916E-1,1.014440460E0
1.287847500E-1,-9.686506805E0,6.047424316E-2,1.092278595E0
1.388247500E-1,-9.635013885E0,6.586303711E-2,1.134041748E0
1.488647500E-1,-9.603878632E0,1.035845947E-1,1.126257935E0
1.589047500E-1,-9.587412872E0,9.834548950E-2,1.157991943E0
1.689457500E-1,-9.498348083E0,-1.646575928E-3,1.194515991E0
1.789857500E-1,-9.524393921E0,1.059796143E-1,1.112187195E0
1.890257500E-1,-9.469158783E0,1.986369324E-1,1.034349060E0
1.990667500E-1,-9.441616058E0,1.462458801E-1,9.427395630E-1
2.091067500E-1,-9.521998901E0,1.308279419E-1,8.632548523E-1
2.191467500E-1,-9.556576996E0,1.267863464E-1,8.473878479E-1
2.291877500E-1,-9.551188202E0,8.996292114E-2,7.623646545E-1
2.392277500E-1,-9.498647461E0,-1.945953369E-2,8.484356689E-1
2.492677500E-1,-9.694589996E0,2.739303589E-2,8.202941895E-1
2.593087500E-1,-9.859996033E0,5.897735596E-2,8.604107666E-1
2.693487500E-1,-9.817484436E0,9.759704590E-2,9.433383179E-1
2.793887500E-1,-9.814790039E0,1.399589539E-1,8.735833740E-1
2.894287500E-1,-9.574240265E0,2.424957275E-2,9.261241150E-1
