"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.688750101E-4,-1.027598099E1,-2.739303589E-1,-4.204756165E-1
1.030887500E-2,-9.989626465E0,-1.980381775E-1,-1.584455109E0
2.034887500E-2,-1.022029678E1,-1.736389160E-2,-1.831291809E0
3.038887499E-2,-1.029514114E1,-2.664459229E-2,-6.456074524E-1
4.042887499E-2,-1.002375549E1,-8.187973022E-2,-2.704875183E-1
5.046887501E-2,-9.917775879E0,-6.556365967E-2,-3.141966248E-1
6.050787499E-2,-9.858349457E0,-7.694000244E-2,-3.293151855E-1
7.054787499E-2,-9.615554352E0,-4.101470947E-2,-3.421884155E-1
8.058787501E-2,-9.432485046E0,-8.681945801E-2,-3.884422302E-1
9.062787500E-2,-9.403595123E0,-1.062789917E-1,-4.572990417E-1
1.006678750E-1,-9.530381470E0,-5.972579956E-2,-4.577481079E-1
1.107078750E-1,-9.706116028E0,1.002914429E-2,-4.508624268E-1
1.207468750E-1,-9.831106110E0,5.194198608E-2,-4.649331665E-1
1.307868750E-1,-9.795929260E0,3.652404785E-2,-4.150868225E-1
1.408269167E-1,-9.716145172E0,-1.631607056E-2,-3.832031250E-1
1.508669167E-1,-9.664801941E0,-8.412506104E-2,-3.673361206E-1
1.609069167E-1,-9.672286377E0,-1.407073975E-1,-3.673361206E-1
1.709469167E-1,-9.678124237E0,-1.887574768E-1,-3.778143311E-1
1.809859167E-1,-9.710906067E0,-2.008822632E-1,-3.827540588E-1
1.910259167E-1,-9.721683655E0,-2.233355713E-1,-3.529660034E-1
2.010659167E-1,-9.733808441E0,-2.113604736E-1,-3.891906738E-1
2.111059167E-1,-9.795031128E0,-2.053729248E-1,-4.228706360E-1
2.211459167E-1,-9.789492645E0,-2.031275940E-1,-3.905378723E-1
2.311859167E-1,-9.768236847E0,-1.654060364E-1,-3.564088440E-1
2.412249167E-1,-9.736502838E0,-1.538800049E-1,-3.679348755E-1
2.512649167E-1,-9.736353149E0,-1.255888367E-1,-3.468287659E-1
2.613049167E-1,-9.747130737E0,-1.001417542E-1,-3.489244080E-1
2.713449167E-1,-9.711355133E0,-9.370513916E-2,-3.552113342E-1
2.813849167E-1,-9.728419647E0,-9.385482788E-2,-3.674858093E-1
2.914249167E-1,-9.694889374E0,-1.073268127E-1,-3.263214111E-1
3.014639167E-1,-9.655521240E0,-1.219963074E-1,-2.908451843E-1
3.115039167E-1,-9.682165833E0,-2.019300842E-1,-2.835104370E-1
3.215439167E-1,-9.833800507E0,-2.439926147E-1,-2.082170105E-1
3.315839167E-1,-9.963580627E0,-2.770738220E-1,-2.158511353E-1
3.416239167E-1,-9.889035645E0,-3.254232788E-1,-1.607656860E-1
3.516639167E-1,-9.725575562E0,-1.987866211E-1,-2.228865051E-1
3.617029167E-1,-9.702822876E0,-1.625619507E-1,-3.076103210E-1
3.717429167E-1,-9.482181702E0,-1.041833496E-1,-2.695893860E-1
3.817829167E-1,-9.332343292E0,-6.616241455E-2,-7.155120850E-2
3.918229167E-1,-9.480235748E0,-2.008822632E-1,-9.939331055E-2
4.018629167E-1,-9.665700073E0,-2.200424194E-1,-2.335144043E-2
4.119029167E-1,-9.749226379E0,-2.047741699E-1,2.005828857E-2
4.219429167E-1,-9.777517548E0,-1.778302002E-1,-9.086105347E-2
4.319819167E-1,-9.820029144E0,-1.543290710E-1,-1.941462708E-1
4.420219167E-1,-9.812245331E0,-1.387614441E-1,-2.395019531E-1
4.520619167E-1,-9.826016693E0,-1.435514832E-1,-2.577639771E-1
4.621019167E-1,-9.844877472E0,-1.374142456E-1,-3.007246399E-1
4.721419167E-1,-9.852062531E0,-1.270857239E-1,-3.336561584E-1
4.821819167E-1,-9.847721558E0,-1.164578247E-1,-3.812571716E-1
4.922209167E-1,-9.820328522E0,-7.439529419E-2,-3.996688843E-1
5.022609167E-1,-9.754016418E0,-8.068222046E-2,-3.905378723E-1
5.123009167E-1,-9.722881165E0,-7.259902954E-2,-3.733236694E-1
5.223409167E-1,-9.680818634E0,-7.244934082E-2,-3.131488037E-1
5.323809167E-1,-9.699679413E0,-8.457412720E-2,-2.694396973E-1
5.424209167E-1,-9.772577820E0,-9.954299927E-2,-2.392025757E-1
5.524599167E-1,-9.830207977E0,-5.418731689E-2,-2.445913696E-1
5.624999167E-1,-9.849368134E0,-3.996688843E-2,-2.727328491E-1
5.725399167E-1,-9.867779846E0,-4.385879517E-2,-2.981799316E-1
5.825799167E-1,-9.823322296E0,-5.119354248E-2,-3.394940186E-1
5.926199167E-1,-9.789043579E0,-7.214996338E-2,-3.553610229E-1
6.026599167E-1,-9.773625641E0,-1.073268127E-1,-3.721261597E-1
6.126989167E-1,-9.700577545E0,-1.212478638E-1,-3.791615295E-1
6.227389167E-1,-9.658065948E0,-9.969268799E-2,-3.692820740E-1
6.327789167E-1,-9.634415131E0,-3.442840576E-2,-3.448828125E-1
6.428189167E-1,-9.583371277E0,-2.844085693E-2,-3.094065857E-1
6.528589167E-1,-9.641151123E0,-1.035845947E-1,-2.793191528E-1
6.628989167E-1,-9.697434082E0,-1.559756470E-1,-3.007246399E-1
6.729379167E-1,-9.721234589E0,-1.721420288E-1,-3.571572876E-1
6.829779167E-1,-9.674082642E0,-1.191522217E-1,-4.459226990E-1
6.930179167E-1,-9.643845520E0,-1.642085266E-1,-5.182223511E-1
7.030579167E-1,-9.711055756E0,-2.383044434E-1,-5.360353088E-1
7.130979167E-1,-9.807155914E0,-2.827619934E-1,-5.409750366E-1
7.231379167E-1,-9.828561401E0,-1.913021851E-1,-5.930667114E-1
7.331769167E-1,-9.736502838E0,-6.900650024E-2,-6.653663635E-1
7.432169167E-1,-9.685159607E0,-1.227447510E-2,-6.988966370E-1
7.532569167E-1,-9.695787506E0,3.742218018E-2,-6.638694763E-1
7.632969167E-1,-9.707762604E0,5.164260864E-2,-6.608757019E-1
