"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.778875001E-3,1.701757461E-1,4.132974744E-1,-1.444180682E-2
1.281887499E-2,6.367939711E-2,1.565620601E-1,-8.466739208E-3
2.285887499E-2,6.046368927E-2,-2.972113900E-3,-9.370716289E-3
3.289887501E-2,1.144483536E-1,-4.115758091E-2,-6.816211622E-3
4.293887501E-2,1.292789876E-1,-6.414988637E-2,7.542310050E-4
5.297887500E-2,1.223449111E-1,-6.743463129E-2,1.529642195E-2
6.301787499E-2,1.170947477E-1,-7.182607055E-2,1.934468746E-2
7.305787501E-2,1.016683877E-1,-4.790848494E-2,5.610233173E-3
8.309787500E-2,7.820744067E-2,5.124562886E-4,-1.083457470E-2
9.313787500E-2,5.925239250E-2,4.166654870E-2,-1.383196283E-2
1.031778750E-1,4.798623547E-2,6.214521080E-2,-8.677500300E-3
1.132178750E-1,3.858128190E-2,4.754629359E-2,-6.702767219E-3
1.232568750E-1,3.865261376E-2,2.361647971E-2,-8.983789943E-3
1.332968750E-1,4.306493700E-2,7.369600236E-3,-1.469414029E-2
1.433369167E-1,4.533019662E-2,4.013814963E-3,-1.659538411E-2
1.533769167E-1,4.197141901E-2,7.862615399E-3,-1.809873804E-2
1.634169167E-1,3.928652778E-2,1.236997265E-2,-1.762476563E-2
1.734569167E-1,3.412638605E-2,1.908646524E-2,-1.204677485E-2
1.834959167E-1,3.436015174E-2,3.355884925E-2,-6.269350182E-3
1.935359167E-1,3.330953419E-2,4.572230577E-2,-6.954581942E-3
2.035759167E-1,2.883325890E-2,4.445002228E-2,-4.789983854E-3
2.136159167E-1,2.758370340E-2,4.032611474E-2,-4.134579562E-3
2.236559167E-1,2.847159468E-2,3.712510690E-2,-4.930870142E-3
2.336959167E-1,2.811712772E-2,2.992338687E-2,-8.159686811E-3
2.437349167E-1,2.549415454E-2,2.552071586E-2,-5.926372949E-3
2.537749167E-1,2.831444144E-2,2.826084197E-2,-4.660838749E-3
2.638149167E-1,2.352694422E-2,3.944763169E-2,-8.805744350E-3
2.738549167E-1,2.388327383E-2,4.542003572E-2,-8.966599591E-3
2.838949167E-1,2.637705952E-2,4.675614461E-2,-1.504419930E-2
2.939349167E-1,2.882796526E-2,5.630890280E-2,-2.227867581E-2
3.039739167E-1,3.077206016E-2,6.650737673E-2,-2.560643665E-2
3.140139167E-1,3.590423986E-2,9.115307033E-2,-1.824865676E-2
3.240539167E-1,4.078373313E-2,9.409280866E-2,-5.336820614E-3
3.340939167E-1,4.885178059E-2,9.512371570E-2,5.213025957E-3
3.441339167E-1,5.570919812E-2,9.033613652E-2,8.601128124E-3
3.541739167E-1,5.213709921E-2,6.713441014E-2,1.031220891E-2
3.642129167E-1,4.547004402E-2,4.537738115E-2,2.260478446E-3
3.742529167E-1,5.978693068E-2,4.677953571E-2,-2.609153464E-2
3.842929167E-1,7.232012600E-2,3.918245807E-2,-3.678619862E-2
3.943329167E-1,8.518905938E-2,2.256167121E-2,-3.819474578E-2
4.043729167E-1,8.744840324E-2,6.799598038E-2,-2.695638873E-2
4.144129167E-1,8.222753555E-2,1.085607186E-1,-2.018503472E-2
4.244529167E-1,7.399818301E-2,1.123779491E-1,-1.422736421E-2
4.344919167E-1,6.222034618E-2,9.846186638E-2,-9.274950251E-3
4.445319167E-1,5.509683117E-2,9.235085547E-2,-4.895440303E-3
4.545719167E-1,4.689269513E-2,9.117347002E-2,-2.630155534E-3
4.646119167E-1,4.267235473E-2,8.674049377E-2,1.468832372E-3
4.746519167E-1,3.672498465E-2,7.747615874E-2,4.728008993E-3
4.846919167E-1,2.842874080E-2,6.639931351E-2,7.535135373E-3
4.947309167E-1,2.019824274E-2,5.419297516E-2,8.848340251E-3
5.047709167E-1,1.124975085E-2,4.612791538E-2,1.188367512E-2
5.148109167E-1,1.322284690E-3,4.367328063E-2,1.312497444E-2
5.248509167E-1,-1.098681521E-2,4.178471491E-2,1.139646769E-2
5.348909167E-1,-1.742074639E-2,4.296209663E-2,1.292911638E-2
5.449309167E-1,-2.433116361E-2,4.290277883E-2,1.700652204E-2
5.549699167E-1,-2.857837267E-2,3.772133216E-2,1.732397079E-2
5.650099167E-1,-2.904761396E-2,3.517710790E-2,1.743769273E-2
5.750499167E-1,-2.851418220E-2,2.757031843E-2,1.504963636E-2
5.850899167E-1,-2.741741575E-2,1.912125014E-2,1.224324387E-2
5.951299167E-1,-2.687226608E-2,1.248598471E-2,9.253579192E-3
6.051699167E-1,-2.725422755E-2,8.978627622E-3,5.659471266E-3
6.152089167E-1,-2.541691437E-2,6.988713518E-3,4.946809262E-3
6.252489167E-1,-2.868540026E-2,9.698370472E-3,7.922629826E-3
6.352889167E-1,-3.114696033E-2,1.489659399E-2,3.967303317E-3
6.453289167E-1,-2.744377591E-2,1.795872673E-2,-2.714797156E-3
6.553689167E-1,-1.604518108E-2,1.566787437E-2,-6.135361269E-3
6.654089167E-1,-3.835420590E-3,1.150872279E-2,-1.034823712E-2
6.754479167E-1,-9.757182561E-4,1.534553897E-2,-7.162030786E-3
6.854879167E-1,1.283746329E-3,2.433880605E-2,-1.410872955E-2
6.955279167E-1,4.436662886E-3,2.942597680E-2,-1.690904424E-2
7.055679167E-1,9.447614662E-3,3.004848398E-2,-1.567549817E-2
7.156079167E-1,1.674840413E-2,3.618787229E-2,-5.050019361E-3
7.256479167E-1,1.729406044E-2,3.608247265E-2,5.372512620E-3
