"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-3.157750005E-3,-8.829688568E0,1.710942078E-1,2.659369812E0
6.882250003E-3,-8.731941833E0,2.935395813E-1,2.584226074E0
1.692225000E-2,-8.857231293E0,5.731581116E-1,3.915856934E0
2.696325000E-2,-8.973090363E0,7.867639160E-1,4.361779633E0
3.700324999E-2,-8.829389191E0,9.312135315E-1,4.123924255E0
4.704325000E-2,-8.839118958E0,9.357041931E-1,3.820056152E0
5.708324999E-2,-9.039252777E0,1.197958832E0,3.676654358E0
6.712325000E-2,-9.330547028E0,1.330583038E0,3.943399658E0
7.716425000E-2,-9.327553253E0,1.186732178E0,3.910468140E0
8.720425000E-2,-9.135652313E0,1.167422333E0,3.629203033E0
9.724424999E-2,-9.004674683E0,1.010099487E0,3.673061829E0
1.072842500E-1,-9.159303131E0,9.105564880E-1,4.034410400E0
1.173242500E-1,-9.510173492E0,7.779322815E-1,4.542603607E0
1.273652500E-1,-9.761500854E0,6.033952332E-1,4.945415955E0
1.374052500E-1,-9.814191284E0,4.694238281E-1,4.917573853E0
1.474452500E-1,-9.817634125E0,3.299139404E-1,4.637506256E0
1.574852500E-1,-9.795929260E0,2.525248718E-1,4.327800293E0
1.675252500E-1,-9.482032013E0,3.963757324E-1,3.898642731E0
1.775652500E-1,-9.139095154E0,5.822891235E-1,3.666176147E0
1.876062500E-1,-8.609197083E0,7.873626709E-1,3.460354156E0
1.976462500E-1,-8.179889832E0,8.053253174E-1,3.180136871E0
2.076862500E-1,-7.863447876E0,8.452922058E-1,2.762056274E0
2.177262500E-1,-7.508086853E0,1.078357544E0,2.654280396E0
2.277662500E-1,-7.264243927E0,1.176403656E0,2.944676514E0
2.378072500E-1,-7.355703735E0,1.177152100E0,2.968327332E0
2.478472500E-1,-7.699089661E0,1.468446350E0,3.452121277E0
2.578872500E-1,-7.744595032E0,2.370171204E0,3.920646973E0
2.679272500E-1,-6.774312744E0,1.701811066E0,1.559008026E0
2.779672500E-1,-7.039112091E0,6.370751953E-1,1.031804352E0
2.880072500E-1,-7.817792816E0,5.138813782E-1,7.345225525E-1
2.980482500E-1,-8.504265289E0,5.688171387E-2,-4.620890808E-1
3.080882500E-1,-9.689500580E0,-8.996292114E-2,-5.578898621E-1
3.181282500E-1,-1.197150513E1,1.648072815E-1,-6.575825500E-1
3.281682500E-1,-1.399544632E1,7.170089722E-2,-9.942324829E-1
3.382082500E-1,-1.460692474E1,-1.222956848E-1,-1.342109070E0
3.482492500E-1,-1.369547012E1,-1.508862305E-1,-2.098785553E0
3.582892500E-1,-1.211505661E1,3.143463135E-1,-1.952689362E0
3.683292500E-1,-1.134356094E1,8.096662903E-1,-1.406774597E0
3.783692500E-1,-1.092248657E1,1.094074860E0,-8.065228271E-1
3.884092500E-1,-1.038196060E1,1.020128632E0,-5.026547241E-1
3.984502500E-1,-9.783205719E0,6.538403320E-1,-2.863545227E-1
4.084902500E-1,-9.208251343E0,4.421804810E-1,1.863624573E-1
4.185302500E-1,-8.615633698E0,-4.266128540E-2,2.109114075E-1
4.285702500E-1,-8.422086182E0,-6.024971008E-1,1.606159973E-1
4.386102500E-1,-8.399782562E0,-8.006849670E-1,2.309696960E-1
4.486502500E-1,-8.457263031E0,-7.987390137E-1,4.385879517E-2
4.586912500E-1,-8.644673309E0,-8.018824768E-1,-2.011816406E-1
4.687312500E-1,-8.880433044E0,-6.722520447E-1,-2.662962341E-1
4.787712500E-1,-9.147926788E0,-5.394781494E-1,-3.158432007E-1
4.888112500E-1,-9.445507965E0,-4.761598206E-1,-3.781137085E-1
4.988512500E-1,-9.751920776E0,-3.841012573E-1,-4.894821167E-1
5.088922500E-1,-9.966275024E0,-2.857557678E-1,-6.200106812E-1
5.189322500E-1,-1.013242950E1,-2.402503967E-1,-7.318281555E-1
5.289722500E-1,-1.023766068E1,-2.010319519E-1,-8.496331787E-1
5.390122500E-1,-1.022568558E1,-2.427951050E-1,-9.451345825E-1
5.490522500E-1,-1.014979340E1,-2.646496582E-1,-1.086740112E0
5.590932500E-1,-1.000549347E1,-2.374063110E-1,-1.216819611E0
5.691332500E-1,-9.866432648E0,-1.830693054E-1,-1.233584747E0
5.791732500E-1,-9.779762878E0,-1.811233521E-1,-1.089733887E0
5.892132500E-1,-9.761949921E0,-2.118095398E-1,-8.837622070E-1
5.992532500E-1,-9.814041595E0,-2.966830444E-1,-7.261399841E-1
6.092942500E-1,-9.778864746E0,-3.080593872E-1,-6.990463257E-1
6.193342500E-1,-9.672735443E0,-3.103047180E-1,-6.971003723E-1
6.293742500E-1,-9.492959290E0,-2.583627319E-1,-6.548881531E-1
6.394142500E-1,-9.317673798E0,-1.251397705E-1,-5.821394348E-1
6.494542500E-1,-9.256750488E0,-4.490661621E-3,-5.882766724E-1
6.594942500E-1,-9.305099945E0,5.568420410E-2,-6.024971008E-1
6.695352500E-1,-9.523346100E0,9.924362183E-2,-6.069877625E-1
6.795752500E-1,-9.806108093E0,7.409591675E-2,-6.854246521E-1
6.896152500E-1,-9.968819733E0,1.179547119E-1,-7.758366394E-1
6.996552500E-1,-1.001193008E1,2.213896179E-1,-8.247848511E-1
7.096952500E-1,-9.954599304E0,3.501219177E-1,-8.409512329E-1
7.197362500E-1,-9.810898132E0,4.305047607E-1,-8.066725159E-1
7.297762500E-1,-9.637259216E0,4.493655396E-1,-8.187973022E-1
7.398162500E-1,-9.482481079E0,4.349954224E-1,-8.265811157E-1
7.498562500E-1,-9.397906952E0,3.556604004E-1,-7.734416199E-1
7.598962500E-1,-9.400152283E0,2.926414490E-1,-7.352709961E-1
7.699372500E-1,-9.448501740E0,2.742297363E-1,-7.436535645E-1
7.799772500E-1,-9.593999176E0,2.555186462E-1,-6.423143005E-1
7.900172500E-1,-9.887239380E0,2.291734314E-1,-5.129832458E-1
8.000572500E-1,-1.020338196E1,8.442443848E-2,-3.225791931E-1
8.100972500E-1,-1.045381119E1,-1.399589539E-1,-3.589535522E-1
8.201382500E-1,-1.053015244E1,-3.119512939E-1,-6.288423157E-1
8.301782500E-1,-1.038854691E1,-3.025209045E-1,-9.128018188E-1
8.402182500E-1,-1.008587631E1,-9.669891357E-2,-1.100661163E0
8.502582500E-1,-9.699080658E0,1.836680603E-1,-1.090482330E0
8.602982500E-1,-9.358239441E0,2.987786865E-1,-9.686357117E-1
8.703391250E-1,-9.191336517E0,2.604583740E-1,-7.858657837E-1
8.803791250E-1,-9.232949982E0,2.091151428E-1,-6.988966370E-1
8.904191250E-1,-9.397158508E0,8.577163696E-2,-6.927593994E-1
9.004591250E-1,-9.775122528E0,1.571731567E-2,-7.232958984E-1
9.104991250E-1,-1.010383896E1,-5.718109131E-2,-8.984317017E-1
9.205401250E-1,-1.030756531E1,-1.176553345E-1,-1.075363770E0
9.305801250E-1,-1.032388138E1,-1.929487610E-1,-1.116528168E0
9.406201250E-1,-1.020323227E1,-2.782713318E-1,-1.010249176E0
9.506601250E-1,-1.002091141E1,-3.661386108E-1,-8.443940735E-1
9.607001250E-1,-9.842332764E0,-2.894979858E-1,-7.622149658E-1
9.707401250E-1,-9.630672913E0,-3.309617615E-1,-6.486012268E-1
9.807811250E-1,-9.481433258E0,-3.541635132E-1,-5.827381897E-1
9.908211250E-1,-9.361083527E0,-3.197351074E-1,-6.080355835E-1
1.000861125E0,-9.327852631E0,-3.138972473E-1,-6.322851562E-1
1.010901125E0,-9.379644928E0,-2.930905151E-1,-6.809339905E-1
