"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.127750000E-2,2.235313505E-1,-4.306579381E-2,1.500874758E-1
2.131850000E-2,2.924225330E-1,-1.138068140E-1,1.581808180E-1
3.135850000E-2,2.927882969E-1,-8.883348107E-2,1.401423961E-1
4.139850001E-2,2.225099057E-1,-1.059806347E-2,9.876486659E-2
5.143950001E-2,1.666757762E-1,2.211454138E-2,6.725519150E-2
6.147950000E-2,1.489343196E-1,-1.704697683E-2,4.254371673E-2
7.152050000E-2,1.522634923E-1,-1.522117853E-2,3.680219129E-2
8.156050000E-2,1.592628211E-1,-5.474701524E-2,3.667356074E-2
9.160150000E-2,1.744515896E-1,-6.239541247E-2,3.667754307E-2
1.016415000E-1,1.684323102E-1,-5.221255124E-2,3.499335796E-2
1.116815000E-1,1.625460833E-1,-3.766303509E-2,3.695356473E-2
1.217225000E-1,1.464725733E-1,-1.966379583E-2,3.782468289E-2
1.317625000E-1,1.130108684E-1,-1.040139645E-1,2.822892740E-2
1.418035000E-1,1.065881252E-1,-1.172626615E-1,2.389543131E-2
1.518435000E-1,9.777554870E-2,-7.332955301E-2,2.259682864E-2
1.618835000E-1,8.075821400E-2,-2.436733991E-2,2.194062620E-2
1.719245000E-1,5.828160048E-2,2.944276296E-2,2.736305632E-2
1.819645000E-1,4.870567098E-2,6.701330096E-2,3.637625650E-2
1.920055000E-1,6.328868866E-2,7.751927525E-2,5.028234422E-2
2.020455000E-1,7.646893710E-2,3.875909746E-2,6.364981830E-2
2.120855000E-1,6.798043847E-2,1.285978965E-2,6.809962541E-2
2.221265000E-1,4.477471486E-2,-2.726046555E-2,6.446174532E-2
2.321665000E-1,4.466005042E-2,-7.767723501E-2,5.979813263E-2
2.422075000E-1,3.525429964E-2,-8.296707273E-2,4.292407632E-2
2.522475000E-1,2.130991779E-2,-4.321786389E-2,2.477143519E-2
2.622885000E-1,1.222214755E-2,-7.100603543E-3,1.139570866E-2
2.723285000E-1,1.475046203E-2,3.907893598E-2,6.001003087E-3
2.823685000E-1,1.157437637E-2,9.900140017E-2,4.607104231E-3
2.924095000E-1,6.256017834E-3,1.118695959E-1,1.690481440E-3
3.024495000E-1,1.936489530E-2,1.050222665E-2,-6.640192005E-4
3.124905000E-1,3.730097413E-2,-1.059731841E-1,-4.416239914E-3
3.225305000E-1,4.697464034E-2,-1.315808147E-1,-3.137123771E-3
3.325705000E-1,4.129412770E-2,-1.116911247E-1,-1.041670796E-3
3.426115000E-1,2.221524343E-2,-7.908204943E-2,2.121099271E-3
3.526515000E-1,9.693336673E-3,-4.136003926E-2,2.172059380E-3
3.626925000E-1,-1.296197297E-3,-4.042260721E-2,1.871122164E-3
3.727325000E-1,9.471265599E-3,-5.481366813E-2,7.807333022E-3
3.827725000E-1,2.008955553E-2,-1.963490620E-2,1.056317147E-2
3.928135000E-1,1.280753314E-2,4.983631149E-2,2.930771327E-3
4.028535000E-1,1.233435352E-3,9.700489044E-2,-8.088590577E-3
4.128945000E-1,-1.853595721E-3,1.396753192E-1,-1.935665496E-2
4.229345000E-1,-4.698352516E-2,2.060580701E-1,-4.245504737E-2
4.329745000E-1,-8.728315681E-2,1.741753072E-1,-6.979759783E-2
4.430155000E-1,-1.421259046E-1,2.455344498E-1,-5.632067472E-2
4.530555000E-1,-1.278667748E-1,3.350496888E-1,-6.558422744E-2
4.630965000E-1,-1.914108545E-1,5.265131593E-1,-6.917629391E-2
4.731365000E-1,-3.150155544E-1,8.355566859E-1,-9.015991539E-2
4.831765000E-1,-4.021584392E-1,1.107756734E0,-1.200797334E-1
4.932175000E-1,-4.109139144E-1,1.296401024E0,-1.496320665E-1
5.032575000E-1,-2.190542072E-1,1.291122317E0,-8.511964977E-2
5.132985000E-1,1.086628437E-2,1.367077470E0,1.131038088E-2
5.233385000E-1,1.621620655E-1,1.747073293E0,1.027574688E-1
5.333785000E-1,2.249234170E-1,2.489745140E0,1.812973619E-1
5.434195000E-1,2.084043622E-1,3.467772245E0,2.412853390E-1
5.534595000E-1,1.581920832E-1,4.507084370E0,3.073166311E-1
5.635005000E-1,1.259824783E-1,5.504172802E0,3.684755862E-1
5.735405000E-1,1.318463981E-1,6.331875324E0,3.997691274E-1
5.835805000E-1,1.568500251E-1,7.033726692E0,4.484687746E-1
5.936215000E-1,1.466188487E-2,7.951496124E0,3.916917145E-1
6.036615000E-1,-3.403667826E-3,8.312338829E0,4.106406569E-1
6.137025000E-1,-1.347543150E-1,8.437223434E0,2.936144173E-1
6.237425000E-1,5.936163664E-2,6.923060417E0,3.140877187E-1
6.337825000E-1,3.845679462E-1,4.637623310E0,6.102337241E-1
6.438235000E-1,4.227427542E-1,2.981263161E0,6.876677871E-1
6.538635000E-1,2.779912055E-1,2.001809120E0,5.306325555E-1
6.639045000E-1,6.254891306E-2,1.425347209E0,3.246751130E-1
6.739445000E-1,-5.526528135E-2,9.753741622E-1,1.901481301E-1
6.839845000E-1,-4.970007390E-2,5.460970998E-1,1.592552066E-1
6.940255000E-1,2.198033035E-2,2.678950131E-1,1.456868947E-1
7.040655000E-1,4.198599607E-2,1.329515725E-1,8.874982595E-2
7.141065000E-1,2.111723274E-2,5.309089646E-2,2.459694399E-3
7.241465000E-1,-4.897929728E-2,-3.314572200E-2,2.300997637E-2
