"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.161791668E-3,-6.727310486E0,5.096900940E-1,6.363566895E0
1.120179167E-2,-7.088060303E0,3.727249146E-1,6.835385742E0
2.124279166E-2,-7.339237976E0,1.182540894E-2,6.648125153E0
3.128279166E-2,-7.231013031E0,4.384382629E-1,6.666836243E0
4.132379167E-2,-6.948700104E0,1.105151825E0,6.353088684E0
5.136379167E-2,-6.597979431E0,6.780899048E-1,6.662345581E0
6.140379167E-2,-6.084397430E0,1.108444977E0,6.138584747E0
7.144479167E-2,-6.410269775E0,9.524693298E-1,6.481371918E0
8.148479167E-2,-6.911277924E0,7.963439941E-1,6.450835419E0
9.152479166E-2,-6.804998932E0,7.752378845E-1,6.649023285E0
1.015657917E-1,-6.738537140E0,8.596623230E-1,6.810537415E0
1.116057917E-1,-6.641688538E0,9.087602234E-1,6.670129395E0
1.216467917E-1,-6.622528381E0,1.023721161E0,6.758146362E0
1.316867917E-1,-6.586303711E0,1.033600616E0,6.639892273E0
1.417267917E-1,-6.604865112E0,1.091081085E0,6.777306519E0
1.517677917E-1,-6.675218811E0,1.094074860E0,6.951693878E0
1.618077917E-1,-6.790329437E0,1.055604858E0,6.892267456E0
1.718487917E-1,-7.106022949E0,9.695338440E-1,6.896758118E0
1.818887917E-1,-7.065008240E0,8.577163696E-1,6.922055511E0
1.919287917E-1,-7.022646332E0,9.223818970E-1,7.014563141E0
2.019697917E-1,-6.925498352E0,8.822653198E-1,6.974147186E0
2.120097917E-1,-6.777755585E0,9.349557495E-1,6.813980255E0
2.220497917E-1,-6.656058655E0,9.113049316E-1,6.751260681E0
2.320907917E-1,-6.647676086E0,9.485774231E-1,6.934629364E0
2.421307917E-1,-6.656807098E0,9.762698364E-1,6.868167572E0
2.521717917E-1,-6.675368500E0,9.153465271E-1,6.701713715E0
2.622117917E-1,-6.838828583E0,9.961784363E-1,6.829996948E0
2.722517917E-1,-7.174430695E0,9.226812744E-1,6.886279907E0
2.822927917E-1,-7.254065094E0,8.978329468E-1,7.103478241E0
2.923327917E-1,-6.964567108E0,9.916877747E-1,7.041357422E0
3.023727917E-1,-6.886579285E0,9.668394470E-1,7.140750732E0
3.124137917E-1,-6.760691071E0,1.020727386E0,6.926695862E0
3.224537917E-1,-6.672075348E0,9.446855164E-1,6.574478302E0
3.324947917E-1,-6.759044495E0,9.364526367E-1,6.605014801E0
3.425347917E-1,-6.826853485E0,9.839039612E-1,6.518045654E0
3.525747917E-1,-6.959178314E0,8.952882385E-1,6.682703247E0
3.626157917E-1,-7.010072479E0,9.457333374E-1,6.928192749E0
3.726557917E-1,-7.053182831E0,1.019230499E0,7.204967194E0
3.826967917E-1,-6.934479675E0,1.005010071E0,7.043602753E0
3.927367917E-1,-6.788832550E0,9.958790588E-1,6.879543915E0
4.027767917E-1,-6.734794922E0,9.828561401E-1,6.750362549E0
4.128177917E-1,-6.776707764E0,9.315129089E-1,6.725514221E0
4.228577917E-1,-6.767726440E0,8.973838806E-1,6.651118927E0
4.328977917E-1,-6.856491852E0,8.240364075E-1,6.651567993E0
4.429387917E-1,-6.865024109E0,7.050338745E-1,6.640640717E0
4.529787917E-1,-6.829248505E0,6.798861694E-1,6.581813049E0
4.630197917E-1,-6.792125702E0,6.348298645E-1,6.535858612E0
4.730597917E-1,-6.710994415E0,6.218069458E-1,6.408323822E0
4.830997917E-1,-6.668782196E0,5.715115356E-1,6.298302612E0
4.931407917E-1,-6.337670746E0,6.539900208E-1,5.644013214E0
5.031807917E-1,-6.224057007E0,8.358618164E-1,5.334007874E0
