"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.120179167E-2,-7.149234414E-2,4.785359502E-1,7.246103138E-2
2.124279166E-2,-1.933836937E-2,3.000617623E-1,1.548971683E-1
3.128279166E-2,-3.818000667E-3,6.341698021E-2,1.500073373E-1
4.132379167E-2,4.024470598E-2,7.067655027E-2,1.557337046E-1
5.136379167E-2,6.049111858E-2,1.374300122E-1,1.132778525E-1
6.140379167E-2,4.765987769E-2,1.071874127E-1,4.482997581E-2
7.144479167E-2,9.546015412E-2,-4.654382914E-2,3.943600878E-2
8.148479167E-2,8.708187193E-2,-1.160793900E-1,2.697281539E-2
9.152479166E-2,1.055753902E-1,-1.127616242E-1,2.883250080E-2
1.015657917E-1,7.989757508E-2,-5.173937604E-2,2.366834134E-2
1.116057917E-1,5.590862036E-2,-6.376420148E-3,1.414221525E-2
1.216467917E-1,2.083606087E-2,5.123003200E-2,1.589586493E-3
1.316867917E-1,-1.395334490E-2,1.019371524E-1,-1.373424195E-2
1.417267917E-1,-8.056765422E-3,1.365469247E-1,-1.345453225E-2
1.517677917E-1,-9.559788741E-4,1.574881524E-1,-1.865009405E-2
1.618077917E-1,3.054798022E-2,4.774029180E-2,2.626126399E-3
1.718487917E-1,3.018445894E-2,-4.328256100E-2,2.036091499E-2
1.818887917E-1,4.473456368E-2,-9.466598928E-2,3.628175333E-2
1.919287917E-1,3.702631220E-2,-9.721329808E-2,4.232819378E-2
2.019697917E-1,2.187621593E-2,-7.257463038E-2,3.582715988E-2
2.120097917E-1,-1.060635969E-2,-2.121130750E-2,2.218165807E-2
2.220497917E-1,-2.485357039E-2,3.322030604E-2,9.101048112E-3
2.320907917E-1,-9.251707233E-3,8.963803947E-2,-1.520969439E-3
2.421307917E-1,-1.869428530E-2,2.008331418E-1,-1.395534445E-2
2.521717917E-1,-1.667897683E-3,2.419113368E-1,-1.296544820E-2
2.622117917E-1,8.160116849E-4,1.351667047E-1,-1.206145342E-2
2.722517917E-1,3.349210368E-3,-1.439455058E-2,2.069546143E-3
2.822927917E-1,-2.822454087E-3,-8.390606940E-2,2.975145122E-3
2.923327917E-1,-5.919444375E-3,-7.955366373E-2,4.544632102E-4
3.023727917E-1,1.092564198E-3,-2.130012028E-2,-1.367151039E-3
3.124137917E-1,-1.934666373E-2,7.053498924E-2,-1.184562501E-2
3.224537917E-1,-3.940078244E-2,1.807851046E-1,-1.226539817E-2
3.324947917E-1,-3.669767454E-2,1.945693642E-1,-8.636841550E-3
3.425347917E-1,-4.366079345E-2,1.157759503E-1,-5.659849383E-3
3.525747917E-1,-3.982477635E-2,6.701666117E-2,-3.745569382E-3
3.626157917E-1,-6.737207528E-3,1.598181017E-2,7.385091856E-3
3.726557917E-1,1.109878160E-2,-3.504675254E-2,8.554486558E-3
3.826967917E-1,1.111681922E-3,3.132662969E-3,-8.404633263E-4
3.927367917E-1,-1.328989398E-2,7.908841223E-2,-1.123557985E-2
4.027767917E-1,-3.538342193E-2,1.403164417E-1,-1.619211957E-2
4.128177917E-1,-5.430811271E-2,2.002753764E-1,-2.259116247E-2
4.228577917E-1,-6.730673462E-2,2.041463554E-1,-3.170271963E-2
4.328977917E-1,-7.421071082E-2,2.174890488E-1,-3.415575624E-2
4.429387917E-1,-8.270535618E-2,2.759809196E-1,-4.048031569E-2
4.529787917E-1,-8.848202229E-2,3.688418865E-1,-5.039792880E-2
4.630197917E-1,-1.026522890E-1,5.154758096E-1,-6.408835202E-2
4.730597917E-1,-1.249647886E-1,7.498595715E-1,-7.629921287E-2
4.830997917E-1,-1.681571603E-1,1.117846847E0,-8.323410898E-2
4.931407917E-1,-2.645148635E-1,1.445320606E0,-1.409325749E-1
5.031807917E-1,-2.803247869E-1,1.724282622E0,-1.618102342E-1
5.132217917E-1,-2.442610413E-1,1.971274257E0,-1.726146787E-1
5.232617917E-1,-2.009488791E-1,2.233342171E0,-1.601165533E-1
5.333017917E-1,-1.473905742E-1,2.523893833E0,-1.374461353E-1
5.433427917E-1,-9.811359644E-2,2.819583178E0,-1.287316233E-1
5.533827917E-1,-1.105569452E-1,3.208194256E0,-1.105731353E-1
5.634227917E-1,-8.398509026E-2,3.649881363E0,-3.419629857E-2
5.734637917E-1,-1.020988449E-1,4.100422382E0,-2.324458025E-2
5.835037917E-1,-1.863733977E-1,4.550591469E0,-3.423741087E-2
5.935447917E-1,-2.439493388E-1,5.009025097E0,-1.085792854E-1
6.035847917E-1,-2.790167332E-1,5.030698776E0,-1.818172485E-1
6.136247917E-1,-2.813869417E-1,4.608132839E0,-2.285906076E-1
6.236657917E-1,-2.308229357E-1,3.989650726E0,-2.383372933E-1
6.337057917E-1,-1.741460711E-1,3.443072081E0,-1.886320561E-1
6.437457917E-1,5.626047775E-2,3.118025780E0,-6.531018019E-2
6.537867917E-1,2.376742065E-1,2.889652491E0,5.105850846E-2
6.638267917E-1,3.309818506E-1,2.953470707E0,1.263131350E-1
6.738677917E-1,2.032923251E-1,2.986552000E0,1.707019061E-1
6.839077917E-1,1.349395663E-1,3.070903301E0,1.778438687E-1
6.939477917E-1,6.846628338E-2,3.159351587E0,1.287503690E-1
7.039887917E-1,9.111454338E-2,3.104100943E0,7.062892616E-2
7.140287917E-1,-7.661303505E-3,2.921231270E0,2.253783122E-2
7.240687917E-1,-1.156670749E-1,2.451949835E0,5.608207732E-2
7.341097917E-1,-9.417376667E-2,1.949171662E0,4.507523403E-2
7.441497917E-1,-7.901383936E-2,1.542695045E0,1.495844591E-2
7.541907917E-1,-8.353455365E-2,1.172026992E0,6.678063422E-2
7.642307917E-1,-5.996271968E-2,7.904410958E-1,1.282097846E-1
7.742707917E-1,-3.083679639E-2,4.498883188E-1,1.830815524E-1
7.843117917E-1,-3.059958667E-2,2.453121245E-1,2.071397156E-1
7.943517917E-1,-3.309256956E-2,1.903625876E-1,2.041572332E-1
8.043927917E-1,-4.662945867E-2,1.552449763E-1,2.210280150E-1
8.144327917E-1,-8.764587343E-2,6.508871913E-2,2.278582305E-1
8.244727917E-1,-1.444553733E-1,-8.343391865E-2,2.442909926E-1
