"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.950041671E-3,-7.071145477E0,3.072360992E0,6.182742920E0
7.089958337E-3,-7.005282440E0,2.748733978E0,6.209237823E0
1.712995833E-2,-7.117399292E0,2.396217041E0,6.540648651E0
2.716995834E-2,-7.178322601E0,2.731370087E0,6.031856689E0
3.720895834E-2,-7.208260345E0,2.634072418E0,6.308481445E0
4.724895833E-2,-7.153324585E0,2.532284088E0,6.465953979E0
5.728895833E-2,-7.079228668E0,2.451901245E0,6.419700165E0
6.732908334E-2,-6.925348663E0,2.375110931E0,6.437812500E0
7.736808334E-2,-6.750212860E0,2.384691010E0,6.527176666E0
8.740808333E-2,-6.698719940E0,2.394570465E0,6.579118652E0
9.744808334E-2,-6.578220520E0,2.377655640E0,6.583759003E0
1.074880833E-1,-6.387068024E0,2.413730621E0,6.681206360E0
1.175270833E-1,-6.245312805E0,2.493365021E0,6.511459351E0
1.275670833E-1,-6.148164825E0,2.594554596E0,6.385271759E0
1.376070833E-1,-6.129154358E0,2.637066193E0,6.445895691E0
1.476470833E-1,-6.246510315E0,2.710563354E0,6.543193359E0
1.576860833E-1,-6.467001801E0,2.697989502E0,6.644682312E0
1.677260833E-1,-6.620881805E0,2.686313782E0,6.570436707E0
1.777660833E-1,-6.729106750E0,2.694995728E0,6.482419739E0
1.878060833E-1,-6.866071930E0,2.717449036E0,6.567742310E0
1.978450833E-1,-7.042704620E0,2.703977051E0,6.534960480E0
2.078850833E-1,-7.148534546E0,2.680475922E0,6.507268066E0
2.179250833E-1,-7.292684784E0,2.642454987E0,6.661896515E0
2.279640833E-1,-7.165449371E0,2.611020355E0,6.394103394E0
2.380040833E-1,-6.935976563E0,2.587818604E0,6.209537201E0
2.480440833E-1,-6.706204376E0,2.629881134E0,6.153403931E0
2.580840833E-1,-6.598727875E0,2.660417633E0,6.200555878E0
2.681230833E-1,-6.788383484E0,2.633773041E0,6.323300629E0
2.781630833E-1,-6.935976563E0,2.644999695E0,6.428082733E0
2.882030833E-1,-6.971003723E0,2.650388489E0,6.468798065E0
2.982430833E-1,-6.903943176E0,2.639610901E0,6.459217987E0
3.082820833E-1,-6.776558075E0,2.641706543E0,6.388415222E0
3.183220833E-1,-6.753955078E0,2.666105804E0,6.434669037E0
3.283620833E-1,-6.823260956E0,2.657573547E0,6.444997559E0
3.384020833E-1,-6.856791229E0,2.630479889E0,6.314169617E0
3.484410833E-1,-6.904541931E0,2.589016113E0,6.361920319E0
3.584810833E-1,-7.121740265E0,2.597847748E0,6.528074799E0
3.685210833E-1,-7.173831940E0,2.599194946E0,6.358776855E0
3.785610833E-1,-6.956034851E0,2.586022339E0,6.254144440E0
3.886000833E-1,-6.769373016E0,2.628234558E0,6.131699066E0
3.986400833E-1,-6.716532898E0,2.673739929E0,6.110742645E0
4.086800833E-1,-6.730753326E0,2.693199463E0,6.124064941E0
4.187190833E-1,-6.764882355E0,2.691852264E0,6.151457977E0
4.287590833E-1,-6.802005157E0,2.702779541E0,6.157146149E0
4.387990833E-1,-6.811884613E0,2.691852264E0,6.131998444E0
4.488390833E-1,-6.920558624E0,2.685415649E0,6.245163116E0
4.588780833E-1,-7.207511902E0,2.650538177E0,6.365662537E0
4.689180833E-1,-7.405400391E0,2.687511292E0,6.467899933E0
4.789580833E-1,-7.457791443E0,2.679278412E0,6.556365967E0
4.889980833E-1,-7.246281281E0,2.654879150E0,6.359076233E0
4.990370833E-1,-6.986870728E0,2.637365570E0,6.258934479E0
5.090770833E-1,-6.761439514E0,2.648292847E0,6.189179535E0
5.191170833E-1,-6.657555542E0,2.662363586E0,6.130950623E0
5.291570833E-1,-6.665638733E0,2.636168060E0,6.104455719E0
5.391960833E-1,-6.700516205E0,2.603086853E0,6.142177277E0
5.492360833E-1,-6.643484802E0,2.572101288E0,6.058650970E0
5.592760833E-1,-6.714886322E0,2.520159302E0,5.921087036E0
5.693160833E-1,-6.709647217E0,2.507435760E0,5.823190613E0
5.793550833E-1,-6.527775421E0,2.525248718E0,5.615572357E0
5.893950833E-1,-6.461313629E0,2.510579224E0,5.467530212E0
5.994350833E-1,-6.331533508E0,2.453547821E0,5.249433746E0
6.094740833E-1,-6.382876740E0,2.133213959E0,5.422324219E0
6.195140833E-1,-5.720504150E0,2.548001404E0,4.703818359E0
6.295540833E-1,-6.244863739E0,2.248324585E0,4.645290070E0
6.395940833E-1,-6.750811615E0,2.177222443E0,4.679119720E0
6.496330833E-1,-7.040459290E0,2.318378906E0,4.437222748E0
6.596730833E-1,-7.988887024E0,1.995051270E0,4.595443726E0
6.697130833E-1,-9.388476563E0,1.805096283E0,4.000580750E0
