"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.085041674E-3,-6.794820099E0,5.626799011E-1,6.604116669E0
1.512504167E-2,-6.778354340E0,5.020559692E-1,6.424041138E0
2.516404167E-2,-6.625671844E0,5.436694336E-1,6.408473511E0
3.520404168E-2,-6.561605072E0,5.595364380E-1,6.658603363E0
4.524404167E-2,-6.741979980E0,5.041516113E-1,6.986571350E0
5.528404168E-2,-6.644382935E0,5.092410278E-1,6.886728973E0
6.532304168E-2,-6.815776520E0,5.394781494E-1,7.060966644E0
7.536304167E-2,-6.830595703E0,5.831872559E-1,6.812782745E0
8.540304167E-2,-6.732998657E0,6.268963623E-1,6.648424530E0
9.544204167E-2,-6.813980255E0,6.750961304E-1,6.718329163E0
1.054820417E-1,-6.788533173E0,7.223977661E-1,6.776857452E0
1.155220417E-1,-6.714137878E0,7.563771057E-1,6.828500061E0
1.255620417E-1,-6.697223053E0,7.869136047E-1,6.894213409E0
1.356010417E-1,-6.804250488E0,7.934999084E-1,7.026687927E0
1.456410417E-1,-6.720275116E0,7.840695190E-1,6.934629364E0
1.556810417E-1,-6.529871063E0,7.614665222E-1,6.777905273E0
1.657210417E-1,-6.548881531E0,7.882608032E-1,6.865922241E0
1.757600417E-1,-6.716233521E0,7.216493225E-1,6.797963562E0
1.858000417E-1,-6.632856903E0,7.333250427E-1,6.692582703E0
1.958400417E-1,-6.796766052E0,7.375163269E-1,6.924749908E0
2.058800417E-1,-6.865173798E0,8.003855896E-1,7.047494659E0
2.159190417E-1,-6.987768860E0,8.487350464E-1,7.144043884E0
2.259590417E-1,-7.131619720E0,7.732919312E-1,7.184010773E0
2.359990417E-1,-6.994504852E0,7.705975342E-1,6.993906097E0
2.460390417E-1,-6.882238312E0,7.316784668E-1,6.881938934E0
2.560780417E-1,-6.838379517E0,7.779322815E-1,6.881190491E0
2.661180417E-1,-6.730603638E0,8.234376526E-1,6.737489319E0
2.761580417E-1,-6.701114960E0,8.294252014E-1,6.649322662E0
2.861980417E-1,-6.727011108E0,8.033793640E-1,6.722370758E0
2.962370417E-1,-6.711742859E0,8.047265625E-1,6.747668152E0
3.062770417E-1,-6.823410645E0,7.695497131E-1,6.841822357E0
3.163170417E-1,-7.150779877E0,7.430548096E-1,7.039710846E0
3.263570417E-1,-7.100484467E0,6.797364807E-1,6.968459015E0
3.363960417E-1,-6.930138702E0,6.770420837E-1,6.867419128E0
3.464360417E-1,-6.855593719E0,6.676116943E-1,6.864724731E0
3.564760417E-1,-6.805148621E0,6.647676086E-1,6.774312744E0
3.665160417E-1,-6.711892548E0,6.848258972E-1,6.692582703E0
3.765550417E-1,-6.704857178E0,6.602769470E-1,6.684798889E0
3.865950417E-1,-6.763834534E0,6.737489319E-1,6.753206635E0
3.966350417E-1,-6.872658234E0,6.855743408E-1,6.826853485E0
