"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.010504167E-2,4.219997674E-2,-6.651163567E-4,1.133870427E-2
2.014404167E-2,2.608652040E-2,-6.908092648E-2,-7.718876004E-3
3.018404167E-2,1.952956617E-2,-9.329554439E-2,-2.412526868E-2
4.022404167E-2,5.417356268E-2,-8.847256005E-2,-2.199953422E-2
5.026404167E-2,6.794903427E-2,-4.536078125E-2,-3.124576434E-2
6.030304167E-2,9.686619788E-2,-4.381850362E-3,-2.688028850E-2
7.034304168E-2,9.046875685E-2,1.132023241E-2,-1.918627694E-2
8.038304167E-2,6.170262024E-2,2.028656378E-2,-2.549956553E-2
9.042304168E-2,3.759735450E-2,4.014429636E-3,-2.659859695E-2
1.004620417E-1,1.758769527E-2,-3.055419959E-2,-2.586462907E-2
1.105020417E-1,1.351167820E-2,-3.406057507E-2,-2.763793617E-2
1.205420417E-1,1.749070734E-2,-4.262130708E-2,-3.316053003E-2
1.305820417E-1,3.006269038E-2,-5.165128782E-2,-2.585921064E-2
1.406210417E-1,3.245767206E-2,-4.114751518E-2,-2.051930502E-2
1.506610417E-1,1.939672232E-2,1.532218885E-3,-2.565721422E-2
1.607010417E-1,1.547708362E-2,7.014403492E-2,-3.220140189E-2
1.707410417E-1,5.411315709E-3,8.841443807E-2,-2.441358380E-2
1.807800417E-1,-2.098141052E-2,9.339961410E-2,-2.735158242E-2
1.908200417E-1,-2.522000484E-2,6.839548796E-2,-2.474547550E-2
2.008600417E-1,-1.782254316E-2,5.379844084E-2,-1.946602575E-2
2.109000417E-1,7.184735965E-3,-7.161897607E-3,-1.184864063E-2
2.209390417E-1,2.613206208E-2,-3.168987855E-2,-3.854096634E-3
2.309790417E-1,2.971187606E-2,-1.826443523E-2,8.092261851E-4
2.410190417E-1,2.750251815E-2,8.580761030E-3,-6.690945011E-4
2.510580417E-1,2.027883381E-2,4.474044964E-2,-4.041965003E-4
2.610980417E-1,7.450652309E-3,8.796515316E-2,-1.099425647E-2
2.711380417E-1,-1.281047426E-2,1.173097640E-1,-2.139042504E-2
2.811780417E-1,-1.320382208E-2,1.249405220E-1,-2.751942538E-2
2.912170417E-1,-1.823378354E-2,1.452742368E-1,-3.409387544E-2
3.012570417E-1,-1.372638345E-2,1.343808323E-1,-3.749952465E-2
3.112970417E-1,1.453998149E-3,8.179976791E-2,-1.659755595E-2
3.213370417E-1,1.056227461E-2,6.795425713E-2,-4.222112708E-3
3.313760417E-1,7.959463634E-3,7.587137818E-2,-1.839671517E-3
3.414160417E-1,5.987392738E-3,7.079645246E-2,-1.986145275E-3
3.514560417E-1,-4.135065712E-3,9.569960833E-2,-7.278281264E-3
3.614960417E-1,-1.901947148E-2,1.286317408E-1,-1.790216379E-2
3.715350417E-1,-3.578348085E-2,1.420893520E-1,-2.747485414E-2
3.815750417E-1,-4.871366173E-2,1.659406275E-1,-3.573464975E-2
3.916150417E-1,-4.126502573E-2,1.621104479E-1,-3.569040820E-2
4.016550417E-1,-4.315320775E-2,1.338116974E-1,-2.939948812E-2
4.116940417E-1,-2.711236477E-2,1.203228086E-1,-1.816360652E-2
4.217340417E-1,-2.136073448E-2,1.215406731E-1,-8.818573318E-3
4.317740417E-1,-2.527529374E-2,1.407915950E-1,-6.746220868E-3
4.418130417E-1,-3.080241755E-2,1.146388128E-1,-1.330611855E-2
4.518530417E-1,-2.473538741E-2,2.036950924E-2,7.221408305E-4
4.618930417E-1,-9.939131327E-3,-1.381591195E-3,6.579497363E-3
4.719330417E-1,-4.016660154E-3,2.466545627E-2,4.006925970E-3
4.819720417E-1,-1.293851621E-2,4.336510971E-2,-7.138402667E-3
4.920120417E-1,-2.777936682E-2,7.391439378E-2,-1.913277991E-2
5.020520417E-1,-4.673867673E-2,1.170594692E-1,-3.354553878E-2
5.120920417E-1,-6.608996540E-2,1.756403893E-1,-4.843458161E-2
5.221310417E-1,-7.117553800E-2,2.517654896E-1,-6.259834021E-2
5.321710417E-1,-5.063506961E-2,2.414928675E-1,-5.326171219E-2
5.422103750E-1,-2.417976223E-2,1.919064075E-1,-2.980991825E-2
5.522503750E-1,-1.111595333E-2,1.646513939E-1,-1.783581078E-2
5.622893750E-1,-2.542565018E-2,7.430604845E-2,-1.755777560E-2
5.723293750E-1,-4.629129916E-2,1.344167860E-3,-1.828072779E-2
5.823693750E-1,-6.680989265E-2,2.439915389E-2,-2.889608778E-2
5.924093750E-1,-8.596871048E-2,8.999124169E-2,-4.038419202E-2
6.024483750E-1,-1.014230326E-1,1.803368479E-1,-5.215669796E-2
6.124883750E-1,-1.069177985E-1,2.709507346E-1,-7.238242030E-2
6.225283750E-1,-1.122169569E-1,3.683675826E-1,-8.730411530E-2
6.325683750E-1,-1.015386134E-1,4.035046697E-1,-1.155793518E-1
6.426073750E-1,-7.845699787E-2,3.388055861E-1,-9.665838629E-2
6.526473750E-1,-3.692323342E-2,3.000307381E-1,-7.072365284E-2
6.626873750E-1,-1.216382347E-2,2.972149849E-1,-5.707228556E-2
6.727263750E-1,-1.525599137E-2,3.666812181E-1,-5.789332092E-2
6.827663750E-1,-4.171103612E-2,5.194438100E-1,-7.197984308E-2
6.928063750E-1,-8.759453148E-2,7.587959170E-1,-9.709777683E-2
7.028463750E-1,-1.278039962E-1,1.064555526E0,-1.194962934E-1
7.128853750E-1,-1.638736278E-1,1.443310857E0,-1.412740648E-1
7.229253750E-1,-2.083998173E-1,1.912499905E0,-1.745659709E-1
7.329653750E-1,-2.745527327E-1,2.491735220E0,-2.274293005E-1
7.430053750E-1,-3.367133141E-1,3.168674707E0,-2.876708210E-1
7.530443750E-1,-4.162335098E-1,3.806435585E0,-3.645671308E-1
7.630843750E-1,-4.475190043E-1,4.425423145E0,-4.038439393E-1
7.731243750E-1,-4.369615614E-1,4.988878727E0,-4.211950004E-1
7.831643750E-1,-4.415397942E-1,5.357804298E0,-4.449855387E-1
7.932033750E-1,-4.393366873E-1,5.647181034E0,-4.283792377E-1
8.032433750E-1,-4.162518680E-1,5.827015400E0,-4.025327265E-1
8.132833750E-1,-4.599401951E-1,5.675825119E0,-3.513882756E-1
8.233223750E-1,-4.706863165E-1,5.208868504E0,-2.784927785E-1
8.333623750E-1,-4.555025697E-1,4.458237648E0,-2.033357024E-1
8.434023750E-1,-4.114922285E-1,3.703289032E0,-1.524112672E-1
8.534423750E-1,-3.446508646E-1,3.129332066E0,-8.375962824E-2
8.634813750E-1,-2.892464399E-1,2.448572636E0,-2.901195362E-2
8.735213750E-1,-2.389377505E-1,1.756924629E0,4.086019844E-2
8.835613750E-1,-1.269156188E-1,1.256297469E0,1.080570817E-1
8.936013750E-1,-6.772962213E-2,8.375753164E-1,1.261900812E-1
9.036403750E-1,-3.958666697E-2,5.960513353E-1,1.140673682E-1
9.136803750E-1,-4.721128196E-2,4.425258934E-1,8.622989058E-2
9.237203750E-1,-5.000999942E-2,3.493126035E-1,4.851366580E-2
9.337603750E-1,-4.556482658E-2,2.927348316E-1,1.526482496E-2
9.437993750E-1,-4.357890785E-2,2.326408774E-1,-3.579703392E-3
9.538393750E-1,-4.151404276E-2,1.411232352E-1,-3.844518214E-3
9.638793750E-1,-3.993691877E-2,6.213894486E-2,-2.098283498E-3
9.739183750E-1,-5.177830905E-2,3.161221370E-2,-1.226231642E-2
9.839583750E-1,-6.092014164E-2,3.019834124E-2,-1.414437220E-2
9.939983750E-1,-5.601563677E-2,4.057968035E-2,4.124931060E-3
1.004038375E0,-4.886371642E-2,5.620950833E-2,1.638346165E-2
1.014077375E0,-5.652006716E-2,6.396775693E-2,1.641513407E-2
1.024117375E0,-5.368939415E-2,8.403974026E-2,1.027308684E-2
1.034157375E0,-5.749035627E-2,1.058162972E-1,1.218118239E-2
1.044197375E0,-6.664710492E-2,1.408073008E-1,1.696421951E-2
1.054236375E0,-6.578088552E-2,1.488590837E-1,2.641454153E-2
1.064276375E0,-7.135088742E-2,1.305306703E-1,2.870965376E-2
1.074316375E0,-7.963365316E-2,1.281453371E-1,4.227722064E-2
1.084356375E0,-8.703856915E-2,1.193736792E-1,2.636936121E-2
1.094395375E0,-1.018930152E-1,9.286350757E-2,5.006729066E-2
1.104435375E0,-1.093818247E-1,4.349170253E-2,1.019576490E-1
1.114475375E0,-1.425350308E-1,3.827503696E-2,1.445509195E-1
1.124514375E0,-1.531770229E-1,4.141437262E-2,1.074909046E-1
1.134554375E0,-1.550099254E-1,8.387899399E-2,8.546994627E-2
1.144594375E0,-1.471980661E-1,1.333807558E-1,1.068894863E-1
1.154634375E0,-1.603967100E-1,2.067917883E-1,4.985588789E-2
1.164673375E0,-1.482239366E-1,2.170505524E-1,2.654018253E-2
1.174713375E0,-1.223284602E-1,1.857917309E-1,5.347829685E-2
1.184753375E0,-1.150092930E-1,1.254306436E-1,1.580442116E-2
1.194793375E0,-1.192321703E-1,5.492543057E-2,-2.426304482E-2
1.204832375E0,-1.190883592E-1,2.862492576E-3,-2.689025179E-2
1.214872375E0,-1.284590214E-1,-2.536076121E-2,-2.183214575E-2
1.224912375E0,-1.498724371E-1,-5.532318726E-2,-3.272101283E-2
1.234951375E0,-1.671517640E-1,-6.604564935E-2,-2.839106601E-3
1.244991375E0,-1.654236317E-1,-3.405043483E-2,2.134665661E-2
1.255031375E0,-1.936524510E-1,6.011733785E-2,3.941959888E-2
1.265071375E0,-1.860762835E-1,1.502022147E-1,3.395079449E-2
1.275110375E0,-1.631065011E-1,1.714280546E-1,3.376039118E-2
1.285150375E0,-1.505686045E-1,1.739175767E-1,4.128754884E-2
1.295190375E0,-1.382135004E-1,1.753155142E-1,4.710161313E-2
1.305230375E0,-1.268870682E-1,1.572550237E-1,4.598627985E-2
1.315269375E0,-1.187398285E-1,1.431638300E-1,3.654792905E-2
1.325309375E0,-1.140750349E-1,1.359573156E-1,3.350020945E-2
1.335349375E0,-1.172481924E-1,1.354694217E-1,2.913555130E-2
1.345389375E0,-1.070967540E-1,1.254676431E-1,4.232272878E-2
1.355428375E0,-1.035941392E-1,1.152941808E-1,4.133391008E-2
1.365468375E0,-9.292178601E-2,1.086069793E-1,3.907688335E-2
1.375508375E0,-8.097597957E-2,9.873379767E-2,3.824513778E-2
1.385547375E0,-7.185252756E-2,8.713334054E-2,3.545308113E-2
1.395587375E0,-6.094272062E-2,7.715275884E-2,3.560072184E-2
1.405627375E0,-5.345737189E-2,6.845273823E-2,3.377086669E-2
1.415667375E0,-4.709308594E-2,6.360944360E-2,3.098697402E-2
1.425706375E0,-4.049856588E-2,5.796593428E-2,2.275008336E-2
1.435746375E0,-3.351175785E-2,5.248896405E-2,1.790752821E-2
1.445786375E0,-2.101833560E-2,5.034378543E-2,1.438709442E-2
1.455825375E0,-9.251467884E-3,4.733071476E-2,1.485099364E-2
1.465865375E0,2.745806705E-3,4.972036928E-2,1.860152371E-2
